STATION,STATION_NAME,DATE,PRCP
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880101,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880102,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880103,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880104,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880105,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880106,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880107,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880108,0.36
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880109,0.39
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880110,0.38
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880111,0.20
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880112,0.11
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880113,0.34
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880114,1.77
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880115,0.41
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880116,0.09
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880117,0.03
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880118,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880119,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880120,0.32
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880121,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880122,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880123,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880124,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880125,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880126,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880127,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880128,0.56
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880129,0.04
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880130,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880131,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880201,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880202,0.09
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880203,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880204,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880205,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880206,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880207,0.34
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880208,0.24
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880209,0.41
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880210,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880211,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880212,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880213,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880214,0.44
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880215,0.29
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880216,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880217,0.24
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880218,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880219,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880220,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880221,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880222,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880223,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880224,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880225,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880226,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880227,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880228,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880229,0.07
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880301,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880302,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880303,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880304,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880305,0.34
