"PDE10193.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/02/11 at 11:38:35"
"By                   : CHRISTENSEN"
"Start date           : 01-06-93-13:23"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1 15 1993 1013        1
 1 16 1993 1049        2
 1 19 1993  747        3
 1 19 1993  754        4
 1 19 1993  755        5
 1 19 1993  755        6
 1 19 1993  756        7
 1 19 1993  757        8
 1 19 1993  805        9
 1 19 1993  818       10
 1 19 1993  824       11
 1 19 1993  838       12
 1 19 1993  842       13
 1 19 1993  853       14
 1 19 1993  859       15
 1 19 1993  905       16
 1 19 1993  910       17
 1 19 1993  920       18
 1 19 1993  929       19
 1 19 1993  939       20
 1 19 1993  945       21
 1 19 1993  951       22
 1 19 1993 1003       23
 1 19 1993 1020       24
 1 19 1993 1036       25
 1 19 1993 1133       26
 1 19 1993 1156       27
 1 19 1993 1220       28
 1 19 1993 1254       29
 1 19 1993 1408       30
 1 19 1993 1416       31
 1 19 1993 1424       32
 1 19 1993 1432       33
 1 19 1993 1444       34
 1 19 1993 1456       35
 1 19 1993 1534       36
 1 19 1993 1557       37
 1 19 1993 1621       38
 1 19 1993 1635       39
 1 19 1993 1710       40
 1 19 1993 1722       41
 1 19 1993 1737       42
 1 19 1993 1749       43
 1 19 1993 1914       44
 1 19 1993 1952       45
 1 19 1993 2033       46
 1 19 1993 2241       47
 1 19 1993 2259       48
 1 19 1993 2313       49
 1 19 1993 2321       50
 1 19 1993 2332       51
 1 19 1993 2341       52
 1 19 1993 2348       53
 1 19 1993 2358       54
 1 20 1993    4       55
 1 20 1993   13       56
 1 20 1993   25       57
 1 20 1993   36       58
 1 20 1993   46       59
 1 20 1993   54       60
 1 20 1993  100       61
 1 20 1993  107       62
 1 20 1993  113       63
 1 20 1993  123       64
 1 20 1993  134       65
 1 20 1993  146       66
 1 20 1993  154       67
 1 20 1993  202       68
 1 20 1993  207       69
 1 20 1993  212       70
 1 20 1993  217       71
 1 20 1993  222       72
 1 20 1993  226       73
 1 20 1993  230       74
 1 20 1993  233       75
 1 20 1993  237       76
 1 20 1993  241       77
 1 20 1993  245       78
 1 20 1993  249       79
 1 20 1993  253       80
 1 20 1993  256       81
 1 20 1993  300       82
 1 20 1993  304       83
 1 20 1993  309       84
 1 20 1993  314       85
 1 20 1993  320       86
 1 20 1993  326       87
 1 20 1993  335       88
 1 20 1993  351       89
 1 20 1993  424       90
 1 20 1993  426       91
 1 20 1993  429       92
 1 20 1993  453       93
 1 20 1993  500       94
 1 20 1993  513       95
 1 20 1993  517       96
 1 20 1993  523       97
 1 20 1993  528       98
 1 20 1993  535       99
 1 20 1993  546      100
 1 20 1993  549      101
 1 20 1993  552      102
 1 20 1993  554      103
 1 20 1993  558      104
 1 20 1993  608      105
 1 20 1993  617      106
 1 20 1993  619      107
 1 20 1993  621      108
 1 20 1993  624      109
 1 20 1993  633      110
 1 20 1993  646      111
 1 20 1993  743      112
 1 20 1993  748      113
 1 20 1993  754      114
 1 20 1993  758      115
 1 20 1993  803      116
 1 20 1993  808      117
 1 20 1993  812      118
 1 20 1993  815      119
 1 20 1993  824      120
 1 20 1993  835      121
 1 20 1993  847      122
 1 20 1993  905      123
 1 20 1993  912      124
 1 20 1993  918      125
 1 20 1993  924      126
 1 20 1993  929      127
 1 20 1993  934      128
 1 20 1993  938      129
 1 20 1993  943      130
 1 20 1993  950      131
 1 20 1993  957      132
 1 20 1993 1003      133
 1 20 1993 1013      134
 1 20 1993 1022      135
 1 20 1993 1028      136
 1 20 1993 1035      137
 1 20 1993 1041      138
 1 20 1993 1047      139
 1 20 1993 1053      140
 1 20 1993 1059      141
 1 20 1993 1106      142
 1 20 1993 1114      143
 1 20 1993 1123      144
 1 20 1993 1133      145
 1 20 1993 1149      146
 1 20 1993 1235      147
 1 20 1993 1337      148
 1 20 1993 1348      149
 1 20 1993 1412      150
 1 20 1993 1431      151
 1 20 1993 1440      152
 1 20 1993 1443      153
 1 20 1993 1448      154
 1 20 1993 1506      155
 1 20 1993 1524      156
 1 20 1993 1540      157
 1 20 1993 1553      158
 1 20 1993 1557      159
 1 20 1993 1619      160
 1 20 1993 1627      161
 1 20 1993 1656      162
 1 20 1993 1712      163
 1 20 1993 1730      164
 1 20 1993 2106      165
 1 20 1993 2111      166
 1 20 1993 2114      167
 1 20 1993 2116      168
 1 20 1993 2117      169
 1 20 1993 2119      170
 1 20 1993 2120      171
 1 20 1993 2121      172
 1 20 1993 2122      173
 1 20 1993 2123      174
 1 20 1993 2124      175
 1 20 1993 2126      176
 1 20 1993 2127      177
 1 20 1993 2129      178
 1 20 1993 2131      179
 1 20 1993 2133      180
 1 20 1993 2135      181
 1 20 1993 2136      182
 1 20 1993 2137      183
 1 20 1993 2138      184
 1 20 1993 2140      185
 1 20 1993 2141      186
 1 20 1993 2143      187
 1 20 1993 2145      188
 1 20 1993 2155      189
 1 21 1993  121      190
 1 21 1993  127      191
 1 21 1993  132      192
 1 21 1993  135      193
 1 21 1993  138      194
 1 21 1993  139      195
 1 21 1993  142      196
 1 21 1993  144      197
 1 21 1993  150      198
 1 21 1993  205      199
 1 21 1993  233      200
 1 21 1993  235      201
 1 21 1993  238      202
 1 21 1993  240      203
 1 21 1993  242      204
 1 21 1993  244      205
 1 21 1993  247      206
 1 21 1993  251      207
 1 21 1993  303      208
