"pde10194.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1994/02/18 at 11:16:44"
"By                   : kirk "
"Start date           : 01-07-94-10:14"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Courthouse"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1  7 1994 1019        1
 1  7 1994 1704        2
 1  7 1994 1720        3
 1  7 1994 1734        4
 1  7 1994 1746        5
 1  7 1994 1755        6
 1  7 1994 1809        7
 1  7 1994 1820        8
 1  7 1994 1849        9
 1  7 1994 1859       10
 1  7 1994 1920       11
 1  7 1994 1928       12
 1  7 1994 1944       13
 1  7 1994 1949       14
 1  7 1994 1957       15
 1  7 1994 2004       16
 1  7 1994 2010       17
 1  7 1994 2025       18
 1  7 1994 2050       19
 1  7 1994 2118       20
 1  7 1994 2156       21
 1  7 1994 2203       22
 1  7 1994 2238       23
 1  8 1994  356       24
 1  8 1994  409       25
 1  8 1994  558       26
 1  8 1994  659       27
 1  8 1994  716       28
 1  8 1994  738       29
 1  8 1994  759       30
 1  8 1994  834       31
 1  8 1994  842       32
 1  8 1994  852       33
 1  8 1994  900       34
 1  8 1994 1054       35
 1  8 1994 1108       36
 1  8 1994 1122       37
 1  8 1994 1128       38
 1  8 1994 1137       39
 1  8 1994 1147       40
 1  8 1994 1219       41
 1  9 1994  119       42
 1  9 1994  250       43
 1  9 1994  717       44
 1 10 1994 1303       45
 1 10 1994 1308       46
 1 10 1994 1325       47
 1 10 1994 1334       48
 1 10 1994 1353       49
 1 10 1994 1401       50
 1 10 1994 1409       51
 1 10 1994 1414       52
 1 10 1994 1422       53
 1 10 1994 1431       54
 1 10 1994 1459       55
 1 10 1994 1523       56
 1 10 1994 1759       57
 1 10 1994 1816       58
 1 10 1994 1840       59
 1 10 1994 1851       60
 1 10 1994 1858       61
 1 10 1994 1902       62
 1 10 1994 1913       63
 1 10 1994 1920       64
 1 10 1994 1930       65
 1 10 1994 1940       66
 1 10 1994 2013       67
 1 10 1994 2053       68
 1 10 1994 2114       69
 1 11 1994  416       70
 1 11 1994 1454       71
 1 11 1994 1818       72
 1 12 1994  227       73
 1 12 1994  714       74
 1 12 1994  737       75
 1 12 1994  747       76
 1 12 1994  756       77
 1 12 1994  813       78
 1 12 1994  830       79
 1 12 1994  838       80
 1 12 1994  907       81
 1 12 1994  935       82
 1 12 1994 1009       83
 1 12 1994 1028       84
 1 12 1994 1122       85
 1 12 1994 1210       86
 1 12 1994 1242       87
 1 12 1994 1313       88
 1 12 1994 1357       89
 1 13 1994  416       90
 1 15 1994 1332       91
 1 18 1994  903       92
 1 21 1994  825       93
 1 21 1994  836       94
 1 21 1994  840       95
 1 21 1994  845       96
 1 21 1994  851       97
 1 21 1994  855       98
 1 21 1994  901       99
 1 21 1994 1126      100
 1 21 1994 1240      101
 1 21 1994 1249      102
 1 21 1994 1423      103
 1 21 1994 1512      104
 1 21 1994 2205      105
 1 22 1994  208      106
 1 22 1994  218      107
 1 22 1994  225      108
 1 22 1994  236      109
 1 22 1994  244      110
 1 22 1994  249      111
 1 22 1994  257      112
 1 22 1994  358      113
 1 22 1994  411      114
 1 22 1994  424      115
 1 22 1994  430      116
 1 22 1994  436      117
 1 22 1994  441      118
 1 22 1994  446      119
 1 22 1994  450      120
 1 22 1994  456      121
 1 22 1994  502      122
 1 22 1994  513      123
 1 22 1994  522      124
 1 22 1994  541      125
 1 22 1994  551      126
 1 22 1994  602      127
 1 22 1994  613      128
 1 22 1994  626      129
 1 22 1994  632      130
 1 22 1994  642      131
 1 22 1994  652      132
 1 22 1994  701      133
 1 22 1994  713      134
 1 22 1994  720      135
 1 22 1994  734      136
 1 22 1994  835      137
 1 22 1994  847      138
 1 22 1994  911      139
 1 22 1994 1321      140
 1 22 1994 1322      141
 1 22 1994 1330      142
 1 22 1994 1410      143
 1 22 1994 1416      144
 1 22 1994 1420      145
 1 22 1994 1425      146
 1 22 1994 1429      147
 1 22 1994 1431      148
 1 22 1994 1435      149
 1 22 1994 1437      150
 1 22 1994 1443      151
 1 22 1994 1454      152
 1 22 1994 1516      153
 1 23 1994  235      154
 1 23 1994  318      155
 1 23 1994  402      156
 1 23 1994  731      157
 1 23 1994  833      158
 1 23 1994  843      159
 1 23 1994  847      160
 1 23 1994  901      161
 1 23 1994 1036      162
 1 23 1994 1346      163
 1 23 1994 1356      164
 1 23 1994 1423      165
 1 23 1994 1521      166
 1 23 1994 1528      167
 1 23 1994 2113      168
 1 24 1994 1154      169
 1 24 1994 1212      170
 1 24 1994 1239      171
 1 24 1994 1330      172
 1 24 1994 1355      173
 1 24 1994 1429      174
 1 24 1994 1456      175
 1 24 1994 1508      176
 1 24 1994 1532      177
 1 24 1994 1537      178
 1 24 1994 1543      179
 1 24 1994 1548      180
 1 24 1994 1602      181
 1 24 1994 1611      182
 1 24 1994 1619      183
 1 24 1994 1628      184
 1 24 1994 1642      185
 1 24 1994 1704      186
 1 24 1994 1723      187
 1 24 1994 1735      188
 1 24 1994 1749      189
 1 24 1994 1757      190
 1 24 1994 1808      191
 1 24 1994 1824      192
 1 24 1994 1837      193
 1 24 1994 1852      194
 1 24 1994 1921      195
 1 24 1994 1932      196
 1 24 1994 1941      197
 1 24 1994 1950      198
 1 24 1994 2004      199
 1 24 1994 2014      200
 1 24 1994 2021      201
 1 24 1994 2032      202
 1 24 1994 2106      203
 1 24 1994 2310      204
 1 31 1994  934      205
 2  2 1994 1034      206
