"PDE10195.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/02/09 at 15:54:38"
"By                   : VICENCIO"
"Start date           : 01-12-95-08:55"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : CHAMBERS @ SHANA PARK"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1 12 1995  942        1
 1 12 1995 1131        2
 1 12 1995 1155        3
 1 12 1995 1447        4
 1 12 1995 1539        5
 1 12 1995 1701        6
 1 12 1995 1712        7
 1 12 1995 1723        8
 1 12 1995 1752        9
 1 13 1995  153       10
 1 13 1995  215       11
 1 13 1995  227       12
 1 13 1995  241       13
 1 13 1995  256       14
 1 13 1995  314       15
 1 13 1995  339       16
 1 13 1995  416       17
 1 13 1995  437       18
 1 13 1995  459       19
 1 13 1995  518       20
 1 13 1995  525       21
 1 13 1995  529       22
 1 13 1995  533       23
 1 13 1995  536       24
 1 13 1995  540       25
 1 13 1995  544       26
 1 13 1995  549       27
 1 13 1995  554       28
 1 13 1995  600       29
 1 13 1995  605       30
 1 13 1995  609       31
 1 13 1995  612       32
 1 13 1995  614       33
 1 13 1995  617       34
 1 13 1995  621       35
 1 13 1995  624       36
 1 13 1995  626       37
 1 13 1995  629       38
 1 13 1995  632       39
 1 13 1995  638       40
 1 13 1995  652       41
 1 13 1995  738       42
 1 13 1995  747       43
 1 13 1995  753       44
 1 13 1995  804       45
 1 13 1995  817       46
 1 13 1995  844       47
 1 13 1995  849       48
 1 13 1995  856       49
 1 13 1995  901       50
 1 13 1995  907       51
 1 13 1995  928       52
 1 14 1995   34       53
 1 14 1995   47       54
 1 14 1995   53       55
 1 14 1995  107       56
 1 14 1995  118       57
 1 14 1995  125       58
 1 14 1995  129       59
 1 14 1995  134       60
 1 14 1995  138       61
 1 14 1995  143       62
 1 14 1995  149       63
 1 14 1995  154       64
 1 14 1995  204       65
 1 14 1995  219       66
 1 14 1995  233       67
 1 14 1995  259       68
 1 14 1995  334       69
 1 14 1995  605       70
 1 14 1995  614       71
 1 14 1995  623       72
 1 14 1995  634       73
 1 14 1995  645       74
 1 14 1995  710       75
 1 14 1995  740       76
 1 14 1995  749       77
 1 14 1995  800       78
 1 14 1995  811       79
 1 14 1995  819       80
 1 14 1995  826       81
 1 14 1995  845       82
 1 14 1995 1209       83
 1 14 1995 1342       84
 1 14 1995 1355       85
 1 14 1995 1713       86
 1 15 1995  555       87
 1 15 1995 1643       88
 1 16 1995   25       89
 1 16 1995  302       90
 1 16 1995  430       91
 1 17 1995  912       92
 1 17 1995  948       93
 1 17 1995 1029       94
 1 17 1995 1135       95
 1 17 1995 1258       96
 1 17 1995 1334       97
 1 17 1995 1415       98
 1 17 1995 1454       99
 1 17 1995 1904      100
 1 17 1995 2113      101
 1 17 1995 2139      102
 1 17 1995 2242      103
 1 17 1995 2306      104
 1 17 1995 2336      105
 1 17 1995 2357      106
 1 18 1995   16      107
 1 18 1995   36      108
 1 18 1995   55      109
 1 18 1995  109      110
 1 18 1995  123      111
 1 18 1995  146      112
 1 18 1995  409      113
 1 18 1995  426      114
 1 18 1995  544      115
 1 18 1995  846      116
 1 18 1995 1231      117
 1 18 1995 1242      118
 1 18 1995 1245      119
 1 18 1995 1252      120
 1 18 1995 1301      121
 1 18 1995 1316      122
 1 18 1995 1324      123
 1 18 1995 1332      124
 1 18 1995 1341      125
 1 18 1995 1351      126
 1 18 1995 1420      127
 1 19 1995 1024      128
 1 21 1995 1021      129
 1 25 1995  116      130
 1 26 1995 1537      131
 1 26 1995 1546      132
 1 26 1995 1638      133
 1 26 1995 1644      134
 1 26 1995 1646      135
 1 26 1995 1648      136
 1 26 1995 1650      137
 1 26 1995 1652      138
 1 26 1995 1656      139
 1 26 1995 1659      140
 1 26 1995 1703      141
 1 26 1995 2012      142
 1 28 1995  610      143
 1 28 1995  749      144
 1 28 1995  803      145
 1 28 1995  817      146
 1 28 1995  828      147
 1 28 1995  836      148
 1 28 1995  848      149
 1 28 1995  908      150
 1 28 1995  931      151
 1 28 1995  949      152
 1 28 1995 1026      153
 1 28 1995 1047      154
 1 28 1995 1102      155
 1 28 1995 1114      156
 1 28 1995 1122      157
 1 28 1995 1132      158
 1 28 1995 1147      159
 1 28 1995 1205      160
 1 28 1995 1214      161
 1 28 1995 1223      162
 1 28 1995 1232      163
 1 28 1995 1240      164
 1 28 1995 1246      165
 1 28 1995 1251      166
 1 28 1995 1258      167
 1 28 1995 1304      168
 1 28 1995 1311      169
 1 28 1995 1317      170
 1 28 1995 1323      171
 1 28 1995 1328      172
 1 28 1995 1332      173
