"pde10196.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/02/21 at 09:09:13"
"By                   : Thomas     "
"Start date           : 01-08-96-15:56"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Yelm Highway and Normandy Drive"
"Note : Snow and Freeezing temperatures end of Jan. early Feb."

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1  9 1996 1236        1
 1  9 1996 1300        2
 1  9 1996 1308        3
 1  9 1996 1314        4
 1  9 1996 2255        5
 1 12 1996  941        6
 1 13 1996 1818        7
 1 13 1996 1824        8
 1 13 1996 1831        9
 1 13 1996 1841       10
 1 13 1996 1859       11
 1 13 1996 1938       12
 1 13 1996 1948       13
 1 13 1996 2001       14
 1 13 1996 2124       15
 1 13 1996 2157       16
 1 14 1996  156       17
 1 14 1996  206       18
 1 14 1996  258       19
 1 14 1996  319       20
 1 14 1996  900       21
 1 14 1996  903       22
 1 14 1996  918       23
 1 14 1996 1453       24
 1 14 1996 1500       25
 1 14 1996 1512       26
 1 14 1996 1517       27
 1 14 1996 1521       28
 1 14 1996 1525       29
 1 14 1996 1529       30
 1 14 1996 1532       31
 1 14 1996 1537       32
 1 14 1996 1542       33
 1 14 1996 1549       34
 1 14 1996 1551       35
 1 14 1996 1554       36
 1 14 1996 1558       37
 1 14 1996 1602       38
 1 14 1996 1626       39
 1 14 1996 1641       40
 1 14 1996 1703       41
 1 14 1996 1909       42
 1 14 1996 2150       43
 1 14 1996 2314       44
 1 14 1996 2319       45
 1 14 1996 2321       46
 1 14 1996 2323       47
 1 15 1996    9       48
 1 15 1996  411       49
 1 15 1996  413       50
 1 15 1996  416       51
 1 15 1996  417       52
 1 15 1996  419       53
 1 15 1996  420       54
 1 15 1996  422       55
 1 15 1996  424       56
 1 15 1996  425       57
 1 15 1996  427       58
 1 15 1996  428       59
 1 15 1996  430       60
 1 15 1996  432       61
 1 15 1996  433       62
 1 15 1996  435       63
 1 15 1996  440       64
 1 15 1996  442       65
 1 15 1996  444       66
 1 15 1996  459       67
 1 15 1996  502       68
 1 15 1996  503       69
 1 15 1996  506       70
 1 15 1996  646       71
 1 15 1996  659       72
 1 15 1996  708       73
 1 15 1996  729       74
 1 15 1996  739       75
 1 15 1996  742       76
 1 15 1996  748       77
 1 15 1996  751       78
 1 15 1996  755       79
 1 15 1996  759       80
 1 15 1996  803       81
 1 15 1996  807       82
 1 15 1996  810       83
 1 15 1996  813       84
 1 15 1996  821       85
 1 15 1996  823       86
 1 15 1996  825       87
 1 15 1996  829       88
 1 15 1996  833       89
 1 15 1996  839       90
 1 15 1996  842       91
 1 15 1996  845       92
 1 15 1996  850       93
 1 15 1996  855       94
 1 15 1996  900       95
 1 15 1996  905       96
 1 15 1996  917       97
 1 15 1996  918       98
 1 15 1996  921       99
 1 15 1996  923      100
 1 15 1996  926      101
 1 15 1996  933      102
 1 15 1996 1026      103
 1 15 1996 1032      104
 1 15 1996 1036      105
 1 15 1996 1040      106
 1 15 1996 1055      107
 1 15 1996 1059      108
 1 15 1996 1112      109
 1 15 1996 1209      110
 1 15 1996 1213      111
 1 15 1996 1214      112
 1 15 1996 1215      113
 1 15 1996 1221      114
 1 15 1996 1227      115
 1 15 1996 1229      116
 1 15 1996 1231      117
 1 15 1996 1232      118
 1 15 1996 1233      119
 1 15 1996 1234      120
 1 15 1996 1235      121
 1 15 1996 1236      122
 1 15 1996 1237      123
 1 15 1996 1239      124
 1 15 1996 1248      125
