"pde10296.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/03/11 at 09:18:13"
"By                   : Thomas     "
"Start date           : 02-05-96-08:56"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Yelm Highway"
"Note : February storm"

"MT" "DY" "YR" "HHMM" "TOTAL   "

 2  5 1996  936        1
 2  5 1996  958        2
 2  5 1996 1017        3
 2  5 1996 1025        4
 2  5 1996 1029        5
 2  5 1996 1031        6
 2  5 1996 1034        7
 2  5 1996 1037        8
 2  5 1996 1039        9
 2  5 1996 1043       10
 2  5 1996 1045       11
 2  5 1996 1048       12
 2  5 1996 1053       13
 2  5 1996 1056       14
 2  5 1996 1101       15
 2  5 1996 1157       16
 2  5 1996 1216       17
 2  5 1996 1240       18
 2  5 1996 1252       19
 2  5 1996 1255       20
 2  5 1996 1301       21
 2  5 1996 1306       22
 2  5 1996 1308       23
 2  5 1996 1310       24
 2  5 1996 1313       25
 2  5 1996 1315       26
 2  5 1996 1319       27
 2  5 1996 1322       28
 2  5 1996 1326       29
 2  5 1996 1328       30
 2  5 1996 1337       31
 2  5 1996 1340       32
 2  5 1996 1342       33
 2  5 1996 1344       34
 2  5 1996 1348       35
 2  5 1996 1353       36
 2  5 1996 1355       37
 2  5 1996 1400       38
 2  5 1996 1402       39
 2  5 1996 1406       40
 2  5 1996 1410       41
 2  5 1996 1413       42
 2  5 1996 1416       43
 2  5 1996 1419       44
 2  5 1996 1426       45
 2  5 1996 1438       46
 2  5 1996 1445       47
 2  5 1996 1449       48
 2  5 1996 1502       49
 2  5 1996 1509       50
 2  5 1996 1517       51
 2  5 1996 1520       52
 2  5 1996 1523       53
 2  5 1996 1526       54
 2  5 1996 1528       55
 2  5 1996 1532       56
 2  5 1996 1536       57
 2  5 1996 1542       58
 2  5 1996 1549       59
 2  5 1996 1554       60
 2  5 1996 1558       61
 2  5 1996 1603       62
 2  5 1996 1609       63
 2  5 1996 1613       64
 2  5 1996 1616       65
 2  5 1996 1618       66
 2  5 1996 1621       67
 2  5 1996 1624       68
 2  5 1996 1627       69
 2  5 1996 1629       70
 2  5 1996 1632       71
 2  5 1996 1635       72
 2  5 1996 1637       73
 2  5 1996 1640       74
 2  5 1996 1644       75
 2  5 1996 1648       76
 2  5 1996 1651       77
 2  5 1996 1654       78
 2  5 1996 1658       79
 2  5 1996 1701       80
 2  5 1996 1704       81
 2  5 1996 1707       82
 2  5 1996 1710       83
 2  5 1996 1714       84
 2  5 1996 1718       85
 2  5 1996 1721       86
 2  5 1996 1731       87
 2  5 1996 2057       88
 2  5 1996 2101       89
 2  5 1996 2104       90
 2  5 1996 2113       91
 2  5 1996 2114       92
 2  5 1996 2115       93
 2  5 1996 2119       94
 2  5 1996 2121       95
 2  5 1996 2121       96
 2  5 1996 2122       97
 2  5 1996 2122       98
 2  5 1996 2123       99
 2  5 1996 2125      100
 2  5 1996 2127      101
 2  5 1996 2129      102
 2  5 1996 2130      103
 2  5 1996 2131      104
 2  5 1996 2143      105
 2  5 1996 2225      106
 2  5 1996 2246      107
 2  5 1996 2254      108
 2  5 1996 2256      109
 2  6 1996  445      110
 2  6 1996  456      111
 2  6 1996  501      112
 2  6 1996  507      113
 2  6 1996  510      114
 2  6 1996  516      115
 2  6 1996  523      116
 2  6 1996  531      117
 2  6 1996  542      118
 2  6 1996  552      119
 2  6 1996  559      120
 2  6 1996  607      121
 2  6 1996  612      122
 2  6 1996  619      123
 2  6 1996  626      124
 2  6 1996  633      125
 2  6 1996  641      126
 2  6 1996  647      127
 2  6 1996  653      128
 2  6 1996  708      129
 2  6 1996  722      130
