"PDE10393.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/04/19 at 16:48:37"
"By                   : KLAVAS     "
"Start date           : 03-05-93-13:48"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : CHAMBERS AT RICH RD."
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3 13 1993 1946        1
 3 13 1993 1955        2
 3 13 1993 2003        3
 3 13 1993 2017        4
 3 13 1993 2030        5
 3 13 1993 2049        6
 3 13 1993 2124        7
 3 13 1993 2140        8
 3 13 1993 2314        9
 3 13 1993 2330       10
 3 13 1993 2347       11
 3 14 1993    2       12
 3 14 1993   56       13
 3 14 1993  145       14
 3 14 1993  240       15
 3 14 1993  506       16
 3 14 1993  628       17
 3 14 1993  816       18
 3 14 1993  902       19
 3 14 1993 1038       20
 3 14 1993 1047       21
 3 14 1993 1051       22
 3 14 1993 1055       23
 3 14 1993 1101       24
 3 14 1993 1141       25
 3 14 1993 1152       26
 3 14 1993 1343       27
 3 14 1993 1347       28
 3 14 1993 1354       29
 3 14 1993 1401       30
 3 14 1993 1408       31
 3 14 1993 1414       32
 3 14 1993 1421       33
 3 14 1993 1512       34
 3 14 1993 1516       35
 3 14 1993 1520       36
 3 14 1993 1528       37
 3 14 1993 1538       38
 3 14 1993 1604       39
 3 14 1993 1608       40
 3 14 1993 1631       41
 3 14 1993 1634       42
 3 14 1993 1641       43
 3 14 1993 1647       44
 3 14 1993 1657       45
 3 14 1993 1658       46
 3 14 1993 1703       47
 3 14 1993 1728       48
 3 14 1993 1732       49
 3 14 1993 1735       50
 3 14 1993 1738       51
 3 14 1993 1747       52
 3 14 1993 1808       53
 3 14 1993 1813       54
 3 14 1993 1848       55
 3 14 1993 1856       56
 3 14 1993 1903       57
 3 14 1993 1928       58
 3 14 1993 1934       59
 3 14 1993 1936       60
 3 14 1993 1937       61
 3 14 1993 1938       62
 3 14 1993 1940       63
 3 14 1993 1941       64
 3 14 1993 1946       65
 3 14 1993 1955       66
 3 14 1993 2022       67
 3 14 1993 2030       68
 3 14 1993 2051       69
 3 14 1993 2105       70
 3 14 1993 2138       71
 3 14 1993 2149       72
 3 14 1993 2222       73
 3 14 1993 2309       74
 3 14 1993 2325       75
 3 14 1993 2329       76
 3 14 1993 2334       77
 3 14 1993 2337       78
 3 14 1993 2348       79
 3 15 1993    2       80
 3 15 1993    8       81
 3 15 1993   17       82
 3 15 1993   35       83
 3 16 1993 1336       84
 3 16 1993 1351       85
 3 16 1993 1359       86
 3 16 1993 1406       87
 3 16 1993 1411       88
 3 16 1993 1422       89
 3 16 1993 1435       90
 3 16 1993 1445       91
