"SDE10395.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/04/12 at 11:02:45"
"By                   : KIRK"
"Start date           : 03-08-95-09:45"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3  8 1995  948        1
 3  8 1995 1212        2
 3  8 1995 1221        3
 3  8 1995 1231        4
 3  8 1995 1322        5
 3  8 1995 1331        6
 3  8 1995 1342        7
 3  8 1995 1358        8
 3  8 1995 1413        9
 3  8 1995 1425       10
 3  8 1995 1444       11
 3  8 1995 1452       12
 3  8 1995 1500       13
 3  8 1995 1505       14
 3  8 1995 1509       15
 3  8 1995 1515       16
 3  8 1995 1520       17
 3  8 1995 1527       18
 3  8 1995 1535       19
 3  8 1995 1542       20
 3  8 1995 1550       21
 3  8 1995 1558       22
 3  8 1995 1607       23
 3  8 1995 1620       24
 3  8 1995 1629       25
 3  8 1995 1639       26
 3  8 1995 1658       27
 3  8 1995 1716       28
 3  8 1995 1730       29
 3  8 1995 1742       30
 3  8 1995 1756       31
 3  8 1995 1817       32
 3  8 1995 1902       33
 3  8 1995 2220       34
 3  8 1995 2227       35
 3  8 1995 2244       36
 3  8 1995 2324       37
 3  8 1995 2342       38
 3  8 1995 2352       39
 3  9 1995    1       40
 3  9 1995    9       41
 3  9 1995   15       42
 3  9 1995   22       43
 3  9 1995   28       44
 3  9 1995   34       45
 3  9 1995   40       46
 3  9 1995   46       47
 3  9 1995   53       48
 3  9 1995  101       49
 3  9 1995  111       50
 3  9 1995  125       51
 3  9 1995  142       52
 3  9 1995  152       53
 3  9 1995  154       54
 3  9 1995  158       55
 3  9 1995  204       56
 3  9 1995  215       57
 3  9 1995  226       58
 3  9 1995  235       59
 3  9 1995  245       60
 3  9 1995  304       61
 3  9 1995  318       62
 3  9 1995  328       63
 3  9 1995  338       64
 3  9 1995  346       65
 3  9 1995  400       66
 3  9 1995  412       67
 3  9 1995  421       68
 3  9 1995  427       69
 3  9 1995  433       70
 3  9 1995  439       71
 3  9 1995  447       72
 3  9 1995  454       73
 3  9 1995  457       74
 3  9 1995  502       75
 3  9 1995  510       76
 3  9 1995  514       77
 3  9 1995  517       78
 3  9 1995  520       79
 3  9 1995  526       80
 3  9 1995  618       81
 3  9 1995  643       82
 3  9 1995  659       83
 3  9 1995  719       84
 3  9 1995  728       85
 3  9 1995  751       86
 3  9 1995  807       87
 3  9 1995  826       88
 3  9 1995  832       89
 3  9 1995  935       90
