"PDE10396.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/04/10 at 08:42:15"
"By                   : Vicencio   "
"Start date           : 03-04-96-10:18"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Yelm highway"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3  4 1996 1416        1
 3  4 1996 1437        2
 3  4 1996 1519        3
 3  4 1996 1535        4
 3  4 1996 1547        5
 3  4 1996 1557        6
 3  4 1996 1604        7
 3  4 1996 1611        8
 3  4 1996 1616        9
 3  4 1996 1624       10
 3  4 1996 1630       11
 3  4 1996 1636       12
 3  4 1996 1643       13
 3  4 1996 1648       14
 3  4 1996 1652       15
 3  4 1996 1656       16
 3  4 1996 1659       17
 3  4 1996 1704       18
 3  4 1996 1709       19
 3  4 1996 1713       20
 3  4 1996 1717       21
 3  4 1996 1720       22
 3  4 1996 1724       23
 3  4 1996 1729       24
 3  4 1996 1734       25
 3  4 1996 1738       26
 3  4 1996 1742       27
 3  4 1996 1749       28
 3  4 1996 1757       29
 3  4 1996 1813       30
 3  4 1996 1825       31
 3  4 1996 1857       32
 3  4 1996 1927       33
 3  4 1996 2005       34
 3  4 1996 2043       35
 3  5 1996  506       36
 3  5 1996  548       37
 3  5 1996  616       38
 3  5 1996  845       39
 3  5 1996  856       40
 3  5 1996  901       41
 3  5 1996  907       42
 3  5 1996  912       43
 3  5 1996  918       44
 3  5 1996  930       45
 3  5 1996  946       46
 3  5 1996 1002       47
 3  5 1996 1036       48
 3  5 1996 1110       49
 3  5 1996 1130       50
 3  5 1996 1623       51
 3  5 1996 1716       52
 3  5 1996 1854       53
 3  5 1996 1915       54
 3  5 1996 2056       55
 3  6 1996  142       56
 3  6 1996  148       57
 3  6 1996  201       58
 3  6 1996  221       59
 3  7 1996  741       60
 3  7 1996  747       61
 3  7 1996  752       62
 3  7 1996  802       63
 3  7 1996  907       64
 3  7 1996  912       65
 3  7 1996  923       66
 3  7 1996 1110       67
 3  7 1996 1318       68
 3  7 1996 1410       69
 3  7 1996 1759       70
 3  7 1996 1829       71
 3  7 1996 2128       72
 3  7 1996 2239       73
 3  7 1996 2319       74
 3  7 1996 2349       75
 3  8 1996  154       76
 3  9 1996 1441       77
 3  9 1996 1512       78
 3  9 1996 1538       79
 3  9 1996 1620       80
 3  9 1996 1656       81
 3  9 1996 1713       82
 3  9 1996 1721       83
 3  9 1996 1738       84
 3  9 1996 1805       85
 3  9 1996 1819       86
 3  9 1996 1829       87
 3  9 1996 1913       88
 3  9 1996 1925       89
 3  9 1996 1930       90
 3  9 1996 1941       91
 3  9 1996 1954       92
 3  9 1996 2012       93
 3  9 1996 2019       94
 3  9 1996 2028       95
 3  9 1996 2047       96
 3  9 1996 2110       97
 3  9 1996 2142       98
 3  9 1996 2154       99
 3  9 1996 2202      100
 3  9 1996 2347      101
 3 10 1996   10      102
 3 10 1996   33      103
 3 10 1996  111      104
 3 10 1996  133      105
 3 10 1996  214      106
 3 10 1996  309      107
 3 10 1996  430      108
 3 10 1996  441      109
 3 10 1996  607      110
 3 10 1996  702      111
 3 10 1996 1605      112
 3 10 1996 1615      113
 3 10 1996 1844      114
 3 10 1996 2120      115
 3 10 1996 2126      116
 3 10 1996 2129      117
 3 10 1996 2132      118
 3 10 1996 2148      119
 3 10 1996 2152      120
 3 10 1996 2211      121
 3 11 1996   13      122
 3 11 1996   43      123
 3 11 1996   52      124
 3 11 1996  119      125
 3 11 1996  446      126
 3 12 1996 1649      127
 3 12 1996 1652      128
 3 12 1996 1739      129
 3 13 1996  446      130
 3 17 1996  835      131
 3 19 1996  138      132
 3 19 1996  148      133
 3 19 1996  159      134
 3 19 1996  209      135
 3 19 1996  231      136
 3 19 1996  831      137
 3 20 1996  904      138
 3 20 1996 1020      139
 3 21 1996 1844      140
 3 21 1996 1846      141
 3 21 1996 1847      142
 3 21 1996 1849      143
 3 21 1996 1849      144
 3 21 1996 1850      145
 3 21 1996 1853      146
 3 21 1996 1855      147
 3 21 1996 1857      148
 3 21 1996 1905      149
 3 21 1996 1923      150
 3 21 1996 1929      151
 3 21 1996 1933      152
 3 21 1996 1937      153
 3 21 1996 1942      154
 3 21 1996 1950      155
 3 21 1996 1958      156
 3 21 1996 2245      157
 3 21 1996 2258      158
 3 21 1996 2321      159
 3 22 1996   23      160
 3 22 1996  200      161
 3 22 1996  301      162
 3 22 1996  316      163
 3 22 1996  324      164
 3 22 1996  340      165
 3 22 1996  349      166
 3 22 1996  359      167
 3 22 1996  405      168
