"sde10493.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/05/10 at 10:35:46"
"By                   : kirk "
"Start date           : 04-06-93-09:43"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 4  6 1993  946        1
 4  6 1993 1105        2
 4  6 1993 1142        3
 4  6 1993 1211        4
 4  6 1993 1240        5
 4  6 1993 1652        6
 4  6 1993 1718        7
 4  6 1993 1720        8
 4  6 1993 1721        9
 4  6 1993 1722       10
 4  6 1993 1722       11
 4  6 1993 1723       12
 4  6 1993 1724       13
 4  6 1993 1725       14
 4  6 1993 1726       15
 4  6 1993 1727       16
 4  7 1993 1816       17
 4  7 1993 2347       18
 4  8 1993   12       19
 4  8 1993  143       20
 4  8 1993  200       21
 4  8 1993  206       22
 4  8 1993  233       23
 4  8 1993  259       24
 4  8 1993  318       25
 4  8 1993  326       26
 4  8 1993  332       27
 4  8 1993  339       28
 4  8 1993  347       29
 4  8 1993  353       30
 4  8 1993  359       31
 4  8 1993  403       32
 4  8 1993  406       33
 4  8 1993  411       34
 4  8 1993  417       35
 4  8 1993  421       36
 4  8 1993  426       37
 4  8 1993  432       38
 4  8 1993  436       39
 4  8 1993  440       40
 4  8 1993  446       41
 4  8 1993  452       42
 4  8 1993  457       43
 4  8 1993  504       44
 4  8 1993  512       45
 4  8 1993  519       46
 4  8 1993  529       47
 4  8 1993  536       48
 4  8 1993  542       49
 4  8 1993  548       50
 4  8 1993  559       51
 4  8 1993  607       52
 4  8 1993  615       53
 4  8 1993  624       54
 4  8 1993  641       55
 4  8 1993  657       56
 4  8 1993  711       57
 4  8 1993  739       58
 4  8 1993  800       59
 4  8 1993  807       60
 4  8 1993  817       61
 4  8 1993  843       62
 4  8 1993  904       63
 4  8 1993  913       64
 4  8 1993  915       65
 4  8 1993  916       66
 4  8 1993  917       67
 4  8 1993  917       68
 4  8 1993  918       69
 4  8 1993  919       70
 4  8 1993  920       71
 4  8 1993  923       72
 4  8 1993  925       73
 4  8 1993  928       74
 4  8 1993  932       75
 4  8 1993 1423       76
 4  8 1993 1429       77
 4  8 1993 1433       78
 4  8 1993 1437       79
 4  8 1993 1440       80
 4  8 1993 1446       81
 4  8 1993 1450       82
 4  8 1993 1453       83
 4  8 1993 1458       84
 4  8 1993 1937       85
 4  8 1993 2001       86
 4  8 1993 2037       87
 4  8 1993 2105       88
 4  8 1993 2108       89
 4  8 1993 2111       90
 4  8 1993 2114       91
 4  8 1993 2129       92
 4  8 1993 2244       93
 4  8 1993 2248       94
 4  8 1993 2250       95
 4  8 1993 2252       96
 4  8 1993 2254       97
 4  8 1993 2255       98
 4  8 1993 2256       99
 4  8 1993 2257      100
 4  8 1993 2258      101
 4  8 1993 2259      102
 4  8 1993 2300      103
 4  8 1993 2301      104
 4  8 1993 2302      105
 4  8 1993 2303      106
 4  8 1993 2305      107
 4  8 1993 2306      108
 4  8 1993 2309      109
 4  8 1993 2310      110
 4  8 1993 2312      111
 4  8 1993 2314      112
 4  8 1993 2316      113
 4  8 1993 2318      114
 4  8 1993 2319      115
 4  8 1993 2321      116
 4  8 1993 2322      117
 4  8 1993 2323      118
 4  8 1993 2325      119
 4  8 1993 2329      120
 4  8 1993 2334      121
 4  8 1993 2338      122
 4  8 1993 2341      123
 4  8 1993 2344      124
 4  8 1993 2347      125
 4  8 1993 2350      126
 4  8 1993 2351      127
 4  8 1993 2353      128
 4  8 1993 2355      129
 4  8 1993 2356      130
 4  8 1993 2359      131
 4  9 1993    1      132
 4  9 1993    4      133
 4  9 1993    7      134
 4  9 1993   10      135
 4  9 1993   12      136
 4  9 1993   13      137
 4  9 1993   15      138
 4  9 1993   16      139
 4  9 1993   18      140
 4  9 1993   20      141
 4  9 1993   22      142
 4  9 1993   24      143
 4  9 1993   26      144
 4  9 1993   29      145
 4  9 1993   32      146
 4  9 1993   37      147
 4  9 1993   45      148
 4  9 1993   55      149
 4  9 1993  104      150
 4  9 1993  118      151
 4  9 1993  122      152
 4  9 1993  131      153
 4  9 1993  217      154
 4  9 1993  221      155
 4  9 1993  224      156
 4  9 1993  238      157
 4  9 1993  418      158
 4  9 1993  510      159
 4  9 1993  520      160
 4  9 1993  524      161
 4  9 1993  528      162
 4  9 1993  536      163
 4  9 1993  547      164
 4  9 1993  602      165
 4  9 1993  609      166
 4  9 1993  700      167
 4  9 1993  705      168
 4  9 1993  709      169
 4  9 1993  714      170
 4  9 1993  722      171
 4  9 1993  730      172
 4  9 1993  733      173
 4  9 1993  750      174
 4  9 1993  947      175
 4  9 1993 1441      176
 4  9 1993 1446      177
 4  9 1993 1448      178
 4  9 1993 1449      179
 4  9 1993 1450      180
 4  9 1993 1452      181
 4  9 1993 1456      182
 4  9 1993 1457      183
 4  9 1993 1459      184
 4  9 1993 1504      185
 4  9 1993 1659      186
 4  9 1993 2018      187
 4  9 1993 2256      188
 4  9 1993 2301      189
 4  9 1993 2308      190
 4  9 1993 2316      191
 4  9 1993 2324      192
 4  9 1993 2328      193
 4  9 1993 2331      194
 4  9 1993 2334      195
 4  9 1993 2337      196
 4  9 1993 2339      197
 4  9 1993 2343      198
 4  9 1993 2346      199
 4  9 1993 2348      200
 4  9 1993 2351      201
 4  9 1993 2356      202
 4 10 1993    3      203
 4 10 1993    7      204
 4 10 1993   11      205
 4 10 1993   14      206
 4 10 1993   19      207
 4 10 1993   25      208
 4 10 1993   40      209
 4 10 1993   51      210
 4 10 1993   54      211
 4 10 1993   58      212
 4 10 1993  109      213
 4 10 1993  151      214
 4 10 1993  156      215
 4 10 1993  200      216
 4 10 1993  223      217
 4 10 1993  905      218
 4 10 1993  916      219
 4 10 1993  921      220
 4 10 1993  949      221
 4 10 1993  958      222
 4 10 1993 1032      223
 4 10 1993 1249      224
 4 10 1993 1255      225
 4 10 1993 1300      226
 4 10 1993 1305      227
 4 10 1993 1310      228
 4 10 1993 1314      229
 4 10 1993 1317      230
 4 10 1993 1321      231
 4 10 1993 1324      232
 4 10 1993 1329      233
 4 10 1993 1332      234
 4 10 1993 1335      235
 4 10 1993 1340      236
 4 10 1993 1347      237
 4 10 1993 1353      238
 4 10 1993 1357      239
 4 10 1993 1359      240
 4 10 1993 1401      241
 4 10 1993 1404      242
 4 10 1993 1406      243
 4 10 1993 1409      244
 4 10 1993 1412      245
 4 10 1993 1414      246
 4 10 1993 1417      247
 4 10 1993 1420      248
 4 10 1993 1423      249
 4 10 1993 1426      250
 4 10 1993 1430      251
 4 10 1993 1435      252
 4 10 1993 1441      253
 4 10 1993 1444      254
 4 10 1993 1447      255
 4 10 1993 1450      256
 4 10 1993 1500      257
 4 10 1993 1542      258
 4 10 1993 1552      259
 4 10 1993 1610      260
 4 10 1993 1735      261
 4 10 1993 1738      262
 4 10 1993 1741      263
 4 10 1993 1745      264
 4 10 1993 1749      265
 4 10 1993 1753      266
 4 10 1993 1810      267
 4 10 1993 1818      268
 4 10 1993 1828      269
 4 10 1993 1846      270
 4 10 1993 1944      271
 4 10 1993 1959      272
 4 10 1993 2151      273
 4 10 1993 2312      274
 4 10 1993 2348      275
 4 11 1993   25      276
 4 11 1993   59      277
 4 11 1993  117      278
 4 11 1993  132      279
 4 11 1993  158      280
 4 11 1993  208      281
 4 11 1993  216      282
 4 11 1993  227      283
 4 11 1993  235      284
 4 11 1993  247      285
 4 11 1993  354      286
 4 13 1993  403      287
 4 13 1993  433      288
 4 13 1993  514      289
 4 13 1993  545      290
 4 13 1993  559      291
 4 13 1993  617      292
 4 13 1993  630      293
 4 13 1993  646      294
 4 13 1993  659      295
 4 13 1993  709      296
 4 13 1993  721      297
 4 13 1993  731      298
 4 13 1993  750      299
 4 13 1993  803      300
 4 13 1993  820      301
 4 13 1993  844      302
 4 13 1993  902      303
 4 13 1993  921      304
 4 13 1993  953      305
 4 13 1993 1517      306
 4 13 1993 1646      307
 4 13 1993 1647      308
 4 13 1993 1649      309
 4 14 1993 2037      310
 4 14 1993 2100      311
 4 14 1993 2110      312
 4 14 1993 2119      313
 4 14 1993 2125      314
 4 14 1993 2133      315
 4 14 1993 2146      316
 4 14 1993 2200      317
 4 14 1993 2217      318
 4 14 1993 2233      319
 4 14 1993 2309      320
 4 15 1993  206      321
 4 15 1993  451      322
 4 15 1993  458      323
 4 15 1993  509      324
 4 15 1993  512      325
 4 15 1993  513      326
 4 15 1993  514      327
 4 15 1993  518      328
 4 15 1993  525      329
 4 15 1993  530      330
 4 15 1993  534      331
 4 15 1993  535      332
 4 15 1993  539      333
 4 15 1993  543      334
 4 15 1993  622      335
 4 15 1993  635      336
 4 15 1993  642      337
 4 15 1993  724      338
 4 15 1993  732      339
 4 15 1993  741      340
 4 15 1993  800      341
 4 15 1993  847      342
 4 15 1993  852      343
 4 15 1993  854      344
 4 15 1993  857      345
 4 15 1993  916      346
 4 16 1993 1423      347
 4 16 1993 1542      348
 4 16 1993 1611      349
 4 16 1993 1727      350
 4 16 1993 1742      351
 4 16 1993 1750      352
 4 16 1993 1756      353
 4 16 1993 1802      354
 4 16 1993 1807      355
 4 16 1993 1813      356
 4 16 1993 1820      357
 4 16 1993 1831      358
 4 16 1993 1841      359
 4 16 1993 1856      360
 4 16 1993 1912      361
 4 16 1993 1923      362
 4 16 1993 1935      363
 4 16 1993 1952      364
 4 16 1993 2025      365
 4 16 1993 2044      366
 4 16 1993 2115      367
 4 16 1993 2117      368
 4 16 1993 2123      369
 4 16 1993 2205      370
 4 17 1993  409      371
 4 17 1993  513      372
 4 17 1993  839      373
 4 17 1993 1046      374
 4 17 1993 1131      375
 4 17 1993 1135      376
 4 17 1993 1139      377
 4 17 1993 1144      378
 4 17 1993 1152      379
 4 17 1993 1218      380
 4 17 1993 1240      381
 4 17 1993 1536      382
 4 17 1993 1832      383
 4 17 1993 1837      384
 4 18 1993  428      385
 4 18 1993  622      386
 4 18 1993  859      387
 4 18 1993  906      388
 4 18 1993  910      389
 4 18 1993  918      390
 4 18 1993 1037      391
 4 18 1993 1056      392
 4 20 1993 1910      393
 4 20 1993 1957      394
 4 21 1993  314      395
 4 21 1993  329      396
 4 21 1993  333      397
 4 21 1993  340      398
 4 21 1993  445      399
 4 21 1993  707      400
 4 21 1993  719      401
 4 21 1993  726      402
 4 21 1993  737      403
 4 21 1993 1118      404
 4 21 1993 1355      405
 4 21 1993 1356      406
 4 21 1993 1357      407
 4 21 1993 1358      408
 4 21 1993 1358      409
 4 21 1993 1359      410
 4 21 1993 1400      411
 4 21 1993 1400      412
 4 21 1993 1401      413
 4 21 1993 1401      414
 4 21 1993 1402      415
 4 21 1993 1403      416
 4 21 1993 1405      417
 4 21 1993 1406      418
 4 21 1993 1406      419
 4 21 1993 1406      420
 4 21 1993 1407      421
 4 21 1993 1414      422
 4 21 1993 1455      423
 4 21 1993 1548      424
 4 21 1993 1550      425
 4 21 1993 1550      426
 4 21 1993 1551      427
 4 21 1993 1552      428
 4 21 1993 1553      429
 4 21 1993 1554      430
 4 21 1993 1556      431
 4 21 1993 1603      432
 4 21 1993 1731      433
 4 21 1993 1732      434
 4 21 1993 1737      435
 4 21 1993 1740      436
 4 21 1993 1745      437
 4 21 1993 1956      438
 4 21 1993 2002      439
 4 21 1993 2003      440
 4 21 1993 2004      441
 4 21 1993 2005      442
 4 21 1993 2006      443
 4 21 1993 2009      444
 4 21 1993 2012      445
 4 21 1993 2013      446
 4 21 1993 2014      447
 4 21 1993 2014      448
 4 21 1993 2014      449
 4 21 1993 2015      450
 4 21 1993 2016      451
 4 21 1993 2017      452
 4 21 1993 2018      453
 4 21 1993 2020      454
 4 21 1993 2022      455
 4 21 1993 2023      456
 4 21 1993 2026      457
 4 21 1993 2031      458
 4 21 1993 2118      459
 4 21 1993 2157      460
 4 21 1993 2159      461
 4 21 1993 2159      462
 4 21 1993 2200      463
 4 21 1993 2201      464
 4 21 1993 2203      465
 4 21 1993 2211      466
 4 21 1993 2324      467
 4 21 1993 2333      468
 4 21 1993 2346      469
 4 22 1993   14      470
 4 22 1993  858      471
 4 22 1993 1031      472
 4 22 1993 1248      473
 4 22 1993 2046      474
 4 23 1993  215      475
 4 23 1993  310      476
 4 23 1993  327      477
 4 23 1993  346      478
 4 23 1993  415      479
 4 23 1993  442      480
 4 23 1993  514      481
 4 23 1993  609      482
 4 23 1993  657      483
 4 23 1993  749      484
 4 23 1993  822      485
 4 23 1993  940      486
 4 23 1993 1015      487
 4 23 1993 1046      488
 4 23 1993 1708      489
 4 23 1993 1805      490
 4 23 1993 1838      491
 4 23 1993 1848      492
 4 23 1993 1857      493
 4 23 1993 1918      494
 4 23 1993 1943      495
 4 23 1993 2001      496
 4 23 1993 2015      497
 4 23 1993 2034      498
 4 23 1993 2053      499
 4 23 1993 2119      500
 4 24 1993   34      501
 4 24 1993  426      502
 4 24 1993  442      503
 4 24 1993  458      504
 4 24 1993  511      505
 4 24 1993  544      506
 4 24 1993  949      507
 4 24 1993  952      508
 4 24 1993 1132      509
 4 24 1993 1136      510
 4 24 1993 1232      511
 4 24 1993 2100      512
 4 24 1993 2252      513
 4 24 1993 2319      514
 4 25 1993  203      515
 4 25 1993  234      516
 4 25 1993  301      517
 4 25 1993  314      518
 4 25 1993  320      519
 4 25 1993  327      520
 4 25 1993  337      521
 4 25 1993  401      522
 4 25 1993  423      523
 4 25 1993  434      524
 4 25 1993  452      525
 4 25 1993  457      526
 4 25 1993  459      527
 4 25 1993  502      528
 4 25 1993  506      529
 4 25 1993  512      530
 4 25 1993  537      531
 4 25 1993  605      532
 4 25 1993  704      533
 4 25 1993  834      534
 4 25 1993  857      535
 4 25 1993  904      536
 4 25 1993  906      537
 4 25 1993  908      538
 4 25 1993  913      539
 4 25 1993  917      540
 4 25 1993  920      541
 4 25 1993  922      542
 4 25 1993  926      543
 4 25 1993  936      544
 4 25 1993 1014      545
 4 25 1993 1027      546
 4 25 1993 1047      547
 4 25 1993 1344      548
 4 25 1993 1351      549
 4 25 1993 1352      550
 4 25 1993 1352      551
 4 25 1993 1353      552
 4 25 1993 1353      553
 4 25 1993 1354      554
 4 25 1993 1354      555
 4 25 1993 1355      556
 4 25 1993 1355      557
 4 25 1993 1356      558
 4 25 1993 1356      559
 4 25 1993 1357      560
 4 25 1993 1358      561
 4 25 1993 1400      562
 4 25 1993 1404      563
 4 25 1993 1409      564
 4 25 1993 1718      565
 4 25 1993 1725      566
 4 25 1993 1730      567
 4 25 1993 1841      568
 4 25 1993 1857      569
 4 25 1993 2247      570
 4 26 1993  104      571
 4 26 1993  203      572
 4 26 1993  213      573
 4 26 1993  224      574
 4 26 1993  229      575
 4 26 1993  234      576
 4 26 1993  242      577
 4 26 1993  253      578
 4 26 1993  324      579
 4 26 1993  328      580
 4 26 1993  333      581
 4 26 1993  405      582
 4 26 1993  441      583
 4 26 1993  600      584
 4 26 1993  615      585
 4 26 1993  635      586
 4 26 1993  725      587
 4 26 1993  811      588
 4 26 1993  913      589
 4 26 1993 1120      590
 4 26 1993 1307      591
 4 26 1993 1310      592
 4 26 1993 1312      593
 4 26 1993 1315      594
 4 26 1993 1316      595
 4 26 1993 1318      596
 4 26 1993 1319      597
 4 26 1993 1321      598
 4 26 1993 1323      599
 4 26 1993 1323      600
 4 26 1993 1324      601
 4 26 1993 1325      602
 4 26 1993 1326      603
 4 26 1993 1327      604
 4 26 1993 1329      605
 4 26 1993 1359      606
 4 26 1993 1414      607
 4 26 1993 1418      608
 4 26 1993 1457      609
 4 26 1993 1532      610
 4 26 1993 1535      611
 4 26 1993 1542      612
 4 26 1993 1733      613
 4 27 1993   59      614
 4 27 1993  117      615
 4 27 1993  121      616
 4 27 1993  126      617
 4 27 1993  220      618
 4 27 1993  323      619
 4 27 1993  349      620
 4 27 1993  450      621
 4 27 1993  701      622
 4 28 1993  800      623
 4 28 1993  836      624
 4 28 1993  919      625
 4 28 1993  930      626
 4 28 1993  947      627
 4 28 1993 1006      628
 4 28 1993 1029      629
 4 28 1993 1056      630
 4 28 1993 1159      631
 4 28 1993 1729      632
 4 28 1993 1752      633
 4 28 1993 1829      634
 4 28 1993 1942      635
 4 28 1993 2206      636
 4 28 1993 2337      637
 4 29 1993   24      638
 4 29 1993  118      639
 4 29 1993  137      640
 4 29 1993  155      641
 4 29 1993  226      642
 4 29 1993  251      643
 4 29 1993  304      644
 4 29 1993  346      645
 4 29 1993  403      646
 4 29 1993  412      647
 4 29 1993  421      648
 4 29 1993  428      649
 4 29 1993  434      650
 4 29 1993  509      651
 4 29 1993  528      652
 4 29 1993  618      653
 5  1 1993 1054      654
 5  1 1993 1055      655
 5  1 1993 1056      656
 5  1 1993 1057      657
 5  1 1993 1058      658
 5  1 1993 1112      659
 5  1 1993 1118      660
 5  1 1993 1124      661
 5  1 1993 1128      662
 5  1 1993 1133      663
 5  1 1993 1149      664
 5  1 1993 1218      665
 5  1 1993 1235      666
 5  1 1993 1307      667
 5  1 1993 1637      668
 5  1 1993 1735      669
 5  1 1993 1824      670
 5  1 1993 1923      671
 5  1 1993 2115      672
 5  2 1993  314      673
 5  2 1993  327      674
 5  2 1993  444      675
 5  2 1993  453      676
 5  2 1993  457      677
 5  2 1993  459      678
 5  2 1993  501      679
 5  2 1993  502      680
 5  2 1993  502      681
 5  2 1993  503      682
 5  2 1993  504      683
 5  2 1993  506      684
 5  2 1993  508      685
 5  2 1993  515      686
 5  2 1993  526      687
 5  2 1993  611      688
 5  3 1993  307      689
 5  3 1993  309      690
 5  3 1993  324      691
 5  3 1993  336      692
 5  3 1993  406      693
 5  3 1993  414      694
 5  3 1993  421      695
 5  3 1993  431      696
 5  3 1993  442      697
 5  3 1993  448      698
 5  3 1993  454      699
 5  3 1993  459      700
 5  3 1993  504      701
 5  3 1993  510      702
 5  3 1993  515      703
 5  3 1993  521      704
 5  3 1993  525      705
 5  3 1993  529      706
 5  3 1993  532      707
 5  3 1993  535      708
 5  3 1993  538      709
 5  3 1993  541      710
 5  3 1993  545      711
 5  3 1993  548      712
 5  3 1993  552      713
 5  3 1993  557      714
 5  3 1993  601      715
 5  3 1993  610      716
 5  3 1993  616      717
 5  3 1993  622      718
 5  3 1993  626      719
 5  3 1993  631      720
 5  3 1993  638      721
 5  3 1993  646      722
 5  3 1993  652      723
 5  3 1993  707      724
 5  3 1993  720      725
 5  3 1993  730      726
 5  3 1993  741      727
 5  3 1993  817      728
 5  3 1993  831      729
 5  3 1993  839      730
 5  3 1993  846      731
 5  3 1993  853      732
 5  3 1993  902      733
 5  3 1993 1141      734
 5  3 1993 1145      735
 5  3 1993 1148      736
 5  3 1993 1155      737
 5  3 1993 1255      738
 5  3 1993 1323      739
 5  3 1993 1431      740
 5  3 1993 1435      741
 5  3 1993 1436      742
 5  3 1993 1437      743
