"PDE10495.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/05/16 at 09:26:44"
"By                   : KIRK"
"Start date           : 04-06-95-12:04"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 4  6 1995 2027        1
 4  6 1995 2129        2
 4  6 1995 2140        3
 4  6 1995 2156        4
 4  6 1995 2210        5
 4  6 1995 2244        6
 4  6 1995 2334        7
 4  6 1995 2351        8
 4  6 1995 2352        9
 4  6 1995 2359       10
 4  7 1995   19       11
 4  7 1995   35       12
 4  7 1995  105       13
 4  7 1995  131       14
 4  7 1995  229       15
 4  7 1995  242       16
 4  7 1995  254       17
 4  7 1995  311       18
 4  7 1995  320       19
 4  7 1995  327       20
 4  7 1995  350       21
 4  7 1995  401       22
 4  7 1995  445       23
 4  7 1995  540       24
 4  7 1995  548       25
 4  7 1995  555       26
 4  7 1995  559       27
 4  7 1995  606       28
 4  7 1995  651       29
 4  7 1995  653       30
 4  7 1995  705       31
 4  7 1995  743       32
 4  7 1995  748       33
 4  7 1995 1004       34
 4  7 1995 1012       35
 4  7 1995 1023       36
 4  7 1995 1026       37
 4  7 1995 1029       38
 4  7 1995 1032       39
 4  7 1995 1036       40
 4  7 1995 1043       41
 4  7 1995 1224       42
 4  7 1995 1915       43
 4  7 1995 2032       44
 4  7 1995 2054       45
 4  7 1995 2118       46
 4  7 1995 2138       47
 4  8 1995   37       48
 4  8 1995   53       49
 4  8 1995  105       50
 4  8 1995  115       51
 4  8 1995  133       52
 4  8 1995  148       53
 4  8 1995  220       54
 4  8 1995  232       55
 4  8 1995  313       56
 4  8 1995  633       57
 4  8 1995 1222       58
 4  8 1995 1249       59
 4  8 1995 1430       60
 4  8 1995 1439       61
 4  8 1995 1447       62
 4  8 1995 1702       63
 4  8 1995 1708       64
 4  8 1995 1719       65
 4  8 1995 1805       66
 4  8 1995 2309       67
 4 10 1995 1054       68
 4 10 1995 1238       69
 4 10 1995 1251       70
 4 10 1995 1315       71
 4 10 1995 1327       72
 4 10 1995 1333       73
 4 10 1995 1342       74
 4 10 1995 1355       75
 4 10 1995 1406       76
 4 10 1995 1414       77
 4 10 1995 1424       78
 4 10 1995 1442       79
 4 10 1995 1530       80
 4 10 1995 1543       81
 4 10 1995 1549       82
 4 10 1995 1557       83
 4 10 1995 1609       84
 4 10 1995 1623       85
 4 10 1995 1639       86
 4 10 1995 1649       87
 4 10 1995 1655       88
 4 10 1995 1704       89
 4 10 1995 1715       90
 4 10 1995 1723       91
 4 10 1995 1736       92
 4 10 1995 1750       93
 4 10 1995 1805       94
 4 10 1995 1917       95
 4 10 1995 2101       96
 4 11 1995  743       97
 4 12 1995  639       98
 4 12 1995  704       99
 4 12 1995  728      100
 4 12 1995  735      101
 4 12 1995  744      102
 4 12 1995  759      103
 4 12 1995  811      104
 4 12 1995  818      105
 4 12 1995  822      106
 4 12 1995  827      107
 4 12 1995  834      108
 4 12 1995  843      109
 4 12 1995  958      110
 4 12 1995 1011      111
 4 12 1995 1021      112
 4 12 1995 1030      113
 4 12 1995 1039      114
 4 12 1995 1049      115
 4 12 1995 1058      116
 4 12 1995 1108      117
 4 12 1995 1119      118
 4 12 1995 1129      119
 4 12 1995 1138      120
 4 12 1995 1154      121
 4 12 1995 1219      122
 4 12 1995 1317      123
 4 12 1995 1325      124
 4 12 1995 1332      125
 4 12 1995 1338      126
 4 12 1995 1343      127
 4 12 1995 1347      128
 4 12 1995 1350      129
 4 12 1995 1353      130
 4 12 1995 1356      131
 4 12 1995 1359      132
 4 12 1995 1402      133
 4 12 1995 1406      134
 4 12 1995 1412      135
 4 12 1995 1420      136
 4 12 1995 1433      137
 4 12 1995 1443      138
 4 12 1995 1450      139
 4 12 1995 1457      140
 4 12 1995 1505      141
 4 12 1995 1513      142
 4 12 1995 1520      143
 4 12 1995 1528      144
 4 12 1995 1540      145
 4 12 1995 1546      146
 4 12 1995 1558      147
 4 12 1995 1603      148
 4 12 1995 1607      149
 4 12 1995 1611      150
 4 12 1995 1615      151
 4 12 1995 1624      152
 4 12 1995 1655      153
 4 12 1995 1725      154
 4 12 1995 1734      155
 4 12 1995 1740      156
 4 12 1995 1750      157
 4 12 1995 1807      158
 4 12 1995 1849      159
 4 12 1995 2111      160
 4 12 1995 2112      161
 4 12 1995 2113      162
 4 12 1995 2121      163
 4 12 1995 2129      164
 4 13 1995  703      165
 4 13 1995 1316      166
 4 13 1995 1408      167
 4 14 1995 1131      168
 4 14 1995 1134      169
 4 14 1995 1136      170
 4 14 1995 1141      171
 4 14 1995 1427      172
 4 14 1995 1427      173
 4 14 1995 1428      174
 4 14 1995 1429      175
 4 14 1995 1429      176
 4 14 1995 1430      177
 4 14 1995 1431      178
 4 14 1995 1434      179
 4 14 1995 1435      180
 4 14 1995 1436      181
 4 14 1995 1437      182
 4 14 1995 1438      183
 4 14 1995 1440      184
 4 14 1995 1442      185
 4 14 1995 1445      186
 4 14 1995 1449      187
 4 14 1995 2321      188
 4 15 1995  147      189
 4 15 1995  309      190
 4 15 1995 1607      191
 4 17 1995 1443      192
 4 17 1995 1450      193
 4 18 1995  213      194
 4 18 1995 1328      195
 4 18 1995 1355      196
 4 18 1995 1358      197
 4 18 1995 1400      198
 4 18 1995 1402      199
 4 18 1995 1404      200
 4 18 1995 1406      201
 4 18 1995 1408      202
 4 18 1995 1411      203
 4 18 1995 1413      204
 4 18 1995 1416      205
 4 18 1995 1419      206
 4 18 1995 1422      207
 4 18 1995 1425      208
 4 18 1995 1429      209
 4 18 1995 1633      210
 4 18 1995 1635      211
 4 18 1995 1638      212
 4 19 1995 2029      213
 4 19 1995 2047      214
 4 19 1995 2057      215
 4 19 1995 2102      216
 4 19 1995 2108      217
 4 19 1995 2117      218
 4 19 1995 2126      219
 4 19 1995 2134      220
 4 19 1995 2140      221
 4 19 1995 2148      222
 4 19 1995 2156      223
 4 19 1995 2206      224
 4 19 1995 2215      225
 4 19 1995 2223      226
 4 19 1995 2231      227
 4 19 1995 2239      228
 4 19 1995 2248      229
 4 19 1995 2316      230
 4 19 1995 2343      231
 4 19 1995 2356      232
 4 20 1995    6      233
 4 20 1995   15      234
 4 20 1995   22      235
 4 20 1995   30      236
 4 20 1995  106      237
 4 20 1995  127      238
 4 20 1995  430      239
 4 27 1995 1710      240
 4 27 1995 1727      241
 4 27 1995 1732      242
 4 27 1995 1736      243
 4 27 1995 1741      244
 4 27 1995 1746      245
 4 27 1995 1750      246
 4 27 1995 1752      247
 4 27 1995 1755      248
 4 27 1995 1759      249
 4 27 1995 1801      250
 4 27 1995 1805      251
 4 27 1995 1808      252
 4 27 1995 1812      253
 4 27 1995 1816      254
 4 27 1995 1819      255
 4 27 1995 1823      256
 4 27 1995 1829      257
 4 27 1995 1832      258
 4 27 1995 1836      259
 4 27 1995 1839      260
 4 27 1995 1846      261
 4 27 1995 1854      262
 4 27 1995 1857      263
 4 27 1995 1859      264
 4 27 1995 1902      265
 4 27 1995 1906      266
 4 27 1995 1909      267
 4 27 1995 1913      268
 4 27 1995 1918      269
 4 27 1995 1926      270
 4 27 1995 1937      271
 4 27 1995 1954      272
 4 27 1995 2008      273
 4 27 1995 2014      274
 4 27 1995 2018      275
 4 27 1995 2025      276
 4 27 1995 2043      277
 4 27 1995 2226      278
 4 27 1995 2353      279
 4 28 1995  441      280
 4 28 1995  459      281
 4 28 1995  509      282
 4 28 1995  525      283
 4 28 1995  540      284
 4 28 1995  557      285
 4 28 1995  611      286
 4 28 1995  629      287
 4 28 1995  656      288
 4 28 1995  719      289
 4 28 1995  813      290
 4 28 1995  843      291
 4 28 1995  918      292
 4 29 1995  802      293
 4 29 1995 1648      294
 4 29 1995 1709      295
 4 29 1995 1717      296
 5  1 1995  612      297
 5  1 1995  811      298
 5  1 1995 1040      299
 5  1 1995 1133      300
 5  1 1995 1152      301
 5  1 1995 1215      302
 5  1 1995 1347      303
 5  1 1995 1414      304
 5  1 1995 1426      305
 5  1 1995 1442      306
 5  1 1995 1505      307
 5  1 1995 1545      308
 5  1 1995 1615      309
 5  1 1995 1634      310
 5  1 1995 1721      311
 5  1 1995 1738      312
 5  1 1995 1747      313
 5  1 1995 1753      314
 5  1 1995 1801      315
 5  1 1995 1813      316
 5  1 1995 1826      317
 5  1 1995 1841      318
 5  1 1995 1853      319
 5  1 1995 1905      320
 5  1 1995 1920      321
 5  1 1995 1942      322
 5  1 1995 2000      323
 5  1 1995 2007      324
 5  1 1995 2017      325
 5  1 1995 2024      326
 5  1 1995 2035      327
 5  1 1995 2042      328
 5  1 1995 2049      329
 5  1 1995 2054      330
 5  1 1995 2058      331
 5  1 1995 2103      332
 5  1 1995 2107      333
 5  1 1995 2111      334
 5  1 1995 2114      335
 5  1 1995 2117      336
 5  1 1995 2119      337
 5  1 1995 2123      338
 5  1 1995 2127      339
 5  1 1995 2132      340
 5  1 1995 2139      341
 5  1 1995 2146      342
 5  1 1995 2152      343
 5  1 1995 2157      344
 5  1 1995 2201      345
 5  1 1995 2205      346
 5  1 1995 2211      347
 5  1 1995 2217      348
 5  1 1995 2227      349
 5  1 1995 2240      350
 5  1 1995 2254      351
 5  1 1995 2317      352
 5  1 1995 2335      353
 5  1 1995 2342      354
 5  1 1995 2355      355
 5  2 1995   34      356
 5  2 1995  117      357
 5  2 1995  201      358
 5  2 1995  250      359
 5  2 1995  310      360
 5  2 1995  354      361
 5  2 1995  403      362
 5  2 1995  409      363
 5  2 1995 1122      364
 5  2 1995 1131      365
 5  3 1995 1302      366
 5  3 1995 1304      367
 5  3 1995 1305      368
 5  3 1995 1306      369
 5  3 1995 1309      370
 5  4 1995 2355      371
 5  5 1995   59      372
 5  5 1995  125      373
 5  5 1995  138      374
 5  5 1995  152      375
 5  5 1995  207      376
 5  5 1995  217      377
 5  5 1995  227      378
 5  5 1995  239      379
 5  5 1995  258      380
 5  5 1995  316      381
 5  5 1995  333      382
 5  5 1995  348      383
 5  5 1995  356      384
 5  5 1995  415      385
 5  5 1995  436      386
 5  5 1995  459      387
 5  5 1995  515      388
 5  5 1995  528      389
 5  5 1995  535      390
 5  5 1995  543      391
 5  5 1995  556      392
 5  5 1995  607      393
 5  5 1995  625      394
 5  5 1995  635      395
 5  5 1995  641      396
 5  5 1995  649      397
 5  5 1995  655      398
 5  5 1995  709      399
 5  5 1995  723      400
 5  5 1995  738      401
 5  5 1995  945      402
 5  8 1995  655      403
