"pde10593.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/06/23 at 07:58:33"
"By                   : kirk "
"Start date           : 05-04-93-10:00"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 5  4 1993 1003        1
 5  5 1993 1906        2
 5  5 1993 1912        3
 5  5 1993 1926        4
 5  5 1993 1941        5
 5  5 1993 2008        6
 5  5 1993 2022        7
 5  5 1993 2031        8
 5  5 1993 2043        9
 5  5 1993 2055       10
 5  5 1993 2113       11
 5  5 1993 2126       12
 5  5 1993 2138       13
 5  5 1993 2148       14
 5  5 1993 2158       15
 5  5 1993 2203       16
 5  5 1993 2210       17
 5  5 1993 2218       18
 5  5 1993 2226       19
 5  5 1993 2236       20
 5  5 1993 2252       21
 5  5 1993 2302       22
 5  5 1993 2313       23
 5  5 1993 2326       24
 5  5 1993 2340       25
 5  5 1993 2357       26
 5  6 1993   16       27
 5  6 1993   38       28
 5  6 1993  131       29
 5  6 1993  200       30
 5  6 1993  424       31
 5  6 1993  502       32
 5  6 1993 1436       33
 5  6 1993 1441       34
 5  6 1993 1442       35
 5  6 1993 1442       36
 5  6 1993 1443       37
 5  6 1993 1443       38
 5  6 1993 1444       39
 5  6 1993 1447       40
 5  7 1993  604       41
 5  7 1993  825       42
 5  7 1993  900       43
 5  7 1993  905       44
 5  7 1993  910       45
 5  7 1993  921       46
 5  7 1993  930       47
 5  7 1993 1051       48
 5  7 1993 1101       49
 5  7 1993 1135       50
 5  7 1993 1208       51
 5  7 1993 1223       52
 5  7 1993 1249       53
 5  7 1993 1325       54
 5  7 1993 1333       55
 5  7 1993 1336       56
 5  7 1993 1339       57
 5  7 1993 1342       58
 5  7 1993 1347       59
 5  7 1993 1447       60
 5  7 1993 1453       61
 5  7 1993 1505       62
 5  7 1993 1508       63
 5  7 1993 1511       64
 5  7 1993 1528       65
 5  7 1993 1544       66
 5  7 1993 1546       67
 5  7 1993 1548       68
 5  7 1993 1550       69
 5  7 1993 1552       70
 5  7 1993 1634       71
 5  7 1993 1637       72
 5  7 1993 1641       73
 5  7 1993 1647       74
 5  7 1993 1711       75
 5  7 1993 1714       76
 5  7 1993 1718       77
 5  7 1993 1746       78
 5  7 1993 1812       79
 5  7 1993 1859       80
 5  7 1993 1904       81
 5  8 1993 1214       82
 5  9 1993 1925       83
 5  9 1993 1944       84
 5  9 1993 2007       85
 5  9 1993 2156       86
 5  9 1993 2204       87
 5  9 1993 2211       88
 5  9 1993 2222       89
 5  9 1993 2226       90
 5  9 1993 2230       91
 5  9 1993 2232       92
 5  9 1993 2233       93
 5  9 1993 2235       94
 5  9 1993 2237       95
 5  9 1993 2240       96
 5  9 1993 2247       97
 5 10 1993  424       98
 5 14 1993  619       99
 5 14 1993  624      100
 5 14 1993  637      101
 5 14 1993  808      102
 5 19 1993 1615      103
 5 19 1993 1631      104
 5 19 1993 1644      105
 5 19 1993 1757      106
 5 19 1993 1841      107
 5 19 1993 1848      108
 5 19 1993 1915      109
 5 19 1993 1921      110
 5 19 1993 1929      111
 5 19 1993 1940      112
 5 19 1993 1949      113
 5 19 1993 1954      114
 5 19 1993 2009      115
 5 19 1993 2026      116
 5 19 1993 2103      117
 5 19 1993 2123      118
 5 19 1993 2130      119
 5 19 1993 2135      120
 5 19 1993 2142      121
 5 19 1993 2150      122
 5 19 1993 2202      123
 5 19 1993 2211      124
 5 19 1993 2218      125
 5 19 1993 2232      126
 5 19 1993 2247      127
 5 19 1993 2251      128
 5 19 1993 2307      129
 5 19 1993 2328      130
 5 19 1993 2333      131
 5 19 1993 2338      132
 5 19 1993 2342      133
 5 19 1993 2344      134
 5 19 1993 2347      135
 5 19 1993 2354      136
 5 20 1993    7      137
 5 20 1993   19      138
 5 20 1993   29      139
 5 20 1993   42      140
 5 20 1993  543      141
 5 20 1993 1744      142
 5 20 1993 2039      143
 5 20 1993 2046      144
 5 20 1993 2051      145
 5 20 1993 2056      146
 5 20 1993 2104      147
 5 20 1993 2111      148
 5 20 1993 2120      149
 5 20 1993 2128      150
 5 20 1993 2136      151
 5 20 1993 2144      152
 5 20 1993 2154      153
 5 20 1993 2205      154
 5 20 1993 2218      155
 5 20 1993 2230      156
 5 20 1993 2246      157
 5 20 1993 2302      158
 5 20 1993 2318      159
 5 20 1993 2331      160
 5 20 1993 2348      161
 5 21 1993    9      162
 5 21 1993   55      163
 5 21 1993  121      164
 5 21 1993  152      165
 5 21 1993  223      166
 5 21 1993  350      167
 5 21 1993  457      168
 5 21 1993  529      169
 5 21 1993  602      170
 5 21 1993  652      171
 5 21 1993  750      172
 5 21 1993 2208      173
 5 22 1993  207      174
 5 22 1993  530      175
 5 22 1993  745      176
 5 28 1993 1649      177
 5 28 1993 1656      178
 5 28 1993 1702      179
 5 28 1993 1708      180
 5 28 1993 1715      181
 5 28 1993 1721      182
 5 28 1993 1728      183
 5 28 1993 1735      184
 5 28 1993 1744      185
 5 28 1993 1752      186
 5 28 1993 1803      187
 5 28 1993 1811      188
 5 28 1993 1820      189
 5 28 1993 1827      190
 5 28 1993 1837      191
 5 28 1993 1845      192
 5 28 1993 1855      193
 5 28 1993 1905      194
 5 28 1993 1916      195
 5 28 1993 1926      196
 5 28 1993 1939      197
 5 28 1993 1950      198
 5 28 1993 2003      199
 5 28 1993 2015      200
 5 28 1993 2029      201
 5 28 1993 2041      202
 5 28 1993 2057      203
 5 28 1993 2112      204
 5 28 1993 2130      205
 5 28 1993 2147      206
 5 28 1993 2208      207
 5 28 1993 2228      208
 5 28 1993 2253      209
 5 28 1993 2318      210
 5 28 1993 2350      211
 5 29 1993   19      212
 5 29 1993   56      213
 5 29 1993  131      214
 5 29 1993  219      215
 5 29 1993  307      216
 5 29 1993  407      217
 5 29 1993  504      218
 5 29 1993  613      219
 5 29 1993  715      220
 5 29 1993  819      221
 5 29 1993  913      222
 5 29 1993  951      223
 5 29 1993 1023      224
 5 29 1993 1052      225
 5 29 1993 1112      226
 5 29 1993 1129      227
 5 29 1993 1143      228
 5 29 1993 1159      229
 5 29 1993 1213      230
 5 29 1993 1231      231
 5 29 1993 1250      232
 5 29 1993 1312      233
 5 29 1993 1336      234
 5 29 1993 1405      235
 5 29 1993 1429      236
 5 29 1993 1447      237
 5 29 1993 1506      238
 5 29 1993 1528      239
 5 29 1993 1550      240
 5 29 1993 1618      241
 5 29 1993 1642      242
 5 29 1993 1707      243
 5 29 1993 1731      244
 5 29 1993 1756      245
 5 29 1993 1822      246
 5 29 1993 1854      247
 5 29 1993 1929      248
 5 29 1993 2016      249
