"pde10693.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/07/14 at 09:23:45"
"By                   : john "
"Start date           : 06-03-93-09:36"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Chamber Creek @ Rich"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 6  4 1993  752        1
 6  4 1993  814        2
 6  4 1993  839        3
 6  4 1993  859        4
 6  4 1993  911        5
 6  4 1993  925        6
 6  4 1993 1012        7
 6  6 1993   11        8
 6  6 1993   36        9
 6  6 1993   50       10
 6  6 1993  102       11
 6  6 1993  115       12
 6  9 1993  316       13
 6  9 1993  435       14
 6  9 1993  507       15
 6  9 1993  520       16
 6  9 1993  529       17
 6  9 1993  537       18
 6  9 1993  545       19
 6  9 1993  550       20
 6  9 1993  558       21
 6  9 1993  605       22
 6  9 1993  613       23
 6  9 1993  620       24
 6  9 1993  630       25
 6  9 1993  639       26
 6  9 1993  644       27
 6  9 1993  652       28
 6  9 1993  704       29
 6  9 1993  716       30
 6  9 1993  725       31
 6  9 1993  730       32
 6  9 1993  737       33
 6  9 1993  745       34
 6  9 1993  750       35
 6  9 1993  754       36
 6  9 1993  759       37
 6  9 1993  804       38
 6  9 1993  808       39
 6  9 1993  810       40
 6  9 1993  813       41
 6  9 1993  816       42
 6  9 1993  820       43
 6  9 1993  825       44
 6  9 1993  829       45
 6  9 1993  832       46
 6  9 1993  837       47
 6  9 1993  843       48
 6  9 1993  850       49
 6  9 1993  900       50
 6  9 1993  903       51
 6  9 1993  908       52
 6  9 1993  912       53
 6  9 1993  914       54
 6  9 1993  918       55
 6  9 1993  921       56
 6  9 1993  926       57
 6  9 1993  928       58
 6  9 1993  932       59
 6  9 1993  935       60
 6  9 1993  938       61
 6  9 1993  941       62
 6  9 1993  946       63
 6  9 1993 1007       64
 6  9 1993 1037       65
 6  9 1993 1115       66
 6  9 1993 1206       67
 6  9 1993 1220       68
 6  9 1993 1227       69
 6  9 1993 1232       70
 6  9 1993 1244       71
 6  9 1993 1245       72
 6  9 1993 1245       73
 6  9 1993 1245       74
 6  9 1993 1246       75
 6  9 1993 1249       76
 6  9 1993 1258       77
 6  9 1993 1316       78
 6 10 1993  921       79
 6 10 1993 1537       80
 6 10 1993 1640       81
 6 10 1993 1702       82
 6 10 1993 1707       83
 6 10 1993 1708       84
 6 10 1993 1709       85
 6 10 1993 1710       86
 6 10 1993 1713       87
 6 10 1993 1719       88
 6 10 1993 1725       89
 6 10 1993 1727       90
 6 10 1993 1728       91
 6 10 1993 1732       92
 6 10 1993 1819       93
 6 11 1993   10       94
 6 11 1993   13       95
 6 11 1993   15       96
 6 11 1993   16       97
 6 11 1993   17       98
 6 11 1993   19       99
 6 11 1993   21      100
 6 11 1993   24      101
 6 11 1993   28      102
 6 11 1993   32      103
 6 11 1993   42      104
 6 11 1993  326      105
 6 11 1993  415      106
 6 11 1993  635      107
 6 11 1993  719      108
 6 11 1993 1501      109
 6 11 1993 1702      110
 6 11 1993 1707      111
 6 11 1993 1715      112
 6 11 1993 1737      113
 6 14 1993  941      114
 6 14 1993 1049      115
 6 14 1993 1114      116
 6 14 1993 1607      117
 6 14 1993 1612      118
 6 14 1993 1614      119
 6 14 1993 1621      120
 6 14 1993 1647      121
 6 14 1993 1720      122
 6 14 1993 1819      123
 6 14 1993 1831      124
 6 14 1993 1843      125
 6 14 1993 1846      126
 6 15 1993  122      127
 6 21 1993 1131      128
 6 21 1993 1144      129
 6 21 1993 1200      130
 6 21 1993 1417      131
 6 21 1993 1510      132
 6 21 1993 1804      133
 6 22 1993  115      134
 6 22 1993  145      135
 6 22 1993  153      136
 6 22 1993  357      137
 6 22 1993  421      138
 6 22 1993  442      139
 6 22 1993  446      140
 6 22 1993  451      141
 6 22 1993  455      142
 6 22 1993  501      143
 6 22 1993  509      144
 6 22 1993  535      145
 6 22 1993  540      146
 6 22 1993  543      147
 6 22 1993  546      148
 6 22 1993  550      149
 6 22 1993  552      150
 6 22 1993  555      151
 6 22 1993  559      152
 6 22 1993  605      153
 6 22 1993  619      154
 6 22 1993  945      155
 6 22 1993  954      156
 6 22 1993 1002      157
 6 22 1993 1009      158
 6 22 1993 1020      159
 6 27 1993 1200      160
 6 27 1993 1206      161
 6 27 1993 1800      162
 6 28 1993 1220      163
 6 28 1993 1226      164
 7  2 1993  658      165
 7  2 1993  716      166
 7  3 1993 1857      167
 7  3 1993 2109      168
 7  3 1993 2111      169
 7  3 1993 2112      170
 7  3 1993 2114      171
 7  3 1993 2118      172
