"PDE10894.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1994/09/26 at 09:44:55"
"By                   : christensen"
"Start date           : 08-10-94-13:18"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : test"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 8 16 1994 1311        1
 8 16 1994 1317        2
 8 16 1994 1319        3
 8 16 1994 1320        4
 8 16 1994 1322        5
 8 16 1994 1402        6
 8 19 1994 1650        7
 8 19 1994 1657        8
 8 19 1994 1704        9
 8 22 1994 1235       10
 8 28 1994  220       11
 9  1 1994 1432       12
 9  1 1994 1432       13
 9  2 1994 2158       14
 9  3 1994   27       15
 9  3 1994  107       16
 9  3 1994  111       17
 9  3 1994  122       18
 9  3 1994  959       19
 9  3 1994 1009       20
 9  3 1994 1020       21
 9  3 1994 1023       22
 9  3 1994 1026       23
 9  3 1994 1043       24
 9  3 1994 1046       25
 9  3 1994 1047       26
 9  3 1994 1049       27
 9  3 1994 1052       28
 9  3 1994 1054       29
 9  3 1994 1057       30
 9  3 1994 1100       31
 9  3 1994 1102       32
 9  3 1994 1104       33
 9  3 1994 1105       34
 9  3 1994 1107       35
 9  3 1994 1109       36
 9  3 1994 1112       37
 9  3 1994 1113       38
 9  3 1994 1115       39
 9  3 1994 1117       40
 9  3 1994 1119       41
 9  3 1994 1122       42
 9  3 1994 1125       43
 9  3 1994 1250       44
 9  3 1994 1251       45
 9  3 1994 1714       46
 9  3 1994 2236       47
 9  8 1994  111       48
 9  8 1994  128       49
 9  8 1994  133       50
 9  8 1994  137       51
 9  8 1994  141       52
 9  8 1994  143       53
 9  8 1994  146       54
 9  8 1994  150       55
 9  8 1994  155       56
 9  8 1994  158       57
 9  8 1994  204       58
 9  8 1994  226       59
 9  8 1994  250       60
 9  8 1994  302       61
 9  8 1994  308       62
 9  8 1994  312       63
 9  8 1994  315       64
 9  8 1994  322       65
 9  8 1994  327       66
 9  8 1994  328       67
 9  8 1994  330       68
 9  8 1994  334       69
 9  8 1994  400       70
 9  8 1994  445       71
 9  8 1994  459       72
 9  8 1994  503       73
 9  8 1994  506       74
 9  8 1994  511       75
 9  8 1994  516       76
 9  8 1994  519       77
 9  8 1994  523       78
 9  8 1994  534       79
 9  8 1994  545       80
 9  8 1994  617       81
 9  8 1994  631       82
 9  8 1994  658       83
 9  8 1994  703       84
 9  8 1994  706       85
 9  8 1994  720       86
 9  8 1994  740       87
 9  8 1994  746       88
 9  8 1994  751       89
 9  8 1994  754       90
 9  8 1994  758       91
 9  8 1994  804       92
 9  8 1994  807       93
 9  8 1994  810       94
 9  8 1994  829       95
 9  8 1994  839       96
 9  8 1994  846       97
 9  8 1994 1346       98
 9  8 1994 1357       99
 9  8 1994 1403      100
 9  8 1994 1414      101
 9  8 1994 1422      102
 9  8 1994 1535      103
 9  8 1994 1537      104
 9  8 1994 1538      105
 9  8 1994 1539      106
 9  8 1994 1541      107
 9  9 1994  740      108
