"PDE10895.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/09/27 at 14:24:17"
"By                   : DON"
"Start date           : 08-17-95-10:50"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : YLMHWY"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 8 17 1995 1052        1
 8 17 1995 1317        2
 8 17 1995 1719        3
 8 17 1995 1722        4
 8 17 1995 1724        5
 8 17 1995 1725        6
 8 17 1995 1725        7
 8 17 1995 1726        8
 8 17 1995 1727        9
 8 17 1995 1727       10
 8 17 1995 1727       11
 8 17 1995 1727       12
 8 17 1995 1728       13
 8 17 1995 1728       14
 8 17 1995 1728       15
 8 17 1995 1729       16
 8 17 1995 1729       17
 8 17 1995 1730       18
 8 17 1995 1730       19
 8 17 1995 1731       20
 8 17 1995 1731       21
 8 17 1995 1732       22
 8 17 1995 1732       23
 8 17 1995 1733       24
 8 17 1995 1734       25
 8 17 1995 1736       26
 8 17 1995 1743       27
 8 18 1995  924       28
 8 28 1995 2330       29
 8 29 1995  948       30
 9  4 1995  149       31
 9  4 1995  312       32
 9  4 1995 1849       33
 9  4 1995 1852       34
 9  4 1995 1854       35
 9  4 1995 1856       36
 9  4 1995 1859       37
 9  4 1995 1900       38
 9  4 1995 1901       39
 9  4 1995 1902       40
 9  4 1995 1902       41
 9  4 1995 1903       42
 9  4 1995 1904       43
 9  4 1995 1905       44
 9  4 1995 1909       45
 9  4 1995 1930       46
 9  4 1995 1934       47
 9  4 1995 1940       48
 9  4 1995 1944       49
 9  4 1995 1948       50
 9  4 1995 2017       51
 9  5 1995  314       52
 9  6 1995 1409       53
 9  6 1995 1430       54
 9  6 1995 1510       55
 9  6 1995 1551       56
 9  6 1995 1802       57
 9  6 1995 1841       58
 9  7 1995   32       59
 9  7 1995 1830       60
 9 13 1995  656       61
