"PDE10995.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/11/13 at 16:24:34"
"By                   : DON"
"Start date           : 09-15-95-13:18"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : YELM HWY"
"Note :FUNNEL MISSING "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 9 25 1995  228        1
 9 25 1995  252        2
 9 25 1995  301        3
 9 25 1995  310        4
 9 25 1995  320        5
 9 25 1995  417        6
 9 25 1995  455        7
 9 25 1995  459        8
 9 25 1995  503        9
 9 25 1995  507       10
 9 25 1995  512       11
 9 25 1995  517       12
 9 25 1995  526       13
 9 25 1995  533       14
 9 25 1995  547       15
 9 25 1995  623       16
 9 25 1995  723       17
 9 25 1995  826       18
 9 25 1995  901       19
 9 25 1995  909       20
 9 25 1995  914       21
 9 25 1995  919       22
 9 25 1995  935       23
 9 25 1995 1020       24
 9 25 1995 1103       25
 9 25 1995 1113       26
 9 25 1995 1206       27
 9 26 1995 1611       28
 9 26 1995 1647       29
 9 26 1995 1657       30
 9 26 1995 1704       31
 9 26 1995 1821       32
 9 26 1995 1854       33
 9 26 1995 1914       34
 9 26 1995 1940       35
 9 26 1995 1947       36
 9 26 1995 1954       37
 9 26 1995 2004       38
 9 26 1995 2021       39
 9 26 1995 2033       40
 9 26 1995 2118       41
 9 26 1995 2129       42
 9 26 1995 2149       43
 9 26 1995 2155       44
 9 26 1995 2159       45
 9 26 1995 2200       46
 9 26 1995 2201       47
 9 26 1995 2203       48
 9 26 1995 2207       49
 9 26 1995 2210       50
 9 26 1995 2212       51
 9 26 1995 2214       52
 9 26 1995 2221       53
 9 26 1995 2232       54
 9 26 1995 2344       55
 9 27 1995   21       56
 9 27 1995  154       57
 9 27 1995  213       58
 9 27 1995  218       59
 9 27 1995  223       60
 9 27 1995  228       61
 9 27 1995  232       62
 9 27 1995  239       63
 9 27 1995  247       64
 9 27 1995  257       65
 9 27 1995  300       66
 9 27 1995  304       67
 9 27 1995  309       68
 9 27 1995  317       69
 9 27 1995  337       70
 9 27 1995  347       71
 9 27 1995  351       72
 9 27 1995  445       73
 9 27 1995  502       74
 9 27 1995  511       75
 9 27 1995  653       76
 9 27 1995  718       77
 9 27 1995  724       78
 9 27 1995  729       79
 9 27 1995  751       80
 9 27 1995  758       81
 9 27 1995  814       82
 9 27 1995  833       83
 9 27 1995 1314       84
 9 27 1995 1315       85
 9 27 1995 1316       86
 9 27 1995 1318       87
 9 27 1995 1449       88
 9 27 1995 1532       89
 9 27 1995 1533       90
 9 27 1995 1533       91
 9 27 1995 1533       92
 9 27 1995 1534       93
 9 27 1995 1534       94
 9 27 1995 1534       95
 9 27 1995 1535       96
 9 27 1995 1536       97
 9 27 1995 1537       98
 9 27 1995 1538       99
 9 27 1995 1538      100
 9 27 1995 1538      101
 9 27 1995 1538      102
 9 27 1995 1538      103
 9 27 1995 1539      104
 9 27 1995 1539      105
 9 27 1995 1539      106
 9 27 1995 1540      107
 9 27 1995 1540      108
 9 27 1995 1541      109
 9 27 1995 1541      110
 9 27 1995 1541      111
 9 27 1995 1543      112
 9 27 1995 1547      113
 9 27 1995 1548      114
 9 27 1995 1548      115
 9 27 1995 1549      116
 9 27 1995 1549      117
 9 27 1995 1550      118
 9 27 1995 1550      119
 9 27 1995 1550      120
 9 27 1995 1553      121
 9 27 1995 1554      122
 9 27 1995 1559      123
 9 27 1995 1720      124
 9 27 1995 1722      125
 9 27 1995 1724      126
 9 27 1995 1728      127
 9 27 1995 2030      128
 9 28 1995  101      129
 9 28 1995  119      130
 9 28 1995  135      131
 9 28 1995 1211      132
 9 28 1995 1608      133
 9 28 1995 1753      134
 9 28 1995 1921      135
 9 28 1995 2104      136
 9 29 1995  843      137
 9 29 1995 1701      138
 9 29 1995 1709      139
 9 29 1995 1759      140
 9 29 1995 1800      141
 9 29 1995 1800      142
 9 29 1995 1800      143
 9 29 1995 1800      144
 9 29 1995 1801      145
 9 29 1995 1801      146
 9 29 1995 1801      147
10  2 1995  547      148
10 10 1995  411      149
10 10 1995  720      150
10 10 1995  949      151
10 10 1995 1238      152
10 11 1995 1047      153
10 16 1995   22      154
10 17 1995  746      155
10 20 1995  958      156
10 25 1995 1313      157
