"sde11093.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/11/19 at 08:08:56"
"By                   : John "
"Start date           : 10-08-93-09:00"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Chambers Creek @ Rich Road"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

10  8 1993  904        1
10 12 1993 1138        2
10 12 1993 1154        3
10 12 1993 1200        4
10 12 1993 1207        5
10 12 1993 1210        6
10 12 1993 1216        7
10 12 1993 1226        8
10 12 1993 1234        9
10 12 1993 1243       10
10 12 1993 1245       11
10 12 1993 1248       12
10 12 1993 1252       13
10 12 1993 1318       14
10 14 1993  925       15
10 14 1993 1447       16
10 14 1993 1449       17
10 14 1993 1450       18
10 14 1993 1452       19
10 14 1993 1458       20
10 15 1993  156       21
10 15 1993  247       22
10 15 1993  334       23
10 15 1993  352       24
10 15 1993  357       25
10 15 1993  401       26
10 15 1993  406       27
10 15 1993  410       28
10 15 1993  415       29
10 15 1993  418       30
10 15 1993  421       31
10 15 1993  425       32
10 15 1993  430       33
10 15 1993  440       34
10 15 1993  457       35
10 15 1993  513       36
10 15 1993  536       37
10 15 1993  551       38
10 15 1993  558       39
10 15 1993  606       40
10 15 1993  622       41
10 15 1993  642       42
10 15 1993  646       43
10 15 1993  648       44
10 15 1993  650       45
10 15 1993  652       46
10 15 1993  657       47
10 15 1993  705       48
10 15 1993  731       49
10 15 1993  806       50
10 15 1993  828       51
10 15 1993  832       52
10 15 1993 1218       53
10 15 1993 1234       54
10 15 1993 1500       55
10 15 1993 1519       56
10 15 1993 1647       57
10 15 1993 1704       58
10 15 1993 1719       59
10 15 1993 1721       60
10 15 1993 1723       61
10 15 1993 1725       62
10 15 1993 1728       63
10 15 1993 1731       64
10 15 1993 1736       65
10 15 1993 1740       66
10 15 1993 1751       67
10 15 1993 1813       68
10 15 1993 1923       69
10 15 1993 2013       70
10 15 1993 2021       71
10 15 1993 2217       72
10 18 1993  934       73
10 18 1993 1145       74
10 19 1993  124       75
10 19 1993  145       76
10 19 1993  229       77
10 19 1993  435       78
10 19 1993  729       79
10 19 1993  849       80
10 22 1993 1332       81
10 22 1993 1412       82
10 22 1993 1428       83
10 22 1993 1437       84
10 22 1993 1445       85
10 22 1993 1451       86
10 22 1993 1456       87
10 22 1993 1504       88
10 22 1993 1539       89
10 22 1993 1757       90
10 22 1993 1816       91
10 22 1993 1829       92
10 22 1993 1838       93
10 22 1993 1854       94
10 22 1993 1915       95
10 22 1993 1946       96
10 22 1993 2046       97
10 22 1993 2105       98
10 22 1993 2116       99
10 22 1993 2124      100
10 22 1993 2128      101
10 22 1993 2132      102
10 22 1993 2136      103
10 22 1993 2139      104
10 22 1993 2142      105
10 22 1993 2144      106
10 22 1993 2148      107
10 22 1993 2152      108
10 22 1993 2157      109
10 22 1993 2220      110
10 22 1993 2236      111
10 22 1993 2248      112
10 22 1993 2257      113
10 22 1993 2309      114
10 22 1993 2321      115
10 22 1993 2342      116
10 22 1993 2358      117
10 23 1993   25      118
10 23 1993   36      119
10 23 1993   42      120
10 23 1993   46      121
10 23 1993   50      122
10 23 1993   58      123
10 23 1993  109      124
10 23 1993  232      125
10 23 1993  316      126
10 23 1993  328      127
10 23 1993  355      128
10 23 1993  449      129
10 23 1993  730      130
10 23 1993 1636      131
10 23 1993 1639      132
10 23 1993 1649      133
10 23 1993 1708      134
10 23 1993 1711      135
10 23 1993 1713      136
10 23 1993 1715      137
10 23 1993 1718      138
10 23 1993 1720      139
10 23 1993 1721      140
10 23 1993 1723      141
10 23 1993 1725      142
10 23 1993 1729      143
10 23 1993 1730      144
10 23 1993 1731      145
10 23 1993 1732      146
10 23 1993 1733      147
10 23 1993 1734      148
10 23 1993 1736      149
10 23 1993 1736      150
10 23 1993 1737      151
10 23 1993 1738      152
10 23 1993 1739      153
10 23 1993 1741      154
10 23 1993 1746      155
10 23 1993 1750      156
10 23 1993 1756      157
10 23 1993 1809      158
10 23 1993 1852      159
10 24 1993  823      160
10 30 1993  554      161
10 31 1993   14      162
10 31 1993  326      163
11  2 1993 2316      164
11  2 1993 2324      165
11  2 1993 2326      166
11  2 1993 2328      167
11  2 1993 2331      168
11  2 1993 2335      169
11  2 1993 2339      170
11  2 1993 2345      171
11  2 1993 2352      172
11  2 1993 2357      173
11  3 1993    0      174
11  3 1993    2      175
11  3 1993    5      176
11  3 1993    7      177
11  3 1993   10      178
11  3 1993   13      179
11  3 1993   16      180
11  3 1993   20      181
11  3 1993   23      182
11  3 1993   27      183
11  3 1993   30      184
11  3 1993   33      185
11  3 1993   37      186
11  3 1993   42      187
11  3 1993   45      188
11  3 1993   50      189
11  3 1993   54      190
11  3 1993  100      191
11  3 1993  105      192
11  3 1993  110      193
11  3 1993  115      194
11  3 1993  125      195
11  3 1993  136      196
11  3 1993  149      197
11  3 1993  200      198
11  3 1993  205      199
11  3 1993  214      200
11  3 1993  347      201
