"pde11195.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/12/20 at 12:53:50"
"By                   : Cramer     "
"Start date           : 10-25-95-13:15"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Yelm Hwy @ Normandy Dr"
"Note : Funnel missing"

"MT" "DY" "YR" "HHMM" "TOTAL   "

10 26 1995  346        1
11  6 1995 1704        2
11  6 1995 2211        3
11  7 1995    4        4
11  7 1995  126        5
11  7 1995  308        6
11  7 1995  421        7
11  8 1995  534        8
11  8 1995 1847        9
11 10 1995 1555       10
11 10 1995 1820       11
11 12 1995 1023       12
11 13 1995  241       13
11 13 1995 1426       14
11 21 1995 1115       15
11 23 1995  945       16
11 23 1995 1803       17
11 25 1995 1120       18
11 27 1995  832       19
11 27 1995 1118       20
11 27 1995 1739       21
11 29 1995  324       22
11 29 1995 1446       23
11 29 1995 2311       24
11 30 1995 1740       25
11 30 1995 2315       26
12  1 1995 1051       27
12  2 1995 1010       28
12  3 1995 2129       29
12  4 1995 1515       30
12  4 1995 1515       31
