"pde11293.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1994/01/14 at 09:28:03"
"By                   : John "
"Start date           : 12-09-93-15:37"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Chambers @ Rich Road"
"Note : On 12/27/2016 Nat Kale replaced all YR values below row 325 with 1994"

"MT" "DY" "YR" "HHMM" "TOTAL   "

12  9 1993 1539        1
12  9 1993 1548        2
12  9 1993 1629        3
12  9 1993 1658        4
12  9 1993 1719        5
12  9 1993 1727        6
12  9 1993 1730        7
12  9 1993 1737        8
12  9 1993 1741        9
12  9 1993 1750       10
12  9 1993 1803       11
12  9 1993 1828       12
12  9 1993 1902       13
12  9 1993 1936       14
12  9 1993 1954       15
12  9 1993 2001       16
12  9 1993 2009       17
12  9 1993 2100       18
12  9 1993 2106       19
12  9 1993 2111       20
12  9 1993 2114       21
12  9 1993 2117       22
12  9 1993 2131       23
12  9 1993 2138       24
12  9 1993 2141       25
12  9 1993 2144       26
12  9 1993 2147       27
12  9 1993 2149       28
12  9 1993 2155       29
12  9 1993 2229       30
12  9 1993 2304       31
12 10 1993  136       32
12 10 1993  159       33
12 10 1993  222       34
12 10 1993  429       35
12 10 1993  458       36
12 10 1993  508       37
12 10 1993  516       38
12 10 1993  519       39
12 10 1993  522       40
12 10 1993  525       41
12 10 1993  529       42
12 10 1993  532       43
12 10 1993  535       44
12 10 1993  537       45
12 10 1993  538       46
12 10 1993  540       47
12 10 1993  541       48
12 10 1993  542       49
12 10 1993  544       50
12 10 1993  545       51
12 10 1993  548       52
12 10 1993  551       53
12 10 1993  554       54
12 10 1993  556       55
12 10 1993  559       56
12 10 1993  602       57
12 10 1993  605       58
12 10 1993  607       59
12 10 1993  610       60
12 10 1993  613       61
12 10 1993  615       62
12 10 1993  618       63
12 10 1993  622       64
12 10 1993  624       65
12 10 1993  628       66
12 10 1993  632       67
12 10 1993  642       68
12 10 1993  651       69
12 10 1993  658       70
12 10 1993  707       71
12 10 1993  746       72
12 10 1993 1255       73
12 10 1993 1525       74
12 10 1993 1808       75
12 10 1993 1822       76
12 10 1993 1837       77
12 10 1993 1852       78
12 10 1993 1907       79
12 10 1993 1923       80
12 10 1993 1937       81
12 10 1993 1953       82
12 10 1993 2012       83
12 10 1993 2031       84
12 10 1993 2250       85
12 10 1993 2330       86
12 11 1993   15       87
12 11 1993  157       88
12 11 1993  305       89
12 11 1993  339       90
12 11 1993  431       91
12 11 1993  526       92
12 11 1993  605       93
12 11 1993  739       94
12 11 1993 1111       95
12 11 1993 1503       96
12 11 1993 1529       97
12 11 1993 2126       98
12 12 1993  431       99
12 12 1993 1452      100
12 12 1993 1550      101
12 12 1993 1632      102
12 12 1993 1709      103
12 12 1993 1802      104
12 12 1993 1849      105
12 12 1993 1933      106
12 12 1993 2040      107
12 12 1993 2104      108
12 13 1993 1445      109
12 13 1993 1505      110
12 13 1993 1521      111
12 13 1993 1545      112
12 13 1993 1601      113
12 13 1993 1618      114
12 13 1993 1703      115
12 13 1993 2002      116
12 13 1993 2052      117
12 13 1993 2113      118
12 13 1993 2122      119
12 13 1993 2131      120
12 13 1993 2141      121
12 13 1993 2152      122
12 13 1993 2201      123
12 13 1993 2210      124
12 13 1993 2218      125
12 13 1993 2226      126
12 13 1993 2235      127
12 13 1993 2247      128
12 13 1993 2311      129
12 14 1993  526      130
12 14 1993  605      131
12 14 1993 1035      132
12 17 1993  924      133
12 26 1993  932      134
12 28 1993 1401      135
12 28 1993 1624      136
12 28 1993 1633      137
12 28 1993 1659      138
12 28 1993 1720      139
12 28 1993 1746      140
12 28 1993 1826      141
12 28 1993 1924      142
12 29 1993 1526      143
12 29 1993 2313      144
12 29 1993 2323      145
12 29 1993 2336      146
12 30 1993  325      147
12 30 1993  339      148
12 30 1993  353      149
12 30 1993  400      150
12 30 1993  433      151
12 30 1993  511      152
12 30 1993  528      153
12 30 1993  611      154
12 30 1993  626      155
12 30 1993  635      156
12 30 1993  642      157
12 30 1993  653      158
12 30 1993  701      159
12 30 1993  707      160
12 30 1993  714      161
12 30 1993  726      162
12 30 1993  737      163
12 30 1993  831      164
12 30 1993 1004      165
12 30 1993 1025      166
12 30 1993 1037      167
12 30 1993 1050      168
12 30 1993 1102      169
12 30 1993 1111      170
12 30 1993 1118      171
12 30 1993 1127      172
12 30 1993 1139      173
12 30 1993 1149      174
12 30 1993 1200      175
12 30 1993 1209      176
12 30 1993 1214      177
12 30 1993 1220      178
12 30 1993 1226      179
12 30 1993 1234      180
12 30 1993 1241      181
12 30 1993 1249      182
12 30 1993 1257      183
12 30 1993 1309      184
12 30 1993 1319      185
12 30 1993 1330      186
12 30 1993 1338      187
12 30 1993 1346      188
12 30 1993 1353      189
12 30 1993 1402      190
12 30 1993 1409      191
12 30 1993 1421      192
12 30 1993 1428      193
12 30 1993 1437      194
12 30 1993 1446      195
12 30 1993 1456      196
12 30 1993 1504      197
12 30 1993 1514      198
12 30 1993 1522      199
12 30 1993 1532      200
12 30 1993 1539      201
12 30 1993 1548      202
12 30 1993 1555      203
12 30 1993 1608      204
12 30 1993 1622      205
12 30 1993 1704      206
12 30 1993 1824      207
12 31 1993  504      208
12 31 1993  734      209
12 31 1993  919      210
12 31 1993 1337      211
12 31 1993 1405      212
12 31 1993 1544      213
12 31 1993 1602      214
12 31 1993 1616      215
12 31 1993 1625      216
12 31 1993 1634      217
12 31 1993 1648      218
12 31 1993 1658      219
12 31 1993 1707      220
12 31 1993 1713      221
12 31 1993 1718      222
12 31 1993 1722      223
12 31 1993 1727      224
12 31 1993 1732      225
12 31 1993 1738      226
12 31 1993 1743      227
12 31 1993 1748      228
12 31 1993 1752      229
12 31 1993 1758      230
12 31 1993 1805      231
12 31 1993 1813      232
12 31 1993 1819      233
12 31 1993 1826      234
12 31 1993 1831      235
12 31 1993 1837      236
12 31 1993 1841      237
12 31 1993 1846      238
12 31 1993 1850      239
12 31 1993 1854      240
12 31 1993 1857      241
12 31 1993 1901      242
12 31 1993 1905      243
12 31 1993 1910      244
12 31 1993 1915      245
12 31 1993 1921      246
12 31 1993 1926      247
12 31 1993 1931      248
12 31 1993 1937      249
12 31 1993 1944      250
12 31 1993 1948      251
12 31 1993 1951      252
12 31 1993 1953      253
12 31 1993 1958      254
12 31 1993 2004      255
12 31 1993 2008      256
12 31 1993 2012      257
12 31 1993 2018      258
12 31 1993 2023      259
12 31 1993 2029      260
12 31 1993 2033      261
12 31 1993 2038      262
12 31 1993 2044      263
12 31 1993 2050      264
12 31 1993 2055      265
12 31 1993 2101      266
12 31 1993 2105      267
12 31 1993 2109      268
12 31 1993 2112      269
12 31 1993 2116      270
12 31 1993 2119      271
12 31 1993 2123      272
12 31 1993 2126      273
12 31 1993 2130      274
12 31 1993 2134      275
12 31 1993 2138      276
12 31 1993 2143      277
12 31 1993 2147      278
12 31 1993 2150      279
12 31 1993 2154      280
12 31 1993 2158      281
12 31 1993 2203      282
12 31 1993 2208      283
12 31 1993 2212      284
12 31 1993 2215      285
12 31 1993 2219      286
12 31 1993 2222      287
12 31 1993 2226      288
12 31 1993 2230      289
12 31 1993 2235      290
12 31 1993 2239      291
12 31 1993 2244      292
12 31 1993 2247      293
12 31 1993 2251      294
12 31 1993 2254      295
12 31 1993 2257      296
12 31 1993 2259      297
12 31 1993 2302      298
12 31 1993 2304      299
12 31 1993 2306      300
12 31 1993 2310      301
12 31 1993 2313      302
12 31 1993 2316      303
12 31 1993 2320      304
12 31 1993 2324      305
12 31 1993 2328      306
12 31 1993 2336      307
12 31 1993 2344      308
12 31 1993 2349      309
12 31 1993 2355      310
12 31 1993 2359      311
 1  1 1994    3      312
 1  1 1994    6      313
 1  1 1994    8      314
 1  1 1994   11      315
 1  1 1994   15      316
 1  1 1994   18      317
 1  1 1994   21      318
 1  1 1994   25      319
 1  1 1994   31      320
 1  1 1994   35      321
 1  1 1994   40      322
 1  1 1994   46      323
 1  1 1994   53      324
 1  1 1994   58      325
 1  1 1994  101      326
 1  1 1994  105      327
 1  1 1994  110      328
 1  1 1994  114      329
 1  1 1994  119      330
 1  1 1994  124      331
 1  1 1994  129      332
 1  1 1994  132      333
 1  1 1994  136      334
 1  1 1994  140      335
 1  1 1994  145      336
 1  1 1994  150      337
 1  1 1994  157      338
 1  1 1994  203      339
 1  1 1994  220      340
 1  1 1994  302      341
 1  1 1994  310      342
 1  1 1994  344      343
 1  1 1994  353      344
 1  1 1994  704      345
 1  1 1994 1527      346
 1  1 1994 1540      347
 1  1 1994 1543      348
 1  1 1994 1544      349
 1  1 1994 1554      350
 1  1 1994 1612      351
 1  1 1994 1621      352
 1  1 1994 1629      353
 1  2 1994  447      354
 1  2 1994  455      355
 1  2 1994  502      356
 1  2 1994  508      357
 1  2 1994  515      358
 1  2 1994  522      359
 1  2 1994  530      360
 1  2 1994  537      361
 1  2 1994  544      362
 1  2 1994  549      363
 1  2 1994  554      364
 1  2 1994  558      365
 1  2 1994  603      366
 1  2 1994  606      367
 1  2 1994  610      368
 1  2 1994  614      369
 1  2 1994  618      370
 1  2 1994  621      371
 1  2 1994  625      372
 1  2 1994  628      373
 1  2 1994  632      374
 1  2 1994  633      375
 1  2 1994  635      376
 1  2 1994  637      377
 1  2 1994  642      378
 1  2 1994  645      379
 1  2 1994  647      380
 1  2 1994  649      381
 1  2 1994  651      382
 1  2 1994  654      383
 1  2 1994  656      384
 1  2 1994  700      385
 1  2 1994  705      386
 1  2 1994  708      387
 1  2 1994  711      388
 1  2 1994  714      389
 1  2 1994  723      390
 1  2 1994  734      391
 1  2 1994  753      392
 1  2 1994  758      393
 1  2 1994  804      394
 1  2 1994  813      395
 1  2 1994  842      396
 1  2 1994  846      397
 1  2 1994  850      398
 1  2 1994  853      399
 1  2 1994  912      400
 1  2 1994 1055      401
 1  2 1994 1224      402
 1  2 1994 1231      403
 1  2 1994 1241      404
 1  2 1994 1259      405
 1  2 1994 1314      406
 1  2 1994 1341      407
 1  3 1994  401      408
 1  3 1994  905      409
 1  3 1994 1004      410
 1  3 1994 1033      411
 1  3 1994 1058      412
 1  3 1994 1105      413
 1  3 1994 1110      414
 1  3 1994 1116      415
 1  3 1994 1121      416
 1  3 1994 1130      417
 1  3 1994 1141      418
 1  3 1994 1148      419
 1  3 1994 1157      420
 1  3 1994 1204      421
 1  3 1994 1212      422
 1  3 1994 1218      423
 1  3 1994 1224      424
 1  3 1994 1231      425
 1  3 1994 1241      426
 1  3 1994 1248      427
 1  3 1994 1258      428
 1  3 1994 1303      429
 1  3 1994 1308      430
 1  3 1994 1312      431
 1  3 1994 1321      432
 1  3 1994 1338      433
 1  3 1994 1420      434
 1  3 1994 1432      435
 1  3 1994 1442      436
 1  3 1994 1450      437
 1  3 1994 1506      438
 1  4 1994   21      439
 1  4 1994   51      440
 1  4 1994  123      441
 1  4 1994  145      442
 1  4 1994  207      443
 1  4 1994  254      444
 1  4 1994  305      445
 1  4 1994  331      446
 1  4 1994  352      447
 1  4 1994  426      448
 1  4 1994  449      449
 1  4 1994  516      450
 1  4 1994  532      451
 1  4 1994  543      452
 1  4 1994  553      453
 1  4 1994  620      454
 1  4 1994  634      455
 1  4 1994  654      456
 1  4 1994  754      457
 1  4 1994  759      458
 1  4 1994  806      459
 1  4 1994  814      460
 1  4 1994  826      461
 1  4 1994  841      462
 1  4 1994 1338      463
 1  4 1994 1347      464
 1  4 1994 1401      465
 1  4 1994 1406      466
 1  4 1994 1412      467
 1  4 1994 1415      468
 1  4 1994 1418      469
 1  4 1994 1534      470
 1  4 1994 1729      471
 1  4 1994 1737      472
 1  4 1994 1743      473
 1  4 1994 1746      474
 1  4 1994 1749      475
 1  4 1994 1755      476
