"PDE11294.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/01/18 at 08:59:58"
"By                   : VICENCIO"
"Start date           : 12-12-94-09:20"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : CHAMBERS @ YELM HWY"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

12 14 1994  933        1
12 14 1994 1007        2
12 14 1994 1043        3
12 14 1994 1105        4
12 14 1994 1126        5
12 14 1994 1210        6
12 14 1994 1235        7
12 14 1994 1253        8
12 14 1994 1307        9
12 14 1994 1331       10
12 14 1994 1433       11
12 14 1994 1521       12
12 14 1994 1600       13
12 14 1994 1606       14
12 14 1994 1612       15
12 14 1994 1622       16
12 14 1994 1637       17
12 14 1994 1642       18
12 14 1994 1653       19
12 14 1994 1700       20
12 14 1994 1705       21
12 14 1994 1709       22
12 14 1994 1711       23
12 14 1994 1713       24
12 14 1994 1714       25
12 14 1994 1717       26
12 14 1994 1720       27
12 14 1994 1739       28
12 14 1994 1813       29
12 14 1994 2135       30
12 14 1994 2205       31
12 14 1994 2225       32
12 14 1994 2238       33
12 14 1994 2343       34
12 15 1994  548       35
12 15 1994 1421       36
12 15 1994 1432       37
12 15 1994 1438       38
12 15 1994 1445       39
12 15 1994 1452       40
12 15 1994 1459       41
12 15 1994 1657       42
12 15 1994 1710       43
12 15 1994 1719       44
12 15 1994 1743       45
12 15 1994 1809       46
12 15 1994 1827       47
12 15 1994 1849       48
12 15 1994 1905       49
12 15 1994 1941       50
12 15 1994 2008       51
12 15 1994 2018       52
12 15 1994 2024       53
12 15 1994 2033       54
12 15 1994 2039       55
12 15 1994 2043       56
12 15 1994 2047       57
12 15 1994 2049       58
12 15 1994 2052       59
12 15 1994 2055       60
12 15 1994 2057       61
12 15 1994 2100       62
12 15 1994 2103       63
12 15 1994 2106       64
12 15 1994 2114       65
12 15 1994 2201       66
12 15 1994 2237       67
12 15 1994 2341       68
12 15 1994 2357       69
12 16 1994  152       70
12 16 1994  157       71
12 16 1994  159       72
12 16 1994  202       73
12 16 1994  204       74
12 16 1994  207       75
12 16 1994  317       76
12 16 1994  330       77
12 16 1994  420       78
12 16 1994  621       79
12 16 1994  625       80
12 16 1994  626       81
12 16 1994  627       82
12 16 1994  628       83
12 16 1994  630       84
12 16 1994  631       85
12 16 1994  633       86
12 16 1994  635       87
12 16 1994  638       88
12 16 1994  644       89
12 16 1994  655       90
12 16 1994  731       91
12 16 1994 1027       92
12 16 1994 1038       93
12 16 1994 1420       94
12 16 1994 1527       95
12 16 1994 1539       96
12 16 1994 1548       97
12 16 1994 1556       98
12 16 1994 1603       99
12 16 1994 1611      100
12 16 1994 1621      101
12 16 1994 1633      102
12 16 1994 1640      103
12 16 1994 1645      104
12 16 1994 1649      105
12 16 1994 1653      106
12 16 1994 1658      107
12 16 1994 1704      108
12 16 1994 1711      109
12 16 1994 1718      110
12 16 1994 1723      111
12 16 1994 1727      112
12 16 1994 1733      113
12 16 1994 1739      114
12 16 1994 1746      115
12 16 1994 1801      116
12 16 1994 1823      117
12 16 1994 1830      118
12 16 1994 1839      119
12 16 1994 1900      120
12 16 1994 1929      121
12 16 1994 2002      122
12 16 1994 2025      123
12 16 1994 2041      124
12 16 1994 2044      125
12 16 1994 2046      126
12 16 1994 2049      127
12 16 1994 2057      128
12 16 1994 2114      129
12 16 1994 2121      130
12 16 1994 2125      131
12 16 1994 2136      132
12 16 1994 2139      133
12 16 1994 2147      134
12 16 1994 2158      135
