"pde11295.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/01/17 at 09:40:20"
"By                   : Thomas     "
"Start date           : 12-04-95-14:25"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Yelm hwy and Normandy Drive"
"Note : On 12/27/2016 Nat Kale changed YR values below row 712 to 1996"

"MT" "DY" "YR" "HHMM" "TOTAL   "

12  4 1995 1433        1
12  9 1995  515        2
12  9 1995  519        3
12  9 1995  548        4
12  9 1995  557        5
12  9 1995  608        6
12  9 1995  628        7
12  9 1995  644        8
12  9 1995  706        9
12  9 1995  717       10
12  9 1995  725       11
12  9 1995  731       12
12  9 1995  735       13
12  9 1995  739       14
12  9 1995  745       15
12  9 1995  748       16
12  9 1995  754       17
12  9 1995  806       18
12  9 1995  822       19
12  9 1995  828       20
12  9 1995  837       21
12  9 1995  846       22
12  9 1995  855       23
12  9 1995  908       24
12  9 1995  925       25
12  9 1995  933       26
12  9 1995  942       27
12  9 1995  950       28
12  9 1995  953       29
12  9 1995  958       30
12  9 1995 1001       31
12  9 1995 1007       32
12  9 1995 1010       33
12  9 1995 1014       34
12  9 1995 1016       35
12  9 1995 1018       36
12  9 1995 1021       37
12  9 1995 1025       38
12  9 1995 1027       39
12  9 1995 1030       40
12  9 1995 1032       41
12  9 1995 1035       42
12  9 1995 1036       43
12  9 1995 1039       44
12  9 1995 1045       45
12  9 1995 1048       46
12  9 1995 1052       47
12  9 1995 1103       48
12  9 1995 1111       49
12  9 1995 1123       50
12  9 1995 1127       51
12  9 1995 1128       52
12  9 1995 1133       53
12  9 1995 1134       54
12  9 1995 1138       55
12  9 1995 1140       56
12  9 1995 1154       57
12  9 1995 1158       58
12  9 1995 1207       59
12  9 1995 1224       60
12  9 1995 1229       61
12  9 1995 1248       62
12  9 1995 1300       63
12  9 1995 1308       64
12  9 1995 1324       65
12  9 1995 1422       66
12  9 1995 1431       67
12  9 1995 1441       68
12  9 1995 1856       69
12  9 1995 1913       70
12  9 1995 1917       71
12  9 1995 1924       72
12  9 1995 1939       73
12  9 1995 1948       74
12  9 1995 1951       75
12  9 1995 2001       76
12  9 1995 2019       77
12 10 1995  310       78
12 10 1995  323       79
12 10 1995  551       80
12 10 1995  659       81
12 10 1995  706       82
12 10 1995  812       83
12 10 1995  817       84
12 10 1995  821       85
12 10 1995  825       86
12 10 1995  831       87
12 10 1995  836       88
12 10 1995  841       89
12 10 1995  901       90
12 10 1995  906       91
12 10 1995  924       92
12 10 1995  941       93
12 10 1995  945       94
12 10 1995  947       95
12 10 1995  950       96
12 10 1995 1220       97
12 10 1995 1411       98
12 10 1995 1423       99
12 10 1995 1428      100
12 10 1995 1506      101
12 10 1995 1509      102
12 10 1995 1517      103
12 10 1995 1523      104
12 10 1995 1536      105
12 10 1995 1541      106
12 10 1995 1544      107
12 10 1995 1553      108
12 10 1995 1723      109
12 10 1995 1732      110
12 10 1995 1744      111
12 10 1995 1751      112
12 10 1995 1806      113
