"PDE201100.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 2000/02/04 at 09:16:28"
"By                   : DARIN"
"Start date           : 01-06-00-11:25"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note :   "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1  6 2000 1440        1
 1  6 2000 1651        2
 1  7 2000 1755        3
 1  7 2000 1831        4
 1  7 2000 2155        5
 1  7 2000 2158        6
 1  7 2000 2204        7
 1  7 2000 2216        8
 1  7 2000 2221        9
 1  7 2000 2224       10
 1  7 2000 2226       11
 1  7 2000 2228       12
 1  7 2000 2230       13
 1  7 2000 2233       14
 1  7 2000 2235       15
 1  7 2000 2242       16
 1  7 2000 2252       17
 1  7 2000 2259       18
 1  7 2000 2308       19
 1  8 2000  142       20
 1  8 2000  210       21
 1  8 2000  217       22
 1  8 2000  225       23
 1  8 2000  307       24
 1  8 2000  330       25
 1  8 2000  342       26
 1  8 2000  418       27
 1  8 2000  443       28
 1  8 2000  541       29
 1  8 2000  551       30
 1  8 2000  554       31
 1  8 2000  558       32
 1  8 2000  608       33
 1  8 2000  624       34
 1  8 2000  654       35
 1  8 2000  715       36
 1  8 2000  752       37
 1  8 2000  757       38
 1  8 2000  800       39
 1  8 2000  802       40
 1  8 2000  805       41
 1  8 2000  807       42
 1  8 2000  816       43
 1  8 2000  820       44
 1  8 2000  823       45
 1  8 2000  902       46
 1  8 2000 1016       47
 1  8 2000 1054       48
 1  8 2000 1059       49
 1  8 2000 1101       50
 1  8 2000 1104       51
 1  8 2000 1116       52
 1  8 2000 1207       53
 1  8 2000 1215       54
 1  8 2000 1411       55
 1  8 2000 1417       56
 1  8 2000 1421       57
 1  8 2000 1432       58
 1  8 2000 1609       59
 1  8 2000 1902       60
 1  8 2000 1913       61
 1  8 2000 1920       62
 1  8 2000 1929       63
 1  8 2000 1939       64
 1  8 2000 1947       65
 1  8 2000 1957       66
 1  8 2000 2009       67
 1  8 2000 2028       68
 1  8 2000 2043       69
 1  8 2000 2106       70
 1  8 2000 2123       71
 1  8 2000 2144       72
 1  8 2000 2203       73
 1  8 2000 2219       74
 1  8 2000 2237       75
 1  8 2000 2310       76
 1  9 2000  124       77
 1  9 2000  136       78
 1  9 2000  141       79
 1  9 2000  159       80
 1  9 2000  221       81
 1  9 2000  301       82
 1  9 2000  331       83
 1  9 2000  420       84
 1  9 2000  439       85
 1  9 2000  517       86
 1  9 2000  521       87
 1  9 2000  527       88
 1  9 2000  530       89
 1  9 2000  532       90
 1  9 2000  534       91
 1  9 2000  537       92
 1  9 2000  538       93
 1  9 2000  541       94
 1  9 2000  543       95
 1  9 2000  545       96
 1  9 2000  547       97
 1  9 2000  549       98
 1  9 2000  553       99
 1  9 2000  600      100
 1  9 2000  614      101
 1  9 2000  629      102
 1  9 2000  733      103
 1  9 2000  744      104
 1  9 2000  834      105
 1  9 2000 1009      106
 1  9 2000 1654      107
 1  9 2000 1839      108
 1  9 2000 1844      109
 1  9 2000 2031      110
 1  9 2000 2231      111
 1  9 2000 2249      112
 1  9 2000 2255      113
 1  9 2000 2302      114
 1  9 2000 2307      115
 1  9 2000 2311      116
 1  9 2000 2320      117
 1  9 2000 2332      118
 1  9 2000 2346      119
 1  9 2000 2353      120
 1 10 2000    1      121
 1 10 2000   40      122
 1 10 2000  143      123
 1 10 2000  201      124
 1 10 2000  347      125
 1 10 2000  436      126
 1 10 2000  519      127
 1 10 2000  546      128
 1 10 2000  621      129
 1 10 2000  651      130
 1 10 2000  742      131
 1 10 2000  830      132
 1 10 2000 1102      133
 1 10 2000 1342      134
 1 10 2000 2225      135
 1 11 2000 1519      136
 1 13 2000 1233      137
 1 14 2000 2248      138
 1 15 2000 1545      139
 1 16 2000  831      140
 1 16 2000 2030      141
 1 17 2000  505      142
 1 17 2000 1502      143
 1 18 2000  120      144
 1 18 2000 1428      145
 1 19 2000  159      146
 1 19 2000 1303      147
 1 20 2000  232      148
 1 20 2000 1402      149
 1 21 2000  337      150
 1 21 2000 2110      151
