"pde20196.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/02/21 at 09:13:12"
"By                   : Thomas     "
"Start date           : 01-09-96-15:00"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : Snow and Freeezing temperatures end of Jan. early Feb."

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1  9 1996 1509        1
 1  9 1996 1531        2
 1  9 1996 1549        3
 1  9 1996 2214        4
 1 12 1996 1104        5
 1 13 1996 1901        6
 1 13 1996 1910        7
 1 13 1996 1938        8
 1 13 1996 1956        9
 1 13 1996 2010       10
 1 13 1996 2025       11
 1 13 1996 2215       12
 1 13 1996 2231       13
 1 13 1996 2250       14
 1 14 1996  314       15
 1 14 1996  917       16
 1 14 1996 1529       17
 1 14 1996 1539       18
 1 14 1996 1555       19
 1 14 1996 1608       20
 1 14 1996 1614       21
 1 14 1996 1632       22
 1 14 1996 1642       23
 1 14 1996 1709       24
 1 14 1996 1727       25
 1 14 1996 1924       26
 1 14 1996 2156       27
 1 14 1996 2218       28
 1 14 1996 2224       29
 1 14 1996 2238       30
 1 14 1996 2241       31
 1 14 1996 2243       32
 1 14 1996 2248       33
 1 14 1996 2310       34
 1 14 1996 2312       35
 1 14 1996 2314       36
 1 14 1996 2316       37
 1 14 1996 2318       38
 1 14 1996 2320       39
 1 15 1996  421       40
 1 15 1996  425       41
 1 15 1996  428       42
 1 15 1996  429       43
 1 15 1996  431       44
 1 15 1996  433       45
 1 15 1996  434       46
 1 15 1996  435       47
 1 15 1996  436       48
 1 15 1996  437       49
 1 15 1996  438       50
 1 15 1996  440       51
 1 15 1996  441       52
 1 15 1996  442       53
 1 15 1996  444       54
 1 15 1996  445       55
 1 15 1996  446       56
 1 15 1996  447       57
 1 15 1996  449       58
 1 15 1996  450       59
 1 15 1996  450       60
 1 15 1996  450       61
 1 15 1996  450       62
 1 15 1996  451       63
 1 15 1996  451       64
 1 15 1996  451       65
 1 15 1996  451       66
 1 15 1996  452       67
 1 15 1996  453       68
 1 15 1996  454       69
 1 15 1996  458       70
 1 15 1996  500       71
 1 15 1996  502       72
 1 15 1996  504       73
 1 15 1996  508       74
 1 15 1996  738       75
 1 15 1996  801       76
 1 15 1996  804       77
 1 15 1996  810       78
 1 15 1996  823       79
 1 15 1996  904       80
 1 15 1996  924       81
 1 15 1996  926       82
 1 15 1996  927       83
 1 15 1996  928       84
 1 15 1996  929       85
 1 15 1996  931       86
 1 15 1996  932       87
 1 15 1996  933       88
 1 15 1996  935       89
 1 15 1996  937       90
 1 15 1996  939       91
 1 15 1996  941       92
 1 15 1996  944       93
 1 15 1996  949       94
 1 15 1996  953       95
 1 15 1996  958       96
 1 15 1996 1000       97
 1 15 1996 1002       98
