"PDE20197.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1997/02/05 at 15:53:24"
"By                   : Gary"
"Start date           : 01-08-97-14:40"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE   "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 1  8 1997 1442        1
 1  8 1997 1944        2
 1  8 1997 2013        3
 1  8 1997 2030        4
 1  8 1997 2051        5
 1  8 1997 2103        6
 1  8 1997 2212        7
 1  8 1997 2309        8
 1  9 1997    9        9
 1  9 1997  104       10
 1  9 1997  229       11
 1  9 1997  551       12
 1  9 1997 1819       13
 1  9 1997 2037       14
 1  9 1997 2210       15
 1 10 1997   33       16
 1 10 1997  318       17
 1 10 1997  357       18
 1 10 1997  555       19
 1 10 1997  723       20
 1 10 1997  821       21
 1 10 1997  901       22
 1 10 1997 1843       23
 1 13 1997 1234       24
 1 14 1997 1124       25
 1 15 1997 1133       26
 1 16 1997 1147       27
 1 16 1997 1240       28
 1 16 1997 1333       29
 1 16 1997 1516       30
 1 16 1997 1537       31
 1 16 1997 1552       32
 1 16 1997 1604       33
 1 16 1997 1611       34
 1 16 1997 1618       35
 1 16 1997 1623       36
 1 16 1997 1629       37
 1 16 1997 1636       38
 1 16 1997 1644       39
 1 16 1997 1651       40
 1 16 1997 1658       41
 1 16 1997 1707       42
 1 16 1997 1720       43
 1 16 1997 1729       44
 1 16 1997 1735       45
 1 16 1997 1752       46
 1 16 1997 1803       47
 1 16 1997 1812       48
 1 16 1997 1823       49
 1 16 1997 1842       50
 1 16 1997 1939       51
 1 16 1997 1950       52
 1 16 1997 1958       53
 1 16 1997 2003       54
 1 16 1997 2009       55
 1 16 1997 2012       56
 1 16 1997 2018       57
 1 16 1997 2026       58
 1 16 1997 2035       59
 1 16 1997 2053       60
 1 16 1997 2138       61
 1 16 1997 2244       62
 1 17 1997   58       63
 1 17 1997  135       64
 1 17 1997  148       65
 1 17 1997  200       66
 1 17 1997  210       67
 1 17 1997  219       68
 1 17 1997  229       69
 1 17 1997  240       70
 1 17 1997  251       71
 1 17 1997  306       72
 1 17 1997  317       73
 1 17 1997  330       74
 1 17 1997  344       75
 1 17 1997  405       76
 1 17 1997  530       77
 1 17 1997  558       78
 1 17 1997  610       79
 1 17 1997  624       80
 1 17 1997  643       81
 1 17 1997  656       82
 1 17 1997  707       83
 1 17 1997  748       84
 1 17 1997  946       85
 1 17 1997  958       86
 1 17 1997 1014       87
 1 17 1997 1030       88
 1 17 1997 1038       89
 1 17 1997 1048       90
 1 17 1997 1054       91
 1 17 1997 1102       92
 1 17 1997 1109       93
 1 17 1997 1116       94
 1 17 1997 1125       95
 1 17 1997 1147       96
 1 17 1997 1157       97
 1 17 1997 1205       98
 1 17 1997 1213       99
 1 17 1997 1219      100
 1 17 1997 1245      101
 1 17 1997 1304      102
 1 17 1997 1319      103
 1 17 1997 1332      104
 1 17 1997 1338      105
 1 17 1997 1341      106
 1 17 1997 1344      107
 1 17 1997 1347      108
 1 17 1997 1352      109
 1 17 1997 1358      110
 1 17 1997 1402      111
 1 17 1997 1406      112
 1 17 1997 1409      113
 1 17 1997 1411      114
 1 17 1997 1414      115
 1 17 1997 1417      116
 1 17 1997 1421      117
 1 17 1997 1426      118
 1 17 1997 1433      119
 1 17 1997 1447      120
 1 17 1997 1520      121
 1 17 1997 1527      122
 1 17 1997 1537      123
 1 17 1997 1608      124
 1 17 1997 1619      125
 1 17 1997 1625      126
 1 17 1997 1631      127
 1 17 1997 1710      128
 1 17 1997 1820      129
 1 17 1997 1921      130
 1 17 1997 1949      131
 1 17 1997 2006      132
 1 17 1997 2017      133
 1 17 1997 2028      134
 1 17 1997 2109      135
 1 17 1997 2212      136
 1 17 1997 2228      137
 1 17 1997 2308      138
 1 18 1997  206      139
 1 18 1997  300      140
 1 18 1997  315      141
 1 18 1997  326      142
 1 18 1997  333      143
 1 18 1997  339      144
 1 18 1997  346      145
 1 18 1997  355      146
 1 18 1997  407      147
 1 18 1997  422      148
 1 18 1997  432      149
 1 18 1997  438      150
 1 18 1997  442      151
 1 18 1997  446      152
 1 18 1997  450      153
 1 18 1997  454      154
 1 18 1997  458      155
 1 18 1997  503      156
 1 18 1997  508      157
 1 18 1997  514      158
 1 18 1997  519      159
 1 18 1997  524      160
 1 18 1997  528      161
 1 18 1997  532      162
 1 18 1997  536      163
 1 18 1997  541      164
 1 18 1997  545      165
 1 18 1997  552      166
 1 18 1997  603      167
 1 18 1997  618      168
 1 18 1997  632      169
 1 18 1997  641      170
 1 18 1997  903      171
 1 19 1997  325      172
 1 19 1997 1828      173
 1 19 1997 1852      174
 1 19 1997 1912      175
 1 19 1997 1945      176
 1 19 1997 2047      177
 1 19 1997 2204      178
 1 19 1997 2243      179
 1 19 1997 2301      180
 1 19 1997 2318      181
 1 19 1997 2332      182
 1 19 1997 2350      183
 1 20 1997    3      184
 1 20 1997   14      185
 1 20 1997   31      186
 1 20 1997  153      187
 1 20 1997  207      188
 1 20 1997  216      189
 1 20 1997  222      190
 1 20 1997  230      191
 1 20 1997  239      192
 1 20 1997  250      193
 1 20 1997  256      194
 1 20 1997  303      195
 1 20 1997  310      196
 1 20 1997  318      197
