"pde20296.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/03/11 at 08:46:34"
"By                   : Thomas     "
"Start date           : 02-05-96-10:07"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : February storm"

"MT" "DY" "YR" "HHMM" "TOTAL   "

 2  5 1996 1018        1
 2  5 1996 1042        2
 2  5 1996 1145        3
 2  5 1996 1147        4
 2  5 1996 1201        5
 2  5 1996 1203        6
 2  5 1996 1205        7
 2  5 1996 1207        8
 2  5 1996 1210        9
 2  5 1996 1213       10
 2  5 1996 1218       11
 2  5 1996 1229       12
 2  5 1996 1234       13
 2  5 1996 1235       14
 2  5 1996 1237       15
 2  5 1996 1249       16
 2  5 1996 1251       17
 2  5 1996 1255       18
 2  5 1996 1302       19
 2  5 1996 1307       20
 2  5 1996 1324       21
 2  5 1996 1333       22
 2  5 1996 1336       23
 2  5 1996 1339       24
 2  5 1996 1344       25
 2  5 1996 1346       26
 2  5 1996 1349       27
 2  5 1996 1356       28
 2  5 1996 1411       29
 2  5 1996 1424       30
 2  5 1996 1432       31
 2  5 1996 1438       32
 2  5 1996 1444       33
 2  5 1996 1501       34
 2  5 1996 1508       35
 2  5 1996 1514       36
 2  5 1996 1517       37
 2  5 1996 1522       38
 2  5 1996 1526       39
 2  5 1996 1530       40
 2  5 1996 1534       41
 2  5 1996 1538       42
 2  5 1996 1542       43
 2  5 1996 1546       44
 2  5 1996 1551       45
 2  5 1996 1554       46
 2  5 1996 1558       47
 2  5 1996 1602       48
 2  5 1996 1606       49
 2  5 1996 1611       50
 2  5 1996 1616       51
 2  5 1996 1621       52
 2  5 1996 1624       53
 2  5 1996 1628       54
 2  5 1996 1631       55
 2  5 1996 1634       56
 2  5 1996 1639       57
 2  5 1996 1642       58
 2  5 1996 1645       59
 2  5 1996 1648       60
 2  5 1996 1652       61
 2  5 1996 1657       62
 2  5 1996 1700       63
 2  5 1996 1704       64
 2  5 1996 1709       65
 2  5 1996 1712       66
 2  5 1996 1717       67
 2  5 1996 1720       68
 2  5 1996 1724       69
 2  5 1996 1726       70
 2  5 1996 1730       71
 2  5 1996 1734       72
 2  5 1996 1736       73
 2  5 1996 1739       74
 2  5 1996 1741       75
 2  5 1996 2233       76
 2  5 1996 2235       77
 2  5 1996 2238       78
 2  5 1996 2241       79
 2  5 1996 2242       80
 2  5 1996 2246       81
 2  5 1996 2249       82
 2  5 1996 2258       83
 2  6 1996  414       84
 2  6 1996  431       85
 2  6 1996  441       86
 2  6 1996  449       87
 2  6 1996  456       88
 2  6 1996  500       89
 2  6 1996  506       90
