"PDE20393.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/04/19 at 16:51:55"
"By                   : KLAVAS     "
"Start date           : 03-08-93-11:38"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3 13 1993 2022        1
 3 13 1993 2141        2
 3 14 1993  617        3
 3 14 1993  624        4
 3 14 1993  628        5
 3 14 1993  629        6
 3 14 1993  632        7
 3 14 1993  642        8
 3 14 1993  825        9
 3 14 1993  831       10
 3 14 1993  847       11
 3 14 1993  935       12
 3 14 1993 1023       13
 3 14 1993 1040       14
 3 14 1993 1121       15
 3 14 1993 1127       16
 3 14 1993 1134       17
 3 14 1993 1140       18
 3 14 1993 1337       19
 3 14 1993 1342       20
 3 14 1993 1355       21
 3 14 1993 1401       22
 3 14 1993 1409       23
 3 14 1993 1421       24
 3 14 1993 1532       25
 3 14 1993 1541       26
 3 14 1993 1547       27
 3 14 1993 1621       28
 3 14 1993 1723       29
 3 14 1993 1733       30
 3 14 1993 1809       31
 3 14 1993 2208       32
 3 14 1993 2213       33
 3 14 1993 2220       34
 3 14 1993 2227       35
 3 14 1993 2241       36
 3 14 1993 2245       37
 3 14 1993 2248       38
 3 14 1993 2251       39
 3 14 1993 2257       40
 3 14 1993 2306       41
 3 14 1993 2323       42
 3 14 1993 2327       43
 3 14 1993 2346       44
 3 15 1993    8       45
 3 15 1993   20       46
 3 15 1993   29       47
 3 15 1993   44       48
 3 15 1993   59       49
 3 15 1993  100       50
 3 15 1993  101       51
 3 15 1993  102       52
 3 15 1993  103       53
 3 15 1993  105       54
 3 15 1993  110       55
 3 15 1993  113       56
 3 15 1993  139       57
 3 15 1993  218       58
 3 15 1993  341       59
 3 15 1993 1408       60
 3 15 1993 1417       61
 3 16 1993 1333       62
 3 16 1993 1355       63
 3 16 1993 1411       64
 3 16 1993 1424       65
 3 16 1993 1437       66
 3 16 1993 1448       67
 3 16 1993 1455       68
 3 16 1993 1506       69
 3 16 1993 1513       70
 3 16 1993 1529       71
 3 16 1993 1537       72
 3 16 1993 1542       73
 3 16 1993 1547       74
 3 16 1993 1557       75
 3 16 1993 1605       76
 3 16 1993 1609       77
 3 16 1993 1615       78
 3 16 1993 1622       79
 3 16 1993 1630       80
 3 16 1993 1635       81
 3 16 1993 1638       82
 3 16 1993 1641       83
 3 16 1993 1643       84
 3 16 1993 1644       85
 3 16 1993 1645       86
 3 16 1993 1648       87
 3 16 1993 1654       88
 3 16 1993 1701       89
 3 16 1993 1705       90
 3 16 1993 1708       91
 3 16 1993 1709       92
 3 16 1993 1712       93
 3 16 1993 1714       94
 3 16 1993 1718       95
 3 16 1993 1725       96
 3 16 1993 1733       97
 3 16 1993 1743       98
 3 16 1993 1749       99
 3 16 1993 1755      100
 3 16 1993 1804      101
 3 16 1993 1832      102
 3 17 1993 1144      103
 3 17 1993 1148      104
 3 17 1993 1158      105
 3 17 1993 1225      106
 3 17 1993 1240      107
 3 17 1993 1254      108
 3 17 1993 1317      109
 3 17 1993 1345      110
 3 17 1993 1412      111
 3 17 1993 1423      112
 3 17 1993 1457      113
 3 17 1993 1524      114
 3 17 1993 1558      115
 3 17 1993 1605      116
 3 17 1993 1611      117
 3 17 1993 1620      118
 3 17 1993 1628      119
 3 17 1993 1630      120
 3 17 1993 1810      121
 3 17 1993 2344      122
 3 19 1993 2122      123
 3 19 1993 2206      124
 3 19 1993 2220      125
 3 19 1993 2229      126
 3 19 1993 2251      127
 3 19 1993 2353      128
 3 20 1993   18      129
 3 20 1993   48      130
 3 20 1993  203      131
 3 20 1993  232      132
 3 20 1993  352      133
 3 20 1993 1543      134
 3 21 1993  103      135
 3 22 1993  451      136
 3 22 1993  523      137
 3 22 1993  536      138
 3 22 1993  551      139
 3 22 1993  609      140
 3 22 1993  634      141
 3 22 1993  639      142
 3 22 1993  650      143
 3 22 1993  700      144
 3 22 1993  735      145
 3 22 1993  756      146
 3 22 1993  803      147
 3 22 1993  813      148
 3 22 1993  828      149
 3 22 1993  846      150
 3 22 1993  938      151
 3 22 1993 1011      152
 3 22 1993 1022      153
 3 22 1993 1031      154
 3 22 1993 1045      155
 3 22 1993 1057      156
 3 22 1993 1316      157
 3 22 1993 1330      158
 3 22 1993 1409      159
 3 22 1993 1427      160
 3 22 1993 1443      161
 3 22 1993 1450      162
 3 22 1993 1459      163
 3 22 1993 1507      164
 3 22 1993 1518      165
