"PDE20394.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1994/04/18 at 10:42:07"
"By                   : kirk "
"Start date           : 03-03-94-09:58"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3  3 1994 1002        1
 3  3 1994 1506        2
 3  3 1994 1506        3
 3  3 1994 1508        4
 3  3 1994 1534        5
 3  4 1994  225        6
 3  4 1994  231        7
 3  4 1994  235        8
 3  4 1994  237        9
 3  4 1994  242       10
 3  4 1994  309       11
 3  4 1994  319       12
 3  4 1994  322       13
 3  4 1994  323       14
 3  4 1994  324       15
 3  4 1994  325       16
 3  4 1994  325       17
 3  4 1994  326       18
 3  4 1994  326       19
 3  4 1994  326       20
 3  4 1994  327       21
 3  4 1994  327       22
 3  4 1994  328       23
 3  4 1994  328       24
 3  4 1994  329       25
 3  4 1994  330       26
 3  4 1994  331       27
 3  4 1994  335       28
 3  4 1994  337       29
 3  4 1994  341       30
 3  4 1994  345       31
 3  4 1994  349       32
 3  4 1994  420       33
 3  4 1994  617       34
 3  4 1994  619       35
 3  4 1994  630       36
 3  4 1994 1104       37
 3  4 1994 1107       38
 3  4 1994 1313       39
 3  7 1994  838       40
 3  9 1994 2234       41
 3  9 1994 2354       42
 3  9 1994 2358       43
 3 10 1994    3       44
 3 10 1994    7       45
 3 10 1994   10       46
 3 10 1994   13       47
 3 10 1994   19       48
 3 10 1994   33       49
 3 10 1994   44       50
 3 10 1994   59       51
 3 10 1994  108       52
 3 10 1994  353       53
 3 10 1994  417       54
 3 15 1994 2030       55
 3 15 1994 2033       56
 3 15 1994 2036       57
 3 15 1994 2038       58
 3 15 1994 2041       59
 3 15 1994 2045       60
 3 15 1994 2054       61
 3 15 1994 2101       62
 3 15 1994 2109       63
 3 15 1994 2115       64
 3 15 1994 2119       65
 3 15 1994 2122       66
 3 15 1994 2124       67
 3 15 1994 2128       68
 3 15 1994 2133       69
 3 15 1994 2142       70
 3 15 1994 2159       71
 3 15 1994 2223       72
 3 15 1994 2304       73
 3 16 1994  754       74
 3 16 1994 1044       75
 3 16 1994 1059       76
 3 16 1994 1435       77
 3 16 1994 1529       78
 3 16 1994 1606       79
 3 16 1994 1858       80
 3 16 1994 1925       81
 3 16 1994 1949       82
 3 16 1994 2012       83
 3 16 1994 2029       84
 3 16 1994 2036       85
 3 16 1994 2047       86
 3 16 1994 2058       87
 3 16 1994 2151       88
 3 16 1994 2157       89
 3 16 1994 2204       90
 3 16 1994 2208       91
 3 16 1994 2214       92
 3 16 1994 2219       93
 3 16 1994 2227       94
 3 16 1994 2233       95
 3 16 1994 2243       96
 3 16 1994 2249       97
 3 16 1994 2256       98
 3 16 1994 2301       99
 3 16 1994 2308      100
 3 16 1994 2313      101
 3 16 1994 2317      102
 3 16 1994 2320      103
 3 16 1994 2324      104
 3 16 1994 2327      105
 3 16 1994 2330      106
 3 16 1994 2334      107
 3 16 1994 2339      108
 3 16 1994 2343      109
 3 16 1994 2351      110
 3 17 1994    1      111
 3 17 1994   11      112
 3 17 1994   31      113
 3 17 1994   52      114
 3 17 1994  107      115
 3 17 1994  137      116
 3 17 1994  158      117
 3 17 1994  316      118
 3 17 1994 1542      119
 3 17 1994 1730      120
 3 17 1994 1759      121
 3 17 1994 1830      122
 3 17 1994 1849      123
 3 17 1994 1929      124
 3 17 1994 1939      125
 3 17 1994 1949      126
 3 17 1994 1957      127
 3 17 1994 2008      128
 3 17 1994 2020      129
 3 17 1994 2042      130
 3 17 1994 2059      131
 3 17 1994 2123      132
 3 17 1994 2149      133
 3 18 1994  101      134
 3 18 1994  113      135
 3 18 1994  124      136
 3 18 1994  131      137
 3 18 1994  151      138
 3 18 1994  207      139
 3 18 1994  217      140
 3 18 1994  223      141
 3 18 1994  234      142
 3 18 1994  248      143
 3 18 1994  251      144
 3 18 1994  251      145
 3 18 1994  252      146
 3 18 1994  253      147
 3 18 1994  254      148
 3 18 1994  256      149
 3 18 1994  258      150
 3 18 1994  300      151
 3 18 1994  304      152
 3 18 1994  307      153
 3 18 1994  311      154
 3 18 1994  314      155
 3 18 1994  317      156
 3 18 1994  321      157
 3 18 1994  324      158
 3 18 1994  329      159
 3 18 1994  334      160
 3 18 1994  341      161
 3 18 1994  344      162
 3 18 1994  348      163
 3 18 1994  351      164
 3 18 1994  354      165
 3 18 1994  356      166
 3 18 1994  404      167
 3 18 1994  414      168
 3 18 1994  420      169
 3 18 1994  426      170
 3 18 1994  432      171
 3 18 1994  436      172
 3 18 1994  441      173
 3 18 1994  450      174
 3 18 1994  456      175
 3 18 1994  500      176
 3 18 1994  506      177
 3 18 1994  515      178
 3 18 1994  536      179
 3 18 1994  545      180
 3 18 1994  601      181
 3 18 1994  607      182
 3 18 1994  708      183
 3 18 1994  711      184
 3 18 1994  723      185
 3 18 1994  730      186
 3 18 1994  738      187
 3 18 1994  800      188
 3 18 1994 1004      189
 3 18 1994 1008      190
 3 18 1994 1016      191
 3 18 1994 1219      192
 3 18 1994 1332      193
 3 18 1994 1430      194
 3 18 1994 1526      195
 3 18 1994 1528      196
 3 18 1994 1544      197
 3 18 1994 1609      198
 3 18 1994 1618      199
 3 18 1994 1638      200
 3 18 1994 1653      201
 3 18 1994 2210      202
 3 18 1994 2218      203
 3 18 1994 2222      204
 3 18 1994 2226      205
 3 18 1994 2233      206
 3 19 1994   11      207
 3 19 1994  231      208
 3 19 1994  308      209
 3 19 1994  324      210
 3 19 1994  327      211
 3 19 1994  330      212
 3 19 1994  333      213
 3 19 1994  335      214
 3 19 1994  338      215
 3 19 1994  343      216
 3 19 1994  351      217
 3 19 1994  359      218
 3 19 1994  409      219
 3 19 1994  430      220
 3 19 1994  538      221
 3 19 1994 1530      222
 3 19 1994 1534      223
 3 19 1994 1540      224
 3 19 1994 1543      225
 3 19 1994 1611      226
 3 19 1994 1614      227
 3 19 1994 1619      228
 3 19 1994 1622      229
 3 19 1994 1658      230
 3 19 1994 2132      231
 3 20 1994  551      232
 3 20 1994  633      233
 3 20 1994  931      234
 3 20 1994  945      235
 3 20 1994 1109      236
 3 20 1994 1133      237
 3 20 1994 1141      238
 3 20 1994 1147      239
 3 20 1994 1154      240
 3 20 1994 1159      241
 3 20 1994 1207      242
 3 20 1994 1212      243
 3 20 1994 1217      244
 3 20 1994 1222      245
 3 20 1994 1230      246
 3 20 1994 1236      247
 3 20 1994 1238      248
 3 20 1994 1240      249
 3 20 1994 1243      250
 3 20 1994 1245      251
 3 20 1994 1248      252
 3 20 1994 1252      253
 3 20 1994 1309      254
 3 20 1994 1345      255
 3 20 1994 1755      256
 3 20 1994 1803      257
 3 20 1994 1807      258
 3 20 1994 1812      259
 3 20 1994 1816      260
 3 20 1994 1822      261
 3 20 1994 1834      262
 3 20 1994 1836      263
 3 20 1994 1839      264
 3 20 1994 1854      265
 3 20 1994 1859      266
 3 20 1994 1902      267
 3 20 1994 1905      268
 3 20 1994 1907      269
 3 20 1994 1911      270
 3 20 1994 1918      271
 3 20 1994 1922      272
 3 20 1994 1927      273
 3 20 1994 1929      274
 3 20 1994 1932      275
 3 20 1994 1939      276
 3 20 1994 1943      277
 3 20 1994 1948      278
 3 20 1994 1954      279
 3 20 1994 1957      280
 3 20 1994 1958      281
 3 20 1994 2002      282
 3 20 1994 2005      283
 3 20 1994 2007      284
 3 20 1994 2013      285
 3 20 1994 2017      286
 3 20 1994 2028      287
 3 21 1994   23      288
 3 21 1994   24      289
 3 21 1994  103      290
 3 21 1994  134      291
 3 21 1994  413      292
 3 21 1994  441      293
 3 21 1994  836      294
 3 21 1994  844      295
 3 21 1994  849      296
 3 21 1994  854      297
 3 21 1994  950      298
 3 21 1994 1053      299
 3 21 1994 1207      300
 3 21 1994 1409      301
 3 21 1994 1417      302
 3 21 1994 1420      303
 3 21 1994 1423      304
 3 21 1994 1702      305
 3 21 1994 1718      306
 3 21 1994 1840      307
 3 21 1994 1845      308
 3 21 1994 1849      309
 3 21 1994 1858      310
 3 21 1994 1944      311
 3 21 1994 2107      312
 3 22 1994  420      313
 3 22 1994  531      314
 3 22 1994  705      315
 3 22 1994  732      316
 3 22 1994  741      317
 3 22 1994  808      318
 3 22 1994  816      319
 3 22 1994  851      320
 3 22 1994  909      321
 3 22 1994  928      322
 3 22 1994  948      323
 3 22 1994 1007      324
 3 22 1994 1041      325
 3 22 1994 1127      326
 3 22 1994 1143      327
 3 22 1994 1202      328
 3 22 1994 1634      329
 3 22 1994 1645      330
 3 22 1994 1714      331
 3 23 1994  924      332
 3 30 1994  609      333
 4  5 1994 1336      334
 4  5 1994 1419      335
 4  5 1994 1456      336
 4  5 1994 1554      337
 4  5 1994 1622      338
 4  5 1994 1644      339
 4  5 1994 1703      340
 4  5 1994 1738      341
 4  5 1994 1808      342
 4  5 1994 1850      343
 4  5 1994 1928      344
 4  5 1994 1948      345
 4  5 1994 2005      346
 4  5 1994 2020      347
 4  5 1994 2030      348
 4  5 1994 2038      349
 4  5 1994 2051      350
 4  5 1994 2104      351
 4  5 1994 2133      352
 4  5 1994 2145      353
 4  6 1994  124      354
 4  6 1994  227      355
 4  6 1994  330      356
 4  6 1994  429      357
 4  6 1994  550      358
 4  6 1994  555      359
 4  6 1994  713      360
