"PDE20396.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/04/10 at 08:45:07"
"By                   : Vicencio   "
"Start date           : 03-04-96-12:01"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3  4 1996 1338        1
 3  4 1996 1416        2
 3  4 1996 1434        3
 3  4 1996 1444        4
 3  4 1996 1450        5
 3  4 1996 1500        6
 3  4 1996 1511        7
 3  4 1996 1518        8
 3  4 1996 1525        9
 3  4 1996 1531       10
 3  4 1996 1536       11
 3  4 1996 1542       12
 3  4 1996 1547       13
 3  4 1996 1553       14
 3  4 1996 1557       15
 3  4 1996 1602       16
 3  4 1996 1607       17
 3  4 1996 1612       18
 3  4 1996 1617       19
 3  4 1996 1621       20
 3  4 1996 1625       21
 3  4 1996 1630       22
 3  4 1996 1635       23
 3  4 1996 1638       24
 3  4 1996 1641       25
 3  4 1996 1644       26
 3  4 1996 1647       27
 3  4 1996 1650       28
 3  4 1996 1654       29
 3  4 1996 1659       30
 3  4 1996 1702       31
 3  4 1996 1707       32
 3  4 1996 1711       33
 3  4 1996 1715       34
 3  4 1996 1720       35
 3  4 1996 1722       36
 3  4 1996 1724       37
 3  4 1996 1726       38
 3  4 1996 1729       39
 3  4 1996 1732       40
 3  4 1996 1736       41
 3  4 1996 1745       42
 3  4 1996 1750       43
 3  4 1996 1757       44
 3  4 1996 1806       45
 3  4 1996 1819       46
 3  4 1996 1830       47
 3  4 1996 1850       48
 3  4 1996 1905       49
 3  4 1996 1921       50
 3  4 1996 1938       51
 3  4 1996 2012       52
 3  4 1996 2035       53
 3  4 1996 2131       54
 3  5 1996  734       55
 3  5 1996  755       56
 3  5 1996  823       57
 3  5 1996  835       58
 3  5 1996  839       59
 3  5 1996  842       60
 3  5 1996  850       61
 3  5 1996  909       62
 3  5 1996  917       63
 3  5 1996  933       64
 3  5 1996  942       65
 3  5 1996 1023       66
 3  5 1996 1056       67
 3  5 1996 1155       68
 3  5 1996 1234       69
 3  5 1996 1310       70
 3  5 1996 1332       71
 3  5 1996 1439       72
 3  5 1996 1524       73
 3  5 1996 1620       74
 3  5 1996 1633       75
 3  5 1996 1719       76
 3  5 1996 1910       77
 3  5 1996 1921       78
 3  5 1996 1959       79
 3  5 1996 2352       80
 3  6 1996   59       81
 3  6 1996  105       82
 3  6 1996  119       83
 3  6 1996  205       84
 3  6 1996  729       85
 3  7 1996 1728       86
 3  7 1996 1754       87
 3  7 1996 1802       88
 3  7 1996 1845       89
 3  7 1996 2127       90
 3  7 1996 2302       91
 3  9 1996  914       92
 3  9 1996 1618       93
 3  9 1996 1848       94
 3  9 1996 1951       95
 3  9 1996 2015       96
 3  9 1996 2031       97
 3  9 1996 2048       98
 3  9 1996 2110       99
 3  9 1996 2249      100
 3  9 1996 2319      101
 3 10 1996    5      102
 3 10 1996  631      103
 3 10 1996 2151      104
 3 10 1996 2202      105
 3 10 1996 2207      106
 3 10 1996 2231      107
 3 10 1996 2338      108
 3 11 1996  620      109
 3 12 1996 1703      110
 3 12 1996 1845      111
 3 12 1996 1851      112
 3 12 1996 1855      113
 3 12 1996 1902      114
 3 12 1996 1913      115
 3 12 1996 1938      116
 3 12 1996 1959      117
 3 12 1996 2016      118
 3 12 1996 2027      119
 3 19 1996  227      120
 3 19 1996  231      121
 3 19 1996  235      122
 3 19 1996  239      123
 3 19 1996  243      124
 3 19 1996  247      125
 3 19 1996  303      126
 3 19 1996  758      127
 3 19 1996 1027      128
 3 19 1996 1203      129
 3 19 1996 1204      130
 3 19 1996 1205      131
 3 19 1996 1206      132
 3 19 1996 1213      133
 3 20 1996 1557      134
 3 20 1996 1614      135
 3 20 1996 2338      136
 3 21 1996 1801      137
 3 21 1996 1812      138
 3 21 1996 2002      139
 3 21 1996 2113      140
 3 21 1996 2209      141
 3 21 1996 2356      142
 3 22 1996   13      143
 3 22 1996   21      144
 3 22 1996   33      145
 3 22 1996  101      146
 3 22 1996  209      147
 3 22 1996  221      148
 3 22 1996  320      149
 3 22 1996  353      150
 3 22 1996  414      151
 3 22 1996  433      152
 3 22 1996  438      153
 3 22 1996  445      154
 3 22 1996  451      155
 3 22 1996  455      156
 3 22 1996  501      157
 3 22 1996  505      158
 3 22 1996  512      159
 3 22 1996  533      160
 3 22 1996  629      161
 3 22 1996  651      162
 3 22 1996  706      163
 3 22 1996  725      164
 3 22 1996  737      165
 3 22 1996  908      166
 3 27 1996   52      167
 3 27 1996  104      168
 3 28 1996  851      169
 3 29 1996  420      170
 3 29 1996  447      171
 3 29 1996  531      172
 3 29 1996  542      173
 3 29 1996 1034      174
 3 29 1996 1049      175
 3 29 1996 1100      176
 3 29 1996 1104      177
 3 29 1996 1108      178
 3 29 1996 1357      179
 3 29 1996 1400      180
 3 30 1996  109      181
 3 30 1996  214      182
 3 31 1996  556      183
 3 31 1996  617      184
 3 31 1996  628      185
 3 31 1996 1025      186
 3 31 1996 1505      187
 3 31 1996 1614      188
 3 31 1996 1639      189
 3 31 1996 1645      190
 3 31 1996 1655      191
 3 31 1996 1709      192
 3 31 1996 1714      193
 3 31 1996 1716      194
 3 31 1996 1718      195
 3 31 1996 1719      196
 3 31 1996 1723      197
 3 31 1996 1727      198
 3 31 1996 1730      199
 3 31 1996 1733      200
 3 31 1996 1737      201
 3 31 1996 1740      202
 3 31 1996 1743      203
 3 31 1996 1747      204
 3 31 1996 1750      205
 3 31 1996 1754      206
 3 31 1996 1759      207
 3 31 1996 1806      208
 3 31 1996 1812      209
 3 31 1996 1818      210
 3 31 1996 1827      211
 3 31 1996 1832      212
 3 31 1996 1839      213
 3 31 1996 1845      214
 3 31 1996 1854      215
 3 31 1996 1903      216
 3 31 1996 1911      217
 3 31 1996 1917      218
 3 31 1996 1921      219
 3 31 1996 1926      220
 3 31 1996 1929      221
 3 31 1996 1932      222
 3 31 1996 1936      223
 3 31 1996 1940      224
 3 31 1996 1944      225
 3 31 1996 1953      226
 3 31 1996 2013      227
 3 31 1996 2105      228
 3 31 1996 2118      229
 4  1 1996  349      230
 4  1 1996  412      231
 4  1 1996  448      232
 4  1 1996  457      233
 4  1 1996  501      234
 4  1 1996  503      235
 4  1 1996  506      236
 4  1 1996  509      237
 4  1 1996  512      238
 4  1 1996  517      239
 4  1 1996  527      240
 4  1 1996  633      241
 4  1 1996  646      242
 4  1 1996  659      243
 4  1 1996  715      244
 4  1 1996  734      245
 4  1 1996  749      246
 4  1 1996  810      247
 4  1 1996 1327      248
 4  1 1996 2133      249
