"PDE20399.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1999/04/02 at 14:57:44"
"By                   : Gary"
"Start date           : 03-10-99-11:30"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE BOAT LAUNCH"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 3 11 1999  927        1
 3 12 1999  523        2
 3 12 1999  534        3
 3 12 1999  544        4
 3 12 1999  551        5
 3 12 1999  558        6
 3 12 1999  607        7
 3 12 1999  620        8
 3 12 1999  646        9
 3 12 1999  722       10
 3 12 1999  857       11
 3 12 1999 1156       12
 3 12 1999 1226       13
 3 12 1999 1241       14
 3 12 1999 1256       15
 3 12 1999 1307       16
 3 12 1999 1316       17
 3 12 1999 1324       18
 3 12 1999 1331       19
 3 12 1999 1336       20
 3 12 1999 1342       21
 3 12 1999 1347       22
 3 12 1999 1352       23
 3 12 1999 1359       24
 3 12 1999 1404       25
 3 12 1999 1410       26
 3 12 1999 1416       27
 3 12 1999 1422       28
 3 12 1999 1428       29
 3 12 1999 1435       30
 3 12 1999 1441       31
 3 12 1999 1448       32
 3 12 1999 1455       33
 3 12 1999 1503       34
 3 12 1999 1511       35
 3 12 1999 1521       36
 3 12 1999 1530       37
 3 12 1999 1539       38
 3 12 1999 1549       39
 3 12 1999 1559       40
 3 12 1999 1610       41
 3 12 1999 1621       42
 3 12 1999 1635       43
 3 12 1999 1648       44
 3 12 1999 1703       45
 3 12 1999 1718       46
 3 12 1999 1733       47
 3 12 1999 1749       48
 3 12 1999 1801       49
 3 12 1999 1814       50
 3 12 1999 1827       51
 3 12 1999 1840       52
 3 12 1999 1853       53
 3 12 1999 1907       54
 3 12 1999 1921       55
 3 12 1999 1936       56
 3 12 1999 1950       57
 3 12 1999 2007       58
 3 12 1999 2022       59
 3 12 1999 2039       60
 3 12 1999 2057       61
 3 12 1999 2117       62
 3 12 1999 2138       63
 3 12 1999 2203       64
 3 12 1999 2228       65
 3 12 1999 2258       66
 3 12 1999 2326       67
 3 12 1999 2358       68
 3 13 1999   31       69
 3 13 1999  109       70
 3 13 1999  148       71
 3 13 1999  224       72
 3 13 1999  258       73
 3 13 1999  331       74
 3 13 1999  405       75
 3 13 1999  446       76
 3 13 1999  540       77
 3 13 1999  638       78
 3 13 1999  752       79
 3 13 1999  940       80
 3 13 1999 1115       81
 3 13 1999 1309       82
 3 13 1999 1512       83
 3 13 1999 1815       84
 3 13 1999 2223       85
 3 14 1999  222       86
 3 14 1999 1230       87
 3 15 1999 1703       88
 3 18 1999 1920       89
 3 19 1999 1254       90
 3 19 1999 1254       91
 3 22 1999 1642       92
 3 23 1999  313       93
 3 23 1999 2026       94
 3 24 1999 2012       95
 3 25 1999 1536       96
 3 25 1999 2308       97
 3 26 1999  448       98
 3 26 1999 1238       99
 3 26 1999 2118      100
 3 27 1999 1252      101
 3 28 1999  847      102
 3 28 1999 2121      103
 3 29 1999   46      104
 3 29 1999 1116      105
 3 29 1999 1321      106
 3 29 1999 1453      107
 3 29 1999 1636      108
 3 29 1999 1942      109
 3 29 1999 2232      110
 3 30 1999 1421      111
 3 31 1999 1132      112
 4  1 1999  846      113
 4  1 1999  857      114
 4  1 1999  902      115
 4  1 1999  905      116
 4  1 1999  907      117
 4  1 1999  910      118
 4  1 1999  912      119
 4  1 1999  913      120
 4  1 1999  915      121
 4  1 1999  917      122
 4  1 1999  919      123
 4  1 1999  921      124
 4  1 1999  923      125
 4  1 1999  925      126
 4  1 1999  927      127
 4  1 1999  930      128
 4  1 1999  933      129
 4  1 1999  937      130
 4  1 1999  942      131
 4  1 1999  947      132
 4  1 1999  952      133
 4  1 1999  956      134
 4  1 1999 1001      135
 4  1 1999 1005      136
 4  1 1999 1009      137
 4  1 1999 1013      138
 4  1 1999 1016      139
 4  1 1999 1019      140
 4  1 1999 1022      141
 4  1 1999 1026      142
 4  1 1999 1029      143
 4  1 1999 1032      144
 4  1 1999 1035      145
 4  1 1999 1039      146
 4  1 1999 1043      147
 4  1 1999 1046      148
 4  1 1999 1050      149
 4  1 1999 1053      150
 4  1 1999 1057      151
 4  1 1999 1102      152
 4  1 1999 1106      153
 4  1 1999 1110      154
 4  1 1999 1114      155
