"PDE20496.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/05/17 at 13:39:35"
"By                   : Vicencio   "
"Start date           : 04-05-96-09:51"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 4  6 1996  124        1
 4  6 1996  133        2
 4  6 1996  220        3
 4  6 1996  224        4
 4  6 1996  245        5
 4  6 1996  257        6
 4  6 1996  302        7
 4  6 1996  316        8
 4  6 1996  322        9
 4  6 1996  331       10
 4  6 1996  337       11
 4  6 1996  536       12
 4  6 1996  607       13
 4  6 1996  755       14
 4  9 1996 1409       15
 4  9 1996 1427       16
 4  9 1996 1432       17
 4  9 1996 1435       18
 4  9 1996 1436       19
 4  9 1996 1443       20
 4  9 1996 1447       21
 4  9 1996 1453       22
 4  9 1996 1459       23
 4  9 1996 1500       24
 4  9 1996 1501       25
 4  9 1996 1552       26
 4  9 1996 1609       27
 4  9 1996 1618       28
 4  9 1996 1623       29
 4 10 1996  545       30
 4 10 1996  558       31
 4 10 1996 1332       32
 4 10 1996 1337       33
 4 10 1996 1344       34
 4 10 1996 1434       35
 4 10 1996 1438       36
 4 10 1996 1451       37
 4 10 1996 2246       38
 4 11 1996  210       39
 4 11 1996  432       40
 4 11 1996  435       41
 4 11 1996  442       42
 4 11 1996  453       43
 4 11 1996  646       44
 4 11 1996 1129       45
 4 11 1996 1207       46
 4 11 1996 1226       47
 4 11 1996 1253       48
 4 11 1996 1303       49
 4 11 1996 1324       50
 4 11 1996 1402       51
 4 11 1996 1418       52
 4 11 1996 1429       53
 4 11 1996 1437       54
 4 11 1996 1440       55
 4 11 1996 1443       56
 4 11 1996 1445       57
 4 11 1996 1448       58
 4 11 1996 1451       59
 4 11 1996 1453       60
 4 11 1996 1541       61
 4 11 1996 1829       62
 4 11 1996 1856       63
 4 11 1996 1938       64
 4 11 1996 1956       65
 4 11 1996 2002       66
 4 11 1996 2020       67
 4 11 1996 2221       68
 4 11 1996 2224       69
 4 11 1996 2228       70
 4 11 1996 2231       71
 4 11 1996 2235       72
 4 11 1996 2241       73
 4 11 1996 2301       74
 4 12 1996  315       75
 4 12 1996  335       76
 4 12 1996  355       77
 4 12 1996  405       78
 4 12 1996  526       79
 4 12 1996  529       80
 4 12 1996  533       81
 4 12 1996  600       82
 4 12 1996  602       83
 4 12 1996  605       84
 4 12 1996  612       85
 4 12 1996  726       86
 4 12 1996  731       87
 4 12 1996  734       88
 4 12 1996  737       89
 4 12 1996  740       90
 4 12 1996  742       91
 4 12 1996  744       92
 4 12 1996  745       93
 4 12 1996  747       94
 4 12 1996  749       95
 4 12 1996  750       96
 4 12 1996  752       97
 4 12 1996  754       98
 4 12 1996  756       99
 4 12 1996  949      100
 4 12 1996 1016      101
 4 12 1996 1021      102
 4 12 1996 1025      103
 4 12 1996 1029      104
 4 12 1996 1032      105
 4 12 1996 1036      106
 4 12 1996 1038      107
 4 12 1996 1041      108
 4 12 1996 1043      109
 4 12 1996 1046      110
 4 12 1996 1049      111
 4 12 1996 1059      112
 4 12 1996 1127      113
 4 12 1996 1156      114
 4 12 1996 1219      115
 4 12 1996 1300      116
 4 12 1996 1305      117
 4 12 1996 1311      118
 4 12 1996 1316      119
 4 12 1996 1320      120
 4 12 1996 1326      121
 4 12 1996 1339      122
 4 12 1996 1804      123
 4 12 1996 1855      124
 4 12 1996 1858      125
 4 12 1996 1931      126
 4 12 1996 2140      127
 4 12 1996 2228      128
 4 12 1996 2346      129
 4 13 1996  135      130
 4 15 1996  505      131
 4 15 1996  529      132
 4 15 1996  559      133
 4 15 1996  737      134
 4 15 1996 1244      135
 4 15 1996 1245      136
 4 15 1996 1246      137
 4 15 1996 1251      138
 4 15 1996 1921      139
 4 15 1996 1941      140
 4 15 1996 1949      141
 4 15 1996 1958      142
 4 15 1996 2004      143
 4 15 1996 2008      144
 4 15 1996 2011      145
 4 15 1996 2015      146
 4 15 1996 2018      147
 4 15 1996 2021      148
 4 15 1996 2023      149
 4 15 1996 2025      150
 4 15 1996 2028      151
 4 15 1996 2032      152
 4 15 1996 2035      153
 4 15 1996 2037      154
 4 15 1996 2039      155
 4 15 1996 2042      156
 4 15 1996 2045      157
 4 15 1996 2048      158
 4 15 1996 2051      159
 4 15 1996 2100      160
 4 15 1996 2107      161
 4 15 1996 2120      162
 4 15 1996 2125      163
 4 15 1996 2133      164
 4 15 1996 2142      165
 4 15 1996 2146      166
 4 15 1996 2149      167
 4 15 1996 2152      168
 4 15 1996 2200      169
 4 15 1996 2225      170
 4 15 1996 2248      171
 4 15 1996 2302      172
 4 15 1996 2313      173
 4 15 1996 2336      174
 4 16 1996   32      175
 4 16 1996  105      176
 4 16 1996  213      177
 4 16 1996  351      178
 4 16 1996  501      179
 4 16 1996  939      180
 4 16 1996 1344      181
 4 16 1996 1505      182
 4 16 1996 1511      183
 4 16 1996 1513      184
 4 16 1996 1516      185
 4 16 1996 1522      186
 4 16 1996 1528      187
 4 16 1996 1549      188
 4 16 1996 2259      189
 4 17 1996  205      190
 4 17 1996  345      191
 4 17 1996  355      192
 4 17 1996  403      193
 4 17 1996  416      194
 4 17 1996 1243      195
 4 17 1996 2000      196
 4 17 1996 2016      197
 4 18 1996  604      198
 4 18 1996  612      199
 4 18 1996  632      200
 4 18 1996  641      201
 4 18 1996  649      202
 4 18 1996  658      203
 4 18 1996  707      204
 4 18 1996  716      205
 4 18 1996  849      206
 4 18 1996 1601      207
 4 18 1996 1624      208
 4 18 1996 1756      209
 4 18 1996 1759      210
 4 18 1996 1804      211
 4 18 1996 2104      212
 4 19 1996  927      213
 4 19 1996  945      214
 4 19 1996 1005      215
 4 19 1996 1109      216
 4 19 1996 1139      217
 4 19 1996 1153      218
 4 19 1996 1206      219
 4 19 1996 1217      220
 4 19 1996 1230      221
 4 19 1996 1418      222
 4 19 1996 1441      223
 4 19 1996 1505      224
 4 19 1996 1514      225
 4 19 1996 1557      226
 4 19 1996 1617      227
 4 19 1996 1627      228
 4 19 1996 1632      229
 4 20 1996 1641      230
 4 20 1996 1642      231
 4 22 1996  253      232
 4 22 1996  414      233
 4 22 1996  449      234
 4 22 1996  505      235
 4 22 1996  548      236
 4 22 1996  604      237
 4 22 1996  913      238
 4 22 1996  935      239
 4 22 1996  946      240
 4 22 1996  956      241
 4 22 1996 1003      242
 4 22 1996 1013      243
 4 22 1996 1026      244
 4 22 1996 1040      245
 4 22 1996 1110      246
 4 22 1996 1126      247
 4 22 1996 1147      248
 4 22 1996 1819      249
 4 22 1996 1845      250
 4 22 1996 1856      251
 4 22 1996 1903      252
 4 22 1996 1913      253
 4 22 1996 1940      254
 4 22 1996 2015      255
 4 22 1996 2032      256
 4 22 1996 2040      257
 4 22 1996 2048      258
 4 22 1996 2056      259
 4 22 1996 2105      260
 4 22 1996 2113      261
 4 22 1996 2120      262
 4 22 1996 2125      263
 4 22 1996 2132      264
 4 22 1996 2139      265
 4 22 1996 2148      266
 4 22 1996 2154      267
 4 22 1996 2200      268
 4 22 1996 2207      269
 4 22 1996 2214      270
 4 22 1996 2221      271
 4 22 1996 2229      272
 4 22 1996 2236      273
 4 22 1996 2243      274
 4 22 1996 2249      275
 4 22 1996 2253      276
 4 22 1996 2259      277
 4 22 1996 2303      278
 4 22 1996 2307      279
 4 22 1996 2310      280
 4 22 1996 2313      281
 4 22 1996 2319      282
 4 22 1996 2324      283
 4 22 1996 2330      284
 4 22 1996 2334      285
 4 22 1996 2338      286
 4 22 1996 2344      287
 4 22 1996 2352      288
 4 23 1996    0      289
 4 23 1996   14      290
 4 23 1996   41      291
 4 23 1996  104      292
 4 23 1996  132      293
 4 23 1996  156      294
 4 23 1996  210      295
 4 23 1996  223      296
 4 23 1996  232      297
 4 23 1996  241      298
 4 23 1996  247      299
 4 23 1996  252      300
 4 23 1996  259      301
 4 23 1996  307      302
 4 23 1996  314      303
 4 23 1996  324      304
 4 23 1996  331      305
 4 23 1996  338      306
 4 23 1996  347      307
 4 23 1996  357      308
 4 23 1996  403      309
 4 23 1996  410      310
 4 23 1996  416      311
 4 23 1996  423      312
 4 23 1996  430      313
 4 23 1996  441      314
 4 23 1996  451      315
 4 23 1996  455      316
 4 23 1996  501      317
 4 23 1996  508      318
 4 23 1996  516      319
 4 23 1996  522      320
 4 23 1996  528      321
 4 23 1996  534      322
 4 23 1996  539      323
 4 23 1996  542      324
 4 23 1996  545      325
 4 23 1996  548      326
 4 23 1996  551      327
 4 23 1996  554      328
 4 23 1996  557      329
 4 23 1996  600      330
 4 23 1996  604      331
 4 23 1996  607      332
 4 23 1996  612      333
 4 23 1996  617      334
 4 23 1996  622      335
 4 23 1996  626      336
 4 23 1996  632      337
 4 23 1996  637      338
 4 23 1996  642      339
 4 23 1996  647      340
 4 23 1996  653      341
 4 23 1996  657      342
 4 23 1996  703      343
 4 23 1996  709      344
 4 23 1996  715      345
 4 23 1996  721      346
 4 23 1996  724      347
 4 23 1996  728      348
 4 23 1996  732      349
 4 23 1996  737      350
 4 23 1996  742      351
 4 23 1996  746      352
 4 23 1996  751      353
 4 23 1996  758      354
 4 23 1996  806      355
 4 23 1996  811      356
 4 23 1996  815      357
 4 23 1996  819      358
 4 23 1996  823      359
 4 23 1996  829      360
 4 23 1996  834      361
 4 23 1996  840      362
 4 23 1996  844      363
 4 23 1996  849      364
 4 23 1996  852      365
 4 23 1996  856      366
 4 23 1996  859      367
 4 23 1996  902      368
 4 23 1996  907      369
 4 23 1996  918      370
 4 23 1996  929      371
 4 23 1996  939      372
 4 23 1996  947      373
 4 23 1996  954      374
 4 23 1996 1000      375
 4 23 1996 1004      376
 4 23 1996 1008      377
 4 23 1996 1012      378
 4 23 1996 1016      379
 4 23 1996 1021      380
 4 23 1996 1033      381
 4 23 1996 1041      382
 4 23 1996 1048      383
 4 23 1996 1054      384
 4 23 1996 1059      385
 4 23 1996 1105      386
 4 23 1996 1110      387
 4 23 1996 1114      388
 4 23 1996 1118      389
 4 23 1996 1122      390
 4 23 1996 1125      391
 4 23 1996 1128      392
 4 23 1996 1131      393
 4 23 1996 1134      394
 4 23 1996 1138      395
 4 23 1996 1142      396
 4 23 1996 1146      397
 4 23 1996 1150      398
 4 23 1996 1154      399
 4 23 1996 1159      400
 4 23 1996 1204      401
 4 23 1996 1209      402
 4 23 1996 1213      403
 4 23 1996 1218      404
 4 23 1996 1222      405
 4 23 1996 1226      406
 4 23 1996 1230      407
 4 23 1996 1235      408
 4 23 1996 1239      409
 4 23 1996 1244      410
 4 23 1996 1249      411
 4 23 1996 1255      412
 4 23 1996 1259      413
 4 23 1996 1304      414
 4 23 1996 1309      415
 4 23 1996 1313      416
 4 23 1996 1317      417
 4 23 1996 1321      418
 4 23 1996 1325      419
 4 23 1996 1329      420
 4 23 1996 1332      421
 4 23 1996 1336      422
 4 23 1996 1339      423
 4 23 1996 1343      424
 4 23 1996 1347      425
 4 23 1996 1350      426
 4 23 1996 1354      427
 4 23 1996 1358      428
 4 23 1996 1402      429
 4 23 1996 1406      430
 4 23 1996 1410      431
 4 23 1996 1414      432
 4 23 1996 1418      433
 4 23 1996 1423      434
 4 23 1996 1428      435
 4 23 1996 1434      436
 4 23 1996 1440      437
 4 23 1996 1447      438
 4 23 1996 1455      439
 4 23 1996 1505      440
 4 23 1996 1516      441
 4 23 1996 1530      442
 4 23 1996 1629      443
 4 23 1996 1717      444
 4 23 1996 1749      445
 4 23 1996 2108      446
 4 23 1996 2124      447
 4 23 1996 2143      448
 4 23 1996 2206      449
 4 23 1996 2227      450
 4 23 1996 2235      451
 4 23 1996 2245      452
 4 23 1996 2255      453
 4 23 1996 2306      454
 4 23 1996 2317      455
 4 23 1996 2329      456
 4 23 1996 2341      457
 4 23 1996 2355      458
 4 24 1996    9      459
 4 24 1996   25      460
 4 24 1996   41      461
 4 24 1996   59      462
 4 24 1996  118      463
 4 24 1996  137      464
 4 24 1996  154      465
 4 24 1996  211      466
 4 24 1996  231      467
 4 24 1996  254      468
 4 24 1996  317      469
 4 24 1996  342      470
 4 24 1996  410      471
 4 24 1996  446      472
 4 24 1996  530      473
 4 24 1996  757      474
 4 24 1996  954      475
 4 24 1996 1251      476
 4 24 1996 1307      477
 4 24 1996 1321      478
 4 24 1996 1335      479
 4 24 1996 1357      480
 4 24 1996 1418      481
 4 24 1996 1436      482
 4 24 1996 1454      483
 4 24 1996 1516      484
