"PDE20599.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1999/06/11 at 11:52:02"
"By                   : DARIN"
"Start date           : 05-13-99-14:00"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 5 13 1999 1510        1
 5 13 1999 1514        2
 5 13 1999 1821        3
 5 13 1999 1827        4
 5 13 1999 1837        5
 5 13 1999 1841        6
 5 13 1999 1845        7
 5 13 1999 1849        8
 5 13 1999 1852        9
 5 13 1999 1920       10
 5 13 1999 1942       11
 5 13 1999 1945       12
 5 13 1999 1947       13
 5 13 1999 1949       14
 5 13 1999 1950       15
 5 13 1999 1952       16
 5 13 1999 1954       17
 5 13 1999 1956       18
 5 13 1999 1959       19
 5 13 1999 2001       20
 5 13 1999 2231       21
 5 14 1999  238       22
 5 15 1999 1937       23
 5 16 1999 2146       24
 5 17 1999  117       25
 5 17 1999  245       26
 5 17 1999  418       27
 5 17 1999  425       28
 5 17 1999  431       29
 5 17 1999  437       30
 5 17 1999  443       31
 5 17 1999  452       32
 5 17 1999  458       33
 5 17 1999  502       34
 5 17 1999  505       35
 5 17 1999  507       36
 5 17 1999  510       37
 5 17 1999  513       38
 5 17 1999  517       39
 5 17 1999  522       40
 5 17 1999  536       41
 5 17 1999  544       42
 5 17 1999  552       43
 5 17 1999  559       44
 5 17 1999  608       45
 5 17 1999  616       46
 5 17 1999  624       47
 5 17 1999  630       48
 5 17 1999  635       49
 5 17 1999  641       50
 5 17 1999  649       51
 5 17 1999  700       52
 5 17 1999  709       53
 5 17 1999  721       54
 5 17 1999  845       55
 5 17 1999 1448       56
 5 17 1999 1515       57
 5 17 1999 1554       58
 5 17 1999 1600       59
 5 17 1999 1614       60
 5 17 1999 1641       61
 5 17 1999 1755       62
 5 17 1999 1901       63
 5 17 1999 2000       64
 5 18 1999   29       65
 5 18 1999  246       66
 5 18 1999  608       67
 5 18 1999  815       68
 5 18 1999  818       69
 5 18 1999  823       70
 5 18 1999  826       71
 5 18 1999  829       72
 5 18 1999  834       73
 5 18 1999  838       74
 5 18 1999  843       75
 5 18 1999  847       76
 5 18 1999  850       77
 5 18 1999  906       78
 5 18 1999  922       79
 5 18 1999  946       80
 5 18 1999 1011       81
 6  1 1999  552       82
 6  1 1999 1158       83
 6  1 1999 1200       84
 6  1 1999 1740       85
 6  1 1999 1759       86
 6  2 1999  459       87
 6  5 1999  106       88
 6  5 1999  123       89
 6  5 1999  129       90
 6  5 1999  134       91
 6  5 1999  140       92
 6  5 1999  146       93
 6  5 1999  200       94
 6  5 1999  210       95
 6  5 1999  222       96
 6  5 1999  231       97
 6  5 1999  236       98
 6  5 1999  247       99
 6  5 1999  256      100
 6  5 1999  319      101
 6  5 1999  356      102
 6  5 1999  400      103
 6  5 1999  402      104
 6  5 1999  425      105
 6  5 1999  710      106
 6  5 1999  712      107
 6  5 1999  716      108
 6  5 1999 1404      109
 6  6 1999 1111      110
 6  6 1999 1217      111
 6  6 1999 1224      112
 6  6 1999 1300      113
 6  6 1999 1305      114
 6  6 1999 1310      115
 6  6 1999 1313      116
 6  6 1999 1315      117
 6  6 1999 1319      118
 6  6 1999 1452      119
 6  6 1999 1452      120
 6  6 1999 1453      121
 6  6 1999 1454      122
 6  6 1999 1455      123
 6  6 1999 1455      124
 6  6 1999 1456      125
 6  6 1999 1459      126
 6  6 1999 1519      127
 6  6 1999 1609      128
 6  6 1999 1612      129
 6  6 1999 1615      130
 6  6 1999 1623      131
 6  6 1999 1626      132
 6  6 1999 1857      133
 6  6 1999 1859      134
 6  6 1999 1900      135
 6  6 1999 1903      136
 6  7 1999  333      137
 6  7 1999  559      138
 6  8 1999 1225      139
 6  8 1999 1421      140
 6 10 1999 1023      141
