"pde20693.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/07/14 at 09:27:14"
"By                   : john "
"Start date           : 06-03-93-11:15"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 6  3 1993 1121        1
 6  4 1993  718        2
 6  4 1993  801        3
 6  4 1993  812        4
 6  4 1993  821        5
 6  4 1993  835        6
 6  4 1993  855        7
 6  5 1993  306        8
 6  5 1993  405        9
 6  7 1993 1157       10
 6  9 1993  450       11
 6  9 1993  524       12
 6  9 1993  550       13
 6  9 1993  615       14
 6  9 1993  637       15
 6  9 1993  656       16
 6  9 1993  708       17
 6  9 1993  715       18
 6  9 1993  727       19
 6  9 1993  745       20
 6  9 1993  757       21
 6  9 1993  807       22
 6  9 1993  815       23
 6  9 1993  822       24
 6  9 1993  827       25
 6  9 1993  831       26
 6  9 1993  835       27
 6  9 1993  841       28
 6  9 1993  847       29
 6  9 1993  859       30
 6  9 1993  912       31
 6  9 1993  930       32
 6  9 1993  946       33
 6  9 1993 1005       34
 6  9 1993 1017       35
 6  9 1993 1030       36
 6  9 1993 1039       37
 6  9 1993 1128       38
 6  9 1993 1252       39
 6  9 1993 1304       40
 6  9 1993 1314       41
 6  9 1993 1318       42
 6  9 1993 1324       43
 6  9 1993 1329       44
 6  9 1993 1332       45
 6  9 1993 1334       46
 6  9 1993 1337       47
 6  9 1993 1338       48
 6  9 1993 1340       49
 6  9 1993 1351       50
 6 10 1993  709       51
 6 10 1993  722       52
 6 10 1993 1911       53
 6 10 1993 1913       54
 6 10 1993 1915       55
 6 10 1993 1939       56
 6 11 1993   19       57
 6 11 1993   36       58
 6 11 1993  319       59
 6 11 1993  449       60
 6 11 1993  733       61
 6 11 1993  744       62
 6 11 1993  755       63
 6 11 1993 1813       64
 6 11 1993 1844       65
 6 14 1993 1059       66
 6 14 1993 1626       67
 6 14 1993 1632       68
 6 14 1993 1641       69
 6 14 1993 1656       70
 6 14 1993 1658       71
 6 14 1993 1703       72
 6 14 1993 1709       73
 6 14 1993 1716       74
 6 14 1993 1723       75
 6 14 1993 1729       76
 6 14 1993 1731       77
 6 14 1993 1740       78
 6 14 1993 1745       79
 6 14 1993 2022       80
 6 14 1993 2024       81
 6 14 1993 2025       82
 6 14 1993 2026       83
 6 14 1993 2026       84
 6 14 1993 2027       85
 6 14 1993 2030       86
 6 14 1993 2040       87
 6 14 1993 2054       88
 6 14 1993 2055       89
 6 14 1993 2056       90
 6 14 1993 2057       91
 6 14 1993 2057       92
 6 14 1993 2058       93
 6 14 1993 2059       94
 6 14 1993 2100       95
 6 14 1993 2100       96
 6 14 1993 2101       97
 6 14 1993 2330       98
 6 21 1993 1418       99
 6 21 1993 1436      100
 6 21 1993 1447      101
 6 21 1993 1630      102
 6 21 1993 1636      103
 6 21 1993 1642      104
 6 21 1993 2014      105
 6 21 1993 2234      106
 6 21 1993 2307      107
 6 22 1993  305      108
 6 22 1993  320      109
 6 22 1993  347      110
 6 22 1993  453      111
 6 22 1993  500      112
 6 22 1993  506      113
 6 22 1993  543      114
 6 22 1993  602      115
 6 22 1993  638      116
 6 22 1993 1757      117
 6 22 1993 1814      118
 6 22 1993 1815      119
 6 22 1993 1815      120
 6 22 1993 1816      121
 6 22 1993 1816      122
 6 22 1993 1816      123
 6 22 1993 1817      124
 6 22 1993 1817      125
 6 22 1993 1818      126
 6 22 1993 1818      127
 6 22 1993 1819      128
 6 22 1993 1819      129
 6 22 1993 1820      130
 6 22 1993 1824      131
 6 22 1993 2135      132
 6 27 1993  529      133
 6 27 1993  537      134
 6 27 1993  551      135
 6 27 1993  601      136
 6 27 1993  700      137
 6 27 1993 1814      138
 7  3 1993 1824      139
 7  3 1993 1837      140
 7  3 1993 1851      141
 7  3 1993 1856      142
 7  3 1993 1859      143
 7  3 1993 1901      144
 7  3 1993 1903      145
 7  3 1993 1905      146
 7  3 1993 2211      147
 7  3 1993 2318      148
 7  3 1993 2325      149
 7  3 1993 2329      150
 7  3 1993 2336      151
 7  3 1993 2342      152
 7  3 1993 2356      153
 7  9 1993  933      154
