"pde20696.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/08/09 at 16:08:10"
"By                   : Vicencio   "
"Start date           : 06-05-96-12:10"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lk Lawrence"
"Note : June & July download"

"MT" "DY" "YR" "HHMM" "TOTAL   "

 6  5 1996 1217        1
 6  9 1996 1616        2
 6  9 1996 1618        3
 6 17 1996 1256        4
 6 17 1996 1303        5
 6 17 1996 1306        6
 6 17 1996 1307        7
 6 17 1996 1309        8
 6 17 1996 1311        9
 6 17 1996 1314       10
 6 17 1996 1316       11
 6 17 1996 1320       12
 6 17 1996 1331       13
 6 17 1996 1457       14
 6 17 1996 1458       15
 6 17 1996 1459       16
 6 17 1996 1459       17
 6 17 1996 1501       18
 6 17 1996 1503       19
 6 17 1996 1506       20
 6 17 1996 1509       21
 6 17 1996 1512       22
 6 17 1996 1516       23
 6 17 1996 1519       24
 6 17 1996 1522       25
 6 17 1996 1524       26
 6 17 1996 1533       27
 6 17 1996 1604       28
 6 17 1996 1607       29
 6 17 1996 1611       30
 6 17 1996 1800       31
 6 17 1996 1844       32
 6 17 1996 1847       33
 6 17 1996 1850       34
 6 17 1996 1856       35
 6 17 1996 1923       36
 6 17 1996 2026       37
 6 17 1996 2102       38
 6 17 1996 2105       39
 6 17 1996 2106       40
 6 17 1996 2110       41
 6 17 1996 2110       42
 6 17 1996 2111       43
 6 17 1996 2112       44
 6 17 1996 2113       45
 6 17 1996 2113       46
 6 17 1996 2117       47
 6 17 1996 2309       48
 6 17 1996 2319       49
 6 18 1996   16       50
 6 23 1996  148       51
 6 23 1996  201       52
 6 23 1996  209       53
 6 23 1996  223       54
 6 23 1996  233       55
 6 23 1996  243       56
 6 23 1996  248       57
 6 23 1996  254       58
 6 23 1996  259       59
 6 23 1996  305       60
 6 23 1996  312       61
 6 23 1996  331       62
 6 23 1996  343       63
 6 23 1996  408       64
 6 23 1996  427       65
 6 23 1996  442       66
 6 23 1996  453       67
 6 23 1996  506       68
 6 23 1996  520       69
 6 23 1996  710       70
 6 23 1996  749       71
 6 23 1996  952       72
 6 23 1996 1143       73
 6 23 1996 1153       74
 6 23 1996 1208       75
 6 23 1996 1210       76
 6 23 1996 1211       77
 6 23 1996 1317       78
 6 23 1996 1327       79
 6 23 1996 1522       80
 6 23 1996 1532       81
 6 23 1996 1622       82
 6 23 1996 1642       83
 6 23 1996 1710       84
 6 23 1996 1718       85
 6 23 1996 1720       86
 6 23 1996 1723       87
 6 23 1996 1726       88
 6 23 1996 1734       89
 6 23 1996 1759       90
 6 23 1996 1802       91
 6 23 1996 1805       92
 6 23 1996 1807       93
 6 23 1996 1810       94
 6 23 1996 1812       95
 6 23 1996 1814       96
 6 23 1996 1816       97
 6 23 1996 1819       98
 6 23 1996 1823       99
 6 23 1996 1830      100
 6 23 1996 2241      101
 6 23 1996 2348      102
 6 24 1996    0      103
 6 24 1996   11      104
 6 24 1996   18      105
 6 24 1996   24      106
 6 24 1996   28      107
 6 24 1996   33      108
 6 24 1996   37      109
 6 24 1996   46      110
 6 24 1996   58      111
 6 24 1996  121      112
 6 24 1996  213      113
 6 24 1996  239      114
 6 24 1996  313      115
 6 24 1996  350      116
 6 24 1996  544      117
