"PDE20697.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1997/07/03 at 08:53:45"
"By                   : Gary"
"Start date           : 06-03-97-10:35"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 6  3 1997 1206        1
 6  3 1997 1209        2
 6  3 1997 1259        3
 6  3 1997 1302        4
 6  3 1997 1306        5
 6  3 1997 1534        6
 6  3 1997 1756        7
 6  3 1997 1800        8
 6  3 1997 1801        9
 6  3 1997 1801       10
 6  3 1997 1802       11
 6  3 1997 1802       12
 6  3 1997 1803       13
 6  3 1997 1807       14
 6  3 1997 1813       15
 6  3 1997 1816       16
 6  3 1997 1818       17
 6  3 1997 1821       18
 6  3 1997 1824       19
 6  3 1997 1829       20
 6  3 1997 1832       21
 6  3 1997 1836       22
 6  3 1997 1843       23
 6  3 1997 1851       24
 6  3 1997 1858       25
 6  4 1997 1137       26
 6  4 1997 1141       27
 6  4 1997 1143       28
 6  4 1997 1147       29
 6  4 1997 1151       30
 6  4 1997 1237       31
 6  4 1997 1253       32
 6  4 1997 1437       33
 6  4 1997 1445       34
 6  4 1997 1449       35
 6  4 1997 1456       36
 6  4 1997 1506       37
 6  4 1997 1513       38
 6  4 1997 1547       39
 6  4 1997 1558       40
 6  4 1997 1729       41
 6  4 1997 1743       42
 6  4 1997 1746       43
 6  4 1997 1752       44
 6  4 1997 1755       45
 6  4 1997 1757       46
 6  4 1997 1757       47
 6  4 1997 1758       48
 6  4 1997 1758       49
 6  4 1997 1759       50
 6  4 1997 1800       51
 6  4 1997 1802       52
 6  4 1997 1808       53
 6  4 1997 1827       54
 6  4 1997 1833       55
 6  4 1997 1846       56
 6  5 1997  157       57
 6  5 1997 1110       58
 6 11 1997 1320       59
 6 11 1997 1616       60
 6 11 1997 1621       61
 6 11 1997 1624       62
 6 11 1997 1627       63
 6 11 1997 1631       64
 6 11 1997 1638       65
 6 11 1997 1647       66
 6 11 1997 1652       67
 6 11 1997 1703       68
 6 11 1997 1730       69
 6 11 1997 1810       70
 6 11 1997 1819       71
 6 11 1997 1827       72
 6 11 1997 1832       73
 6 11 1997 1835       74
 6 11 1997 1837       75
 6 11 1997 1839       76
 6 11 1997 1841       77
 6 11 1997 1844       78
 6 11 1997 1848       79
 6 11 1997 1853       80
 6 11 1997 1904       81
 6 16 1997 1811       82
 6 16 1997 1825       83
 6 16 1997 1837       84
 6 16 1997 1945       85
 6 16 1997 1952       86
 6 16 1997 1959       87
 6 16 1997 2044       88
 6 17 1997  639       89
 6 17 1997  731       90
 6 17 1997  747       91
 6 17 1997  750       92
 6 17 1997  755       93
 6 17 1997  814       94
 6 17 1997  840       95
 6 17 1997  851       96
 6 17 1997 1220       97
 6 17 1997 1249       98
 6 17 1997 1315       99
 6 17 1997 1320      100
 6 17 1997 1321      101
 6 17 1997 1322      102
 6 17 1997 1323      103
 6 17 1997 1328      104
 6 17 1997 1421      105
 6 17 1997 1423      106
 6 17 1997 1425      107
 6 17 1997 1435      108
 6 17 1997 1440      109
 6 17 1997 1505      110
 6 17 1997 1505      111
 6 17 1997 1506      112
 6 17 1997 1506      113
 6 17 1997 1507      114
 6 17 1997 1511      115
 6 17 1997 2121      116
 6 18 1997  223      117
 6 18 1997  234      118
 6 18 1997  237      119
 6 18 1997  240      120
 6 18 1997  249      121
 6 18 1997  256      122
 6 18 1997 1210      123
 6 18 1997 1212      124
 6 18 1997 1214      125
 6 18 1997 1216      126
 6 18 1997 1229      127
 6 19 1997 1356      128
 6 19 1997 1433      129
 6 19 1997 1500      130
 6 19 1997 1504      131
 6 19 1997 1520      132
 6 19 1997 1535      133
 6 19 1997 1538      134
 6 19 1997 1617      135
 6 20 1997 2243      136
 6 21 1997  613      137
 6 21 1997  621      138
 6 21 1997  628      139
 6 21 1997  635      140
 6 21 1997  641      141
 6 21 1997  813      142
 6 21 1997  837      143
 6 21 1997  837      144
 6 21 1997  839      145
 6 21 1997  842      146
 6 21 1997  843      147
 6 21 1997  844      148
 6 21 1997  856      149
 6 21 1997  858      150
 6 21 1997 1018      151
 6 21 1997 1022      152
 6 21 1997 1023      153
 6 21 1997 1023      154
 6 21 1997 1024      155
 6 21 1997 1024      156
 6 21 1997 1024      157
 6 21 1997 1024      158
 6 21 1997 1025      159
 6 21 1997 1025      160
 6 21 1997 1026      161
 6 21 1997 1034      162
 6 21 1997 1040      163
 6 21 1997 1125      164
 6 21 1997 1131      165
 6 21 1997 1222      166
 6 21 1997 1230      167
 6 21 1997 1236      168
 6 21 1997 1612      169
 6 21 1997 1625      170
 6 21 1997 1908      171
 6 21 1997 2025      172
 6 22 1997  442      173
 6 22 1997 1641      174
 6 22 1997 1643      175
 6 22 1997 1645      176
 6 22 1997 1649      177
 6 22 1997 1651      178
 6 22 1997 1652      179
 6 22 1997 1652      180
 6 22 1997 1653      181
 6 22 1997 1654      182
 6 22 1997 1655      183
 6 22 1997 1657      184
 6 22 1997 1701      185
 6 22 1997 1704      186
 6 22 1997 1707      187
 6 22 1997 1709      188
 6 22 1997 1713      189
 6 22 1997 1718      190
 6 22 1997 1723      191
 6 22 1997 1736      192
 6 23 1997  956      193
 6 23 1997 1135      194
 6 25 1997 1922      195
 6 26 1997 1157      196
 6 28 1997 1754      197
 6 28 1997 1759      198
 6 28 1997 1806      199
 6 28 1997 1808      200
 6 28 1997 1811      201
 6 28 1997 1820      202
 6 28 1997 1823      203
 6 28 1997 2253      204
 6 28 1997 2255      205
 6 28 1997 2258      206
 6 28 1997 2302      207
 6 28 1997 2303      208
 6 28 1997 2304      209
 6 28 1997 2304      210
 6 28 1997 2305      211
 6 28 1997 2305      212
 6 28 1997 2305      213
 6 28 1997 2306      214
 6 28 1997 2306      215
 6 28 1997 2306      216
 6 28 1997 2307      217
 6 28 1997 2307      218
 6 28 1997 2308      219
 6 28 1997 2309      220
 6 28 1997 2311      221
 6 28 1997 2312      222
 6 28 1997 2314      223
 6 28 1997 2318      224
 6 28 1997 2323      225
 6 28 1997 2328      226
 6 28 1997 2333      227
 6 28 1997 2336      228
 6 28 1997 2339      229
 6 28 1997 2343      230
 6 28 1997 2350      231
 6 28 1997 2355      232
 6 29 1997    2      233
 6 29 1997   14      234
 6 29 1997   38      235
 6 29 1997  103      236
 6 29 1997  208      237
 6 30 1997 1533      238
 6 30 1997 1538      239
 6 30 1997 1539      240
 6 30 1997 1540      241
 6 30 1997 1542      242
 6 30 1997 1543      243
 6 30 1997 1544      244
 6 30 1997 1545      245
 6 30 1997 1546      246
 6 30 1997 1559      247
 6 30 1997 1634      248
 6 30 1997 1638      249
 6 30 1997 1642      250
 6 30 1997 1724      251
 7  1 1997  833      252
