"PDE20698.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1998/07/08 at 09:08:29"
"By                   : Gary"
"Start date           : 06-05-98-13:55"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE AT THE BOAT LAUNCH"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 6  7 1998 1810        1
 6  7 1998 1811        2
 6  7 1998 1811        3
 6  7 1998 1811        4
 6  7 1998 1812        5
 6  7 1998 1812        6
 6  7 1998 1812        7
 6  7 1998 1813        8
 6  7 1998 1813        9
 6  7 1998 1813       10
 6  7 1998 1814       11
 6  7 1998 1814       12
 6  7 1998 1814       13
 6  7 1998 1815       14
 6  7 1998 1815       15
 6  7 1998 1815       16
 6  7 1998 1816       17
 6  7 1998 1816       18
 6  7 1998 1817       19
 6  7 1998 1817       20
 6  7 1998 1818       21
 6  7 1998 1819       22
 6  7 1998 1819       23
 6  7 1998 1820       24
 6  7 1998 1820       25
 6  7 1998 1821       26
 6  7 1998 1822       27
 6  7 1998 1823       28
 6  7 1998 1823       29
 6  7 1998 1824       30
 6  7 1998 1825       31
 6  7 1998 1826       32
 6  7 1998 1827       33
 6  7 1998 1828       34
 6  7 1998 1830       35
 6  7 1998 1831       36
 6  7 1998 2115       37
 6  9 1998 2144       38
 6  9 1998 2159       39
 6  9 1998 2218       40
 6  9 1998 2242       41
 6  9 1998 2316       42
 6  9 1998 2347       43
 6 10 1998    4       44
 6 10 1998    8       45
 6 10 1998   12       46
 6 10 1998   15       47
 6 10 1998   19       48
 6 10 1998   24       49
 6 10 1998   31       50
 6 10 1998   39       51
 6 10 1998   48       52
 6 10 1998   56       53
 6 10 1998  107       54
 6 10 1998  111       55
 6 10 1998  112       56
 6 10 1998  112       57
 6 10 1998  113       58
 6 10 1998  113       59
 6 10 1998  114       60
 6 10 1998  114       61
 6 10 1998  115       62
 6 10 1998  116       63
 6 10 1998  116       64
 6 10 1998  117       65
 6 10 1998  118       66
 6 10 1998  121       67
 6 10 1998  131       68
 6 10 1998  138       69
 6 10 1998  146       70
 6 10 1998  155       71
 6 10 1998  203       72
 6 10 1998  212       73
 6 10 1998  220       74
 6 10 1998  229       75
 6 10 1998  241       76
 6 10 1998  251       77
 6 10 1998  303       78
 6 10 1998  315       79
 6 10 1998  330       80
 6 10 1998  343       81
 6 10 1998  407       82
 6 10 1998  426       83
 6 10 1998  451       84
 6 10 1998  523       85
 6 10 1998  600       86
 6 10 1998  900       87
 6 10 1998 1047       88
 6 10 1998 1208       89
 6 10 1998 1232       90
 6 10 1998 1250       91
 6 10 1998 1308       92
 6 10 1998 1326       93
 6 10 1998 1346       94
 6 10 1998 1421       95
 6 14 1998 2107       96
 6 15 1998  235       97
 6 15 1998  925       98
 6 18 1998 2247       99
 6 24 1998  448      100
 6 24 1998  458      101
 6 24 1998  509      102
 6 24 1998  516      103
 6 24 1998  520      104
 6 24 1998  523      105
 6 24 1998  526      106
 6 24 1998  528      107
 6 24 1998  534      108
 6 24 1998  632      109
 6 24 1998  700      110
 6 24 1998  709      111
 6 24 1998  722      112
 6 24 1998  758      113
 6 24 1998 1809      114
 6 25 1998 1221      115
 6 25 1998 1237      116
 6 25 1998 1302      117
 6 25 1998 1307      118
 6 25 1998 1309      119
 6 25 1998 1312      120
 6 25 1998 1314      121
 6 25 1998 1316      122
 6 25 1998 1319      123
 6 25 1998 1322      124
 6 25 1998 1325      125
 6 25 1998 1328      126
 6 25 1998 1331      127
 6 25 1998 1335      128
 6 25 1998 1338      129
 6 25 1998 1341      130
 6 25 1998 1344      131
 6 25 1998 1347      132
 6 25 1998 1349      133
 6 25 1998 1352      134
 6 25 1998 1355      135
 6 25 1998 1358      136
 6 25 1998 1401      137
 6 25 1998 1404      138
 6 25 1998 1407      139
 6 25 1998 1409      140
 6 25 1998 1412      141
 6 25 1998 1414      142
 6 25 1998 1417      143
 6 25 1998 1419      144
 6 25 1998 1422      145
 6 25 1998 1424      146
 6 25 1998 1426      147
 6 25 1998 1429      148
 6 25 1998 1431      149
 6 25 1998 1433      150
 6 25 1998 1436      151
 6 25 1998 1438      152
 6 25 1998 1440      153
 6 25 1998 1443      154
 6 25 1998 1445      155
 6 25 1998 1448      156
 6 25 1998 1450      157
 6 25 1998 1454      158
 6 25 1998 1457      159
 6 25 1998 1501      160
 6 25 1998 1509      161
 6 25 1998 1644      162
 6 25 1998 1712      163
 6 25 1998 1732      164
 6 25 1998 1738      165
 6 25 1998 1743      166
 6 25 1998 1748      167
 6 25 1998 1753      168
 6 25 1998 1758      169
 6 25 1998 1833      170
 6 25 1998 1856      171
 6 25 1998 1934      172
 6 25 1998 2130      173
 6 25 1998 2233      174
 6 25 1998 2236      175
 6 25 1998 2300      176
 6 25 1998 2327      177
 6 25 1998 2330      178
 6 25 1998 2340      179
 6 25 1998 2352      180
 6 26 1998    4      181
 6 26 1998 2342      182
 6 26 1998 2342      183
 7  2 1998 1619      184
 7  2 1998 1626      185
 7  3 1998 2244      186
 7  3 1998 2253      187
 7  3 1998 2319      188
 7  3 1998 2342      189
 7  3 1998 2357      190
 7  4 1998    5      191
 7  4 1998   11      192
 7  4 1998   18      193
 7  4 1998   29      194
 7  4 1998   44      195
 7  4 1998  129      196
 7  4 1998  532      197
 7  4 1998 1425      198
 7  5 1998 1748      199
