"pde20793.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/08/11 at 15:54:05"
"By                   : John "
"Start date           : 07-09-93-09:32"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 7 11 1993 1712        1
 7 11 1993 1929        2
 7 13 1993 1039        3
 7 13 1993 1052        4
 7 13 1993 1529        5
 7 13 1993 1530        6
 7 13 1993 1532        7
 7 13 1993 1540        8
 7 13 1993 1542        9
 7 13 1993 1549       10
 7 13 1993 1553       11
 7 13 1993 1556       12
 7 13 1993 1603       13
 7 13 1993 1613       14
 7 13 1993 1700       15
 7 13 1993 1703       16
 7 13 1993 1705       17
 7 13 1993 1706       18
 7 13 1993 1706       19
 7 13 1993 1707       20
 7 13 1993 1707       21
 7 13 1993 1708       22
 7 13 1993 1709       23
 7 13 1993 1829       24
 7 15 1993 1806       25
 7 16 1993  222       26
 7 16 1993  444       27
 7 16 1993  510       28
 7 16 1993  524       29
 7 16 1993  535       30
 7 16 1993  545       31
 7 16 1993  620       32
 7 16 1993  632       33
 7 16 1993  639       34
 7 16 1993  643       35
 7 16 1993  647       36
 7 16 1993  650       37
 7 16 1993  653       38
 7 16 1993  655       39
 7 16 1993  657       40
 7 16 1993  701       41
 7 16 1993  704       42
 7 16 1993  708       43
 7 16 1993  734       44
 7 16 1993  748       45
 7 16 1993  758       46
 7 16 1993  807       47
 7 16 1993  811       48
 7 16 1993  815       49
 7 16 1993  819       50
 7 16 1993  822       51
 7 16 1993  825       52
 7 16 1993  829       53
 7 16 1993  838       54
 7 16 1993  850       55
 7 16 1993  856       56
 7 16 1993  908       57
 7 16 1993  920       58
 7 16 1993  926       59
 7 16 1993  932       60
 7 16 1993  936       61
 7 16 1993  940       62
 7 16 1993  947       63
 7 16 1993  957       64
 7 16 1993 1005       65
 7 16 1993 1041       66
 7 16 1993 1129       67
 7 16 1993 1350       68
 7 16 1993 1356       69
