"PDE20895.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/09/27 at 14:26:40"
"By                   : DON"
"Start date           : 08-17-95-12:12"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LKLWNC"
"Note :fUNNEL MISSING LOST DATA NEAR END OF MONTH "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 8 17 1995 1414        1
 8 17 1995 1416        2
 8 17 1995 1417        3
 8 17 1995 1417        4
 8 17 1995 1418        5
 8 17 1995 1419        6
 8 17 1995 1419        7
 8 17 1995 1420        8
 8 17 1995 1423        9
 8 17 1995 1428       10
 8 17 1995 1733       11
 8 17 1995 1751       12
 8 29 1995  304       13
 8 29 1995 2044       14
 9  4 1995  122       15
 9  4 1995  126       16
 9  4 1995  127       17
 9  4 1995  133       18
 9  4 1995  134       19
 9  4 1995  138       20
 9  4 1995  150       21
 9  4 1995  151       22
 9  4 1995  152       23
 9  4 1995  156       24
 9  4 1995  200       25
 9  4 1995  201       26
 9  4 1995  203       27
 9  4 1995  207       28
 9  4 1995  233       29
 9  4 1995  708       30
 9  4 1995 1901       31
 9  4 1995 1902       32
 9  4 1995 1903       33
 9  4 1995 1904       34
 9  4 1995 1905       35
 9  4 1995 1908       36
 9  4 1995 2031       37
 9  5 1995  315       38
 9  5 1995  350       39
 9  5 1995 1501       40
 9  5 1995 1502       41
 9  5 1995 1503       42
 9  5 1995 1503       43
 9  5 1995 1504       44
 9  5 1995 1505       45
 9  5 1995 1505       46
 9  5 1995 1505       47
 9  5 1995 1505       48
 9  5 1995 1506       49
 9  5 1995 1506       50
 9  5 1995 1506       51
 9  5 1995 1506       52
 9  5 1995 1506       53
 9  5 1995 1507       54
 9  5 1995 1507       55
 9  5 1995 1508       56
 9  5 1995 1509       57
 9  5 1995 1510       58
 9  5 1995 1513       59
 9  5 1995 1552       60
 9  5 1995 1612       61
 9  6 1995 1235       62
 9  6 1995 1306       63
 9  6 1995 1317       64
 9  6 1995 1322       65
 9  6 1995 1333       66
 9  6 1995 1407       67
 9  6 1995 1429       68
 9  6 1995 1721       69
 9  6 1995 1727       70
 9  6 1995 1730       71
 9  6 1995 1731       72
 9  6 1995 1733       73
 9  6 1995 1740       74
 9  6 1995 1748       75
 9  6 1995 1752       76
 9  6 1995 1755       77
 9  6 1995 1757       78
 9  6 1995 1800       79
 9  6 1995 1802       80
 9  6 1995 1804       81
 9  6 1995 1806       82
 9  6 1995 1811       83
 9  6 1995 1818       84
 9  6 1995 1848       85
 9  7 1995  506       86
 9  7 1995  750       87
