"pde20896.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/10/07 at 09:20:26"
"By                   : Cramer"
"Start date           : 08-07-96-15:57"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : Tipping bucket sabotaged with pop can"

"MT" "DY" "YR" "HHMM" "TOTAL   "

 8 13 1996 1940        1
 8 13 1996 1940        2
 8 20 1996   14        3
 8 20 1996   27        4
 8 20 1996   34        5
 8 20 1996  227        6
 8 30 1996  653        7
 8 30 1996  656        8
 8 30 1996  657        9
 9  3 1996 1006       10
 9  3 1996 1008       11
 9  3 1996 1009       12
 9  3 1996 1010       13
 9  3 1996 1012       14
 9  3 1996 1013       15
 9  3 1996 1015       16
 9  3 1996 1016       17
 9  3 1996 1019       18
 9  3 1996 1020       19
 9  3 1996 1021       20
 9  3 1996 1022       21
 9  3 1996 1024       22
 9  3 1996 1025       23
 9  3 1996 1027       24
 9  3 1996 1029       25
 9  3 1996 1033       26
 9  3 1996 1041       27
 9  5 1996  333       28
 9  5 1996  419       29
 9  5 1996  814       30
 9  5 1996  819       31
 9  5 1996  827       32
 9  5 1996  837       33
 9  6 1996 1901       34
 9  7 1996 1605       35
 9  8 1996  953       36
