"PDE20995.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/11/13 at 16:28:55"
"By                   : DON"
"Start date           : 09-25-95-15:15"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LKLRNCE"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 9 25 1995 1750        1
 9 26 1995 1455        2
 9 26 1995 1526        3
 9 26 1995 1744        4
 9 26 1995 1935        5
 9 26 1995 2027        6
 9 26 1995 2036        7
 9 26 1995 2048        8
 9 26 1995 2113        9
 9 26 1995 2149       10
 9 26 1995 2219       11
 9 26 1995 2311       12
 9 27 1995  205       13
 9 27 1995  228       14
 9 27 1995  402       15
 9 27 1995  407       16
 9 27 1995  413       17
 9 27 1995  423       18
 9 27 1995  453       19
 9 27 1995  457       20
 9 27 1995  500       21
 9 27 1995  503       22
 9 27 1995  523       23
 9 27 1995  529       24
 9 27 1995  535       25
 9 27 1995  541       26
 9 27 1995  546       27
 9 27 1995  549       28
 9 27 1995  551       29
 9 27 1995  553       30
 9 27 1995  556       31
 9 27 1995  558       32
 9 27 1995  606       33
 9 27 1995  612       34
 9 27 1995  614       35
 9 27 1995  616       36
 9 27 1995  619       37
 9 27 1995  622       38
 9 27 1995  626       39
 9 27 1995  628       40
 9 27 1995  630       41
 9 27 1995  633       42
 9 27 1995  635       43
 9 27 1995  637       44
 9 27 1995  638       45
 9 27 1995  640       46
 9 27 1995  642       47
 9 27 1995  644       48
 9 27 1995  647       49
 9 27 1995  650       50
 9 27 1995  654       51
 9 27 1995  656       52
 9 27 1995  657       53
 9 27 1995  659       54
 9 27 1995  701       55
 9 27 1995  703       56
 9 27 1995  704       57
 9 27 1995  704       58
 9 27 1995  705       59
 9 27 1995  707       60
 9 27 1995  710       61
 9 27 1995  711       62
 9 27 1995  712       63
 9 27 1995  714       64
 9 27 1995  716       65
 9 27 1995  717       66
 9 27 1995  719       67
 9 27 1995  720       68
 9 27 1995  722       69
 9 27 1995  725       70
 9 27 1995  733       71
 9 27 1995  744       72
 9 27 1995  754       73
 9 27 1995  757       74
 9 27 1995  802       75
 9 27 1995  808       76
 9 27 1995  810       77
 9 27 1995  824       78
 9 27 1995  910       79
 9 27 1995 2350       80
 9 28 1995  214       81
 9 28 1995  612       82
 9 28 1995 1309       83
 9 28 1995 1323       84
 9 29 1995 1950       85
 9 29 1995 2019       86
 9 29 1995 2102       87
 9 30 1995   16       88
 9 30 1995   22       89
 9 30 1995  154       90
 9 30 1995  221       91
 9 30 1995  229       92
 9 30 1995  234       93
 9 30 1995  238       94
 9 30 1995  243       95
 9 30 1995  248       96
 9 30 1995  251       97
 9 30 1995  256       98
 9 30 1995  301       99
 9 30 1995  304      100
 9 30 1995  310      101
 9 30 1995  315      102
 9 30 1995  331      103
 9 30 1995  850      104
 9 30 1995  901      105
 9 30 1995  903      106
 9 30 1995  906      107
 9 30 1995  908      108
 9 30 1995  912      109
10  2 1995   32      110
10  2 1995   38      111
10  2 1995  216      112
10  2 1995  415      113
10  2 1995  541      114
10  2 1995 1026      115
10  2 1995 1037      116
10  2 1995 2227      117
10  2 1995 2316      118
10  2 1995 2333      119
10  2 1995 2354      120
10  3 1995    8      121
10  3 1995   20      122
10  3 1995   26      123
10  3 1995   29      124
10  3 1995   31      125
10  3 1995   33      126
10  3 1995   41      127
10  3 1995   49      128
10  3 1995  417      129
10  3 1995  420      130
10  3 1995  438      131
10  3 1995  456      132
10  3 1995  503      133
10  3 1995  512      134
10  3 1995  522      135
10  3 1995  549      136
10  3 1995  559      137
10  8 1995  508      138
10  8 1995 1227      139
10  8 1995 1301      140
10  9 1995  400      141
10  9 1995  406      142
10  9 1995  412      143
10  9 1995  537      144
10  9 1995 1648      145
10  9 1995 1712      146
10  9 1995 2357      147
10 10 1995  314      148
10 10 1995  339      149
10 10 1995  415      150
10 10 1995  440      151
10 10 1995  447      152
10 10 1995  455      153
10 10 1995  504      154
10 10 1995  513      155
10 10 1995  524      156
10 10 1995  529      157
10 10 1995  533      158
10 10 1995  537      159
10 10 1995  544      160
10 10 1995  548      161
10 10 1995  553      162
10 10 1995  557      163
10 10 1995  603      164
10 10 1995  611      165
10 10 1995  620      166
10 10 1995  631      167
10 10 1995  641      168
10 10 1995  713      169
10 10 1995  721      170
10 10 1995  726      171
10 10 1995  732      172
10 10 1995  738      173
10 10 1995  745      174
10 10 1995  752      175
10 10 1995  756      176
10 10 1995  759      177
10 10 1995  802      178
10 10 1995  805      179
10 10 1995  808      180
10 10 1995  810      181
10 10 1995  813      182
10 10 1995  816      183
10 10 1995  818      184
10 10 1995  823      185
10 10 1995  827      186
10 10 1995  831      187
10 10 1995  835      188
10 10 1995  839      189
10 10 1995  843      190
10 10 1995  847      191
10 10 1995  850      192
10 10 1995  854      193
10 10 1995  856      194
10 10 1995  900      195
10 10 1995  904      196
10 10 1995  906      197
10 10 1995  908      198
10 10 1995  911      199
10 10 1995  915      200
10 10 1995  918      201
10 10 1995  920      202
10 10 1995  922      203
10 10 1995  924      204
10 10 1995  927      205
10 10 1995  929      206
10 10 1995  935      207
10 10 1995  940      208
10 10 1995  945      209
10 10 1995  949      210
10 10 1995  950      211
10 10 1995  952      212
10 10 1995  955      213
10 10 1995 1002      214
10 10 1995 1008      215
10 10 1995 1013      216
10 10 1995 1019      217
10 10 1995 1021      218
10 10 1995 1022      219
10 10 1995 1025      220
10 10 1995 1030      221
10 10 1995 1035      222
10 10 1995 1039      223
10 10 1995 1043      224
10 10 1995 1048      225
10 10 1995 1054      226
10 10 1995 1101      227
10 10 1995 1104      228
10 10 1995 1109      229
10 10 1995 1117      230
10 10 1995 1123      231
10 10 1995 1129      232
10 10 1995 1135      233
10 10 1995 1138      234
10 10 1995 1144      235
10 10 1995 1149      236
10 10 1995 1152      237
10 10 1995 1156      238
10 10 1995 1201      239
10 10 1995 1205      240
10 10 1995 1210      241
10 10 1995 1216      242
10 10 1995 1221      243
10 10 1995 1226      244
10 10 1995 1231      245
10 10 1995 1236      246
10 10 1995 1240      247
10 10 1995 1245      248
10 10 1995 1249      249
10 10 1995 1252      250
10 10 1995 1256      251
10 10 1995 1300      252
10 10 1995 1307      253
10 10 1995 1312      254
10 10 1995 1318      255
10 10 1995 1324      256
10 10 1995 1544      257
10 10 1995 1616      258
10 10 1995 1639      259
10 10 1995 1657      260
10 10 1995 1845      261
10 10 1995 1910      262
10 10 1995 1921      263
10 10 1995 1932      264
10 10 1995 1939      265
10 10 1995 1946      266
10 10 1995 1955      267
10 10 1995 2005      268
10 10 1995 2021      269
10 10 1995 2026      270
10 10 1995 2034      271
10 10 1995 2040      272
10 10 1995 2046      273
10 10 1995 2050      274
10 10 1995 2056      275
10 10 1995 2100      276
10 10 1995 2105      277
10 10 1995 2112      278
10 10 1995 2122      279
10 10 1995 2133      280
10 10 1995 2138      281
10 10 1995 2142      282
10 10 1995 2145      283
10 10 1995 2150      284
10 10 1995 2154      285
10 10 1995 2201      286
10 10 1995 2207      287
10 10 1995 2215      288
10 10 1995 2222      289
10 10 1995 2230      290
10 10 1995 2239      291
10 10 1995 2245      292
10 10 1995 2250      293
10 10 1995 2255      294
10 10 1995 2300      295
10 10 1995 2304      296
10 10 1995 2308      297
10 10 1995 2311      298
10 10 1995 2316      299
10 10 1995 2320      300
10 10 1995 2324      301
10 10 1995 2327      302
10 10 1995 2332      303
10 10 1995 2335      304
10 10 1995 2338      305
10 10 1995 2341      306
10 10 1995 2345      307
10 10 1995 2348      308
10 10 1995 2351      309
10 10 1995 2354      310
10 10 1995 2359      311
10 11 1995    4      312
10 11 1995   11      313
10 11 1995   15      314
10 11 1995   21      315
