"pde20996.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/11/06 at 11:51:31"
"By                   : Michael"
"Start date           : 09-13-96-12:30"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawerence Public Access"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 9 13 1996 1526        1
 9 13 1996 1552        2
 9 13 1996 1619        3
 9 13 1996 2155        4
 9 14 1996    0        5
 9 14 1996  233        6
 9 14 1996  239        7
 9 14 1996  523        8
 9 14 1996  532        9
 9 14 1996  544       10
 9 14 1996  605       11
 9 14 1996  612       12
 9 14 1996  637       13
 9 14 1996  641       14
 9 14 1996  644       15
 9 14 1996  646       16
 9 14 1996  653       17
 9 14 1996  657       18
 9 14 1996  700       19
 9 14 1996  703       20
 9 14 1996  707       21
 9 14 1996  716       22
 9 14 1996 1002       23
 9 14 1996 1009       24
 9 14 1996 1044       25
 9 14 1996 1446       26
 9 14 1996 1538       27
 9 14 1996 1854       28
 9 14 1996 1924       29
 9 14 1996 1942       30
 9 14 1996 2157       31
 9 14 1996 2211       32
 9 14 1996 2219       33
 9 14 1996 2223       34
 9 14 1996 2235       35
 9 14 1996 2254       36
 9 14 1996 2301       37
 9 14 1996 2306       38
 9 14 1996 2311       39
 9 14 1996 2315       40
 9 14 1996 2320       41
 9 14 1996 2324       42
 9 14 1996 2327       43
 9 14 1996 2331       44
 9 14 1996 2335       45
 9 14 1996 2341       46
 9 14 1996 2344       47
 9 14 1996 2346       48
 9 14 1996 2350       49
 9 14 1996 2354       50
 9 15 1996    8       51
 9 15 1996   20       52
 9 15 1996   31       53
 9 15 1996   48       54
 9 15 1996  103       55
 9 15 1996  108       56
 9 15 1996  113       57
 9 15 1996  116       58
 9 15 1996  118       59
 9 15 1996  119       60
 9 15 1996  121       61
 9 15 1996  123       62
 9 15 1996  127       63
 9 15 1996  130       64
 9 15 1996  132       65
 9 15 1996  134       66
 9 15 1996  137       67
 9 15 1996  139       68
 9 15 1996  141       69
 9 15 1996  143       70
 9 15 1996  146       71
 9 15 1996  150       72
 9 15 1996  154       73
 9 15 1996  158       74
 9 15 1996  201       75
 9 15 1996  204       76
 9 15 1996  206       77
 9 15 1996  207       78
 9 15 1996  209       79
 9 15 1996  212       80
 9 15 1996  215       81
 9 15 1996  219       82
 9 15 1996  224       83
 9 15 1996  227       84
 9 15 1996  232       85
 9 15 1996  237       86
 9 15 1996  246       87
 9 15 1996  300       88
 9 15 1996  307       89
 9 15 1996  321       90
 9 15 1996  351       91
 9 15 1996  719       92
 9 15 1996 1012       93
 9 15 1996 1016       94
 9 15 1996 1108       95
 9 15 1996 1434       96
 9 15 1996 1440       97
 9 15 1996 1442       98
 9 15 1996 1442       99
 9 15 1996 1443      100
 9 15 1996 1443      101
 9 15 1996 1443      102
 9 15 1996 1443      103
 9 15 1996 1443      104
 9 15 1996 1444      105
 9 15 1996 1444      106
 9 15 1996 1444      107
 9 15 1996 1444      108
 9 15 1996 1445      109
 9 15 1996 1445      110
 9 15 1996 1446      111
 9 15 1996 1446      112
 9 15 1996 1447      113
 9 15 1996 1459      114
 9 15 1996 1755      115
 9 15 1996 2009      116
 9 15 1996 2031      117
 9 16 1996  103      118
 9 16 1996  946      119
 9 16 1996  947      120
 9 16 1996  950      121
 9 16 1996  952      122
 9 16 1996  959      123
 9 16 1996 1948      124
 9 16 1996 2152      125
 9 18 1996 1559      126
 9 18 1996 1622      127
 9 18 1996 1634      128
 9 18 1996 1721      129
 9 18 1996 1927      130
 9 18 1996 1939      131
 9 18 1996 1947      132
 9 18 1996 2012      133
 9 18 1996 2025      134
 9 18 1996 2041      135
 9 18 1996 2102      136
 9 18 1996 2120      137
 9 18 1996 2132      138
 9 18 1996 2141      139
 9 18 1996 2150      140
 9 18 1996 2355      141
 9 20 1996 1514      142
 9 20 1996 1525      143
 9 20 1996 1529      144
 9 20 1996 1531      145
 9 20 1996 1532      146
 9 20 1996 1532      147
 9 20 1996 1533      148
 9 20 1996 1534      149
 9 20 1996 1536      150
 9 20 1996 1540      151
 9 20 1996 1545      152
 9 20 1996 1557      153
 9 20 1996 1632      154
 9 20 1996 1733      155
 9 21 1996   37      156
 9 21 1996 1415      157
 9 28 1996 1649      158
 9 28 1996 1649      159
10  2 1996 2243      160
10  3 1996  236      161
10  3 1996  422      162
10  4 1996  940      163
10  4 1996  952      164
10  4 1996 1001      165
10  4 1996 1049      166
10  4 1996 1236      167
10  4 1996 1240      168
10  4 1996 1247      169
10  4 1996 1253      170
10  4 1996 1257      171
10  4 1996 1301      172
10  4 1996 1303      173
10  4 1996 1305      174
10  4 1996 1307      175
10  4 1996 1310      176
10  4 1996 1314      177
10  4 1996 1318      178
10  4 1996 1322      179
10  4 1996 1326      180
10  4 1996 1329      181
10  4 1996 1333      182
10  4 1996 1337      183
10  4 1996 1343      184
10  4 1996 1346      185
10  4 1996 1347      186
10  4 1996 1349      187
10  4 1996 1351      188
10  4 1996 1400      189
10  4 1996 1409      190
10  4 1996 1417      191
10  4 1996 1443      192
10  4 1996 1453      193
10  4 1996 1501      194
10  4 1996 1512      195
10  4 1996 1523      196
10  4 1996 1536      197
10  4 1996 1548      198
10  4 1996 1558      199
10  4 1996 1609      200
10  4 1996 1618      201
10  4 1996 1628      202
10  4 1996 1636      203
10  4 1996 1643      204
10  4 1996 1650      205
10  4 1996 1656      206
10  4 1996 1704      207
10  4 1996 1738      208
10  4 1996 1823      209
10  4 1996 1824      210
10  4 1996 1826      211
10  4 1996 1828      212
10  4 1996 1829      213
10  4 1996 1830      214
10  4 1996 1831      215
10  4 1996 1831      216
10  4 1996 1832      217
10  4 1996 1832      218
10  4 1996 1833      219
10  4 1996 1834      220
10  4 1996 1835      221
10  4 1996 1835      222
10  4 1996 1836      223
10  4 1996 1837      224
10  4 1996 1837      225
10  4 1996 1838      226
10  4 1996 1839      227
10  4 1996 1840      228
10  4 1996 1840      229
10  4 1996 1841      230
10  4 1996 1841      231
10  4 1996 1841      232
10  4 1996 1842      233
10  4 1996 1842      234
10  4 1996 1842      235
10  4 1996 1843      236
10  4 1996 1844      237
10  4 1996 1844      238
10  4 1996 1845      239
10  4 1996 1845      240
10  4 1996 1846      241
10  4 1996 1846      242
10  4 1996 1847      243
10  4 1996 1848      244
10  4 1996 1850      245
10  4 1996 1851      246
10  4 1996 1858      247
10  4 1996 1908      248
10  4 1996 1942      249
10  5 1996  158      250
10  6 1996  446      251
