"PDE20997.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1997/10/10 at 11:16:11"
"By                   : Gary"
"Start date           : 09-03-97-09:05"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE PUBLIC ACCESS"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 9 10 1997  925        1
 9 10 1997  936        2
 9 10 1997 1713        3
 9 10 1997 2109        4
 9 10 1997 2113        5
 9 10 1997 2217        6
10 26 1997 1025        7
12 10 1997 2139        8
12 11 1997  245        9
12 11 1997 1545       10
12 11 1997 1903       11
 1 26 1997  710       12
 1 26 1997 1025       13
 3 12 1997 2211       14
 3 13 1997   28       15
 3 13 1997   35       16
 3 13 1997   41       17
 3 13 1997   41       18
 3 13 1997   49       19
 3 13 1997   53       20
 3 13 1997  153       21
 3 13 1997  611       22
 3 13 1997  617       23
 3 13 1997  621       24
 4 27 1997 1829       25
 4 27 1997 2226       26
 4 28 1997  230       27
 4 28 1997  233       28
 4 28 1997 2238       29
 4 29 1997  809       30
 4 29 1997 1045       31
 4 29 1997 1101       32
 4 29 1997 1839       33
 4 29 1997 2050       34
 4 29 1997 2114       35
 4 29 1997 2227       36
 6 14 1997 1042       37
 6 14 1997 1053       38
 6 14 1997 1113       39
 6 14 1997 1129       40
 6 14 1997 1545       41
 6 14 1997 1551       42
 7 30 1997  401       43
 7 30 1997  409       44
 9 13 1997 1617       45
 9 13 1997 1621       46
 9 13 1997 1621       47
 9 13 1997 1739       48
 9 13 1997 2017       49
 9 13 1997 2122       50
 9 13 1997 2318       51
 9 13 1997 2321       52
10 29 1997 1131       53
12 13 1997 2346       54
12 14 1997    1       55
12 14 1997    7       56
12 14 1997  348       57
12 14 1997  355       58
12 14 1997  417       59
12 14 1997  750       60
 1 28 1997 2002       61
 1 28 1997 2021       62
 1 28 1997 2025       63
 1 28 1997 2045       64
 1 28 1997 2055       65
 3 15 1997  820       66
 3 15 1997 1033       67
 4 29 1997 2241       68
 4 29 1997 2309       69
 4 29 1997 2313       70
 4 30 1997  437       71
 4 30 1997  450       72
 4 30 1997  650       73
 4 30 1997 1917       74
 4 30 1997 2314       75
 5  3 1997 1737       76
 5  4 1997   47       77
 5  4 1997  435       78
 5  4 1997  441       79
 5  4 1997  517       80
 5  4 1997 1709       81
 5  4 1997 1743       82
 5  5 1997  716       83
 5  5 1997  757       84
 6 19 1997 2006       85
 6 19 1997 2011       86
 6 19 1997 2033       87
 6 19 1997 2037       88
 8  4 1997  849       89
 8  4 1997  907       90
 8  4 1997 1707       91
 8  4 1997 1714       92
 8  4 1997 1715       93
 8  5 1997  109       94
 8  5 1997  516       95
 8  5 1997  518       96
 8  5 1997  911       97
 8  5 1997  918       98
 8  5 1997  938       99
 8  6 1997 1020      100
 8  6 1997 1023      101
 8  6 1997 1028      102
 8  6 1997 1031      103
 8  6 1997 1033      104
 8  6 1997 1033      105
