"pde21093.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/11/19 at 08:12:04"
"By                   : John "
"Start date           : 10-07-93-11:24"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawerence"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

10  9 1993  949        1
10 12 1993  819        2
10 12 1993 1053        3
10 12 1993 1108        4
10 12 1993 1111        5
10 12 1993 1115        6
10 12 1993 1120        7
10 12 1993 1129        8
10 12 1993 1254        9
10 13 1993 1333       10
10 13 1993 1338       11
10 13 1993 1342       12
10 13 1993 1346       13
10 13 1993 1351       14
10 13 1993 1417       15
10 13 1993 1513       16
10 13 1993 1521       17
10 13 1993 1622       18
10 13 1993 1626       19
10 13 1993 1629       20
10 13 1993 1633       21
10 13 1993 1658       22
10 14 1993  329       23
10 15 1993  347       24
10 15 1993  401       25
10 15 1993  409       26
10 15 1993  415       27
10 15 1993  426       28
10 15 1993  442       29
10 15 1993  502       30
10 15 1993  511       31
10 15 1993  516       32
10 15 1993  528       33
10 15 1993  535       34
10 15 1993  547       35
10 15 1993  552       36
10 15 1993  552       37
10 15 1993  553       38
10 15 1993  553       39
10 15 1993  554       40
10 15 1993  555       41
10 15 1993  556       42
10 15 1993  557       43
10 15 1993  559       44
10 15 1993  600       45
10 15 1993  601       46
10 15 1993  602       47
10 15 1993  604       48
10 15 1993  606       49
10 15 1993  608       50
10 15 1993  609       51
10 15 1993  611       52
10 15 1993  613       53
10 15 1993  617       54
10 15 1993  620       55
10 15 1993  623       56
10 15 1993  628       57
10 15 1993  633       58
10 15 1993  638       59
10 15 1993  644       60
10 15 1993  649       61
10 15 1993  655       62
10 15 1993  707       63
10 15 1993  721       64
10 15 1993  735       65
10 15 1993  840       66
10 15 1993 1033       67
10 15 1993 1100       68
10 15 1993 1120       69
10 15 1993 1459       70
10 15 1993 1506       71
10 15 1993 1511       72
10 15 1993 1516       73
10 15 1993 1541       74
10 15 1993 1715       75
10 15 1993 1729       76
10 15 1993 1734       77
10 15 1993 1739       78
10 15 1993 1742       79
10 15 1993 1746       80
10 15 1993 1754       81
10 15 1993 1814       82
10 15 1993 1916       83
10 15 1993 1944       84
10 15 1993 1951       85
10 15 1993 2022       86
10 15 1993 2033       87
10 15 1993 2101       88
10 15 1993 2109       89
10 16 1993    8       90
10 18 1993 1550       91
10 19 1993  141       92
10 19 1993  238       93
10 19 1993  341       94
10 19 1993  520       95
10 19 1993  659       96
10 19 1993  802       97
10 20 1993  613       98
10 22 1993 1509       99
10 22 1993 1518      100
10 22 1993 1524      101
10 22 1993 1533      102
10 22 1993 1542      103
10 22 1993 1601      104
10 22 1993 1614      105
10 22 1993 1910      106
10 22 1993 1924      107
10 22 1993 1946      108
10 22 1993 2210      109
10 22 1993 2225      110
10 22 1993 2234      111
10 22 1993 2242      112
10 22 1993 2248      113
10 22 1993 2251      114
10 22 1993 2254      115
10 22 1993 2257      116
10 22 1993 2304      117
10 22 1993 2321      118
10 22 1993 2330      119
10 22 1993 2339      120
10 22 1993 2346      121
10 22 1993 2354      122
10 23 1993    3      123
10 23 1993   26      124
10 23 1993   39      125
10 23 1993  101      126
10 23 1993  123      127
10 23 1993  141      128
10 23 1993 1729      129
10 23 1993 1733      130
10 23 1993 1735      131
10 23 1993 1737      132
10 23 1993 1738      133
10 23 1993 1740      134
10 23 1993 1741      135
10 23 1993 1744      136
10 23 1993 1747      137
10 23 1993 1749      138
10 23 1993 1752      139
10 23 1993 1756      140
10 23 1993 1759      141
10 23 1993 1801      142
10 23 1993 1802      143
10 23 1993 1804      144
10 23 1993 1806      145
10 23 1993 1811      146
10 23 1993 1813      147
10 23 1993 1814      148
10 23 1993 1816      149
10 23 1993 1818      150
10 23 1993 1818      151
10 23 1993 1819      152
10 23 1993 1819      153
10 23 1993 1820      154
10 23 1993 1820      155
10 23 1993 1820      156
10 23 1993 1821      157
10 23 1993 1821      158
10 23 1993 1822      159
10 23 1993 1823      160
10 23 1993 1823      161
10 23 1993 1825      162
10 23 1993 1826      163
10 23 1993 1826      164
10 23 1993 1827      165
10 23 1993 1829      166
10 23 1993 1830      167
10 23 1993 1833      168
10 23 1993 1836      169
10 23 1993 1846      170
10 23 1993 1850      171
10 23 1993 1914      172
10 24 1993  200      173
10 24 1993  910      174
10 31 1993  140      175
10 31 1993  328      176
10 31 1993  337      177
10 31 1993  358      178
10 31 1993  407      179
10 31 1993 1139      180
10 31 1993 1313      181
11  2 1993 2348      182
11  2 1993 2355      183
11  3 1993   10      184
11  3 1993   21      185
11  3 1993   27      186
11  3 1993   31      187
11  3 1993   33      188
11  3 1993   36      189
11  3 1993   40      190
11  3 1993   52      191
11  3 1993  100      192
11  3 1993  113      193
11  3 1993  136      194
11  3 1993  229      195
11  3 1993  252      196
11  3 1993  311      197
11  9 1993  943      198
