"PDE21099.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1999/11/23 at 15:38:42"
"By                   : WAYNE"
"Start date           : 09-24-99-11:35"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE  "
"Note : FUNNEL PLUGGED "

"MT" "DY" "YR" "HHMM" "TOTAL   "

 9 24 1999 2318        1
 9 24 1999 2324        2
 9 24 1999 2333        3
 9 24 1999 2359        4
 9 25 1999   43        5
 9 25 1999   44        6
 9 25 1999   45        7
 9 25 1999   45        8
 9 25 1999   46        9
 9 25 1999   46       10
 9 25 1999   47       11
 9 25 1999   48       12
 9 25 1999   49       13
 9 25 1999   50       14
 9 25 1999   50       15
 9 25 1999   52       16
 9 25 1999   52       17
 9 25 1999   53       18
 9 25 1999   53       19
 9 25 1999   54       20
 9 25 1999   54       21
 9 25 1999   55       22
 9 25 1999   55       23
 9 25 1999   55       24
 9 25 1999   56       25
 9 25 1999   56       26
 9 25 1999   57       27
 9 25 1999  133       28
 9 25 1999  323       29
 9 25 1999  324       30
 9 25 1999  325       31
 9 25 1999  326       32
 9 25 1999  328       33
 9 25 1999  330       34
 9 25 1999  333       35
 9 25 1999  337       36
 9 25 1999  342       37
 9 25 1999  351       38
 9 25 1999  353       39
 9 25 1999  353       40
 9 25 1999  353       41
 9 25 1999  354       42
 9 25 1999  354       43
 9 25 1999  356       44
 9 25 1999  401       45
10  6 1999   26       46
10  6 1999   50       47
10  6 1999  109       48
10  6 1999  130       49
10  6 1999  141       50
10  6 1999  149       51
10  6 1999  157       52
10  6 1999  207       53
10  6 1999  221       54
10  6 1999  233       55
10  6 1999  253       56
10  6 1999  701       57
10  7 1999  454       58
10  7 1999  540       59
10  7 1999  639       60
10  7 1999  736       61
10  7 1999  823       62
10  7 1999 1022       63
10  7 1999 1942       64
10  7 1999 1959       65
10  7 1999 2006       66
10  7 1999 2048       67
10  7 1999 2120       68
10  7 1999 2126       69
10  7 1999 2130       70
10  7 1999 2139       71
10  7 1999 2147       72
10  7 1999 2201       73
10  7 1999 2217       74
10  7 1999 2239       75
10  7 1999 2335       76
10  8 1999   46       77
10  8 1999  227       78
10  8 1999  235       79
10  8 1999  240       80
10  8 1999  249       81
10  8 1999  306       82
10  8 1999  318       83
10  8 1999  334       84
10  8 1999  403       85
10  8 1999  448       86
10  8 1999  453       87
10  8 1999  456       88
10  8 1999  501       89
10  8 1999  507       90
10  8 1999  531       91
10  8 1999  554       92
10  8 1999  607       93
10  8 1999  611       94
10  8 1999  623       95
10  8 1999  632       96
10  8 1999  638       97
10  8 1999  643       98
10  8 1999  649       99
10  8 1999  714      100
10  8 1999  726      101
10  8 1999  730      102
10  8 1999  735      103
10  8 1999  741      104
10  8 1999  749      105
10  8 1999  757      106
10  8 1999  804      107
10  8 1999  810      108
10  8 1999  820      109
10  8 1999  828      110
10  8 1999  836      111
10  8 1999  841      112
10  8 1999  848      113
10  8 1999  859      114
10  8 1999  907      115
10  8 1999  911      116
10  8 1999  914      117
10  8 1999  918      118
10  8 1999  924      119
10  8 1999  932      120
10  8 1999  941      121
10  8 1999  952      122
10  8 1999 1022      123
10  8 1999 1039      124
10  8 1999 1113      125
10  8 1999 1136      126
10  8 1999 1158      127
10  8 1999 1230      128
10  8 1999 1249      129
10  8 1999 1305      130
10  8 1999 1328      131
10  8 1999 1346      132
10  8 1999 1416      133
10  8 1999 1419      134
10  8 1999 1428      135
10  8 1999 1452      136
10  9 1999  502      137
10 11 1999 1758      138
10 11 1999 1814      139
10 11 1999 1827      140
10 11 1999 1839      141
10 11 1999 1847      142
10 11 1999 1852      143
10 11 1999 1900      144
10 11 1999 1910      145
10 11 1999 1918      146
10 11 1999 1938      147
10 11 1999 2340      148
10 13 1999  825      149
10 13 1999 1134      150
10 13 1999 1148      151
10 23 1999  820      152
10 23 1999 2058      153
10 23 1999 2106      154
10 23 1999 2120      155
10 23 1999 2142      156
10 23 1999 2146      157
10 23 1999 2158      158
10 24 1999  653      159
10 25 1999  910      160
10 25 1999 1029      161
10 25 1999 1036      162
10 25 1999 1132      163
10 25 1999 1158      164
10 25 1999 1240      165
10 25 1999 1338      166
10 25 1999 1359      167
10 25 1999 1406      168
10 25 1999 1410      169
10 25 1999 1413      170
10 25 1999 1417      171
10 25 1999 1420      172
10 25 1999 1422      173
10 25 1999 1425      174
