"pde21193.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/12/27 at 09:44:56"
"By                   : kirk "
"Start date           : 11-10-93-14:00"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

11 14 1993 1002        1
11 15 1993  909        2
11 15 1993  929        3
11 15 1993  934        4
11 15 1993  946        5
11 15 1993 1005        6
11 15 1993 1007        7
11 15 1993 1024        8
11 15 1993 1058        9
11 15 1993 1848       10
11 16 1993  823       11
11 16 1993  835       12
11 16 1993  845       13
11 16 1993  848       14
11 16 1993  853       15
11 16 1993  859       16
11 16 1993  902       17
11 16 1993  906       18
11 16 1993  909       19
11 16 1993  911       20
11 16 1993  915       21
11 16 1993  921       22
11 16 1993  927       23
11 17 1993  434       24
11 17 1993  446       25
11 17 1993  503       26
11 17 1993  513       27
11 17 1993  517       28
11 17 1993  520       29
11 17 1993  604       30
11 17 1993  632       31
11 17 1993  704       32
11 17 1993  846       33
11 20 1993 2345       34
11 21 1993   23       35
11 21 1993   57       36
11 21 1993  117       37
11 21 1993  155       38
11 21 1993  325       39
11 21 1993  411       40
11 21 1993  449       41
11 21 1993  546       42
11 21 1993  803       43
11 21 1993  816       44
11 21 1993  831       45
11 21 1993  838       46
11 21 1993  901       47
11 21 1993  940       48
11 21 1993  945       49
11 21 1993 1005       50
11 21 1993 1034       51
11 21 1993 1049       52
11 21 1993 1058       53
11 21 1993 1109       54
11 21 1993 1125       55
11 21 1993 1138       56
11 21 1993 1154       57
11 21 1993 1203       58
11 21 1993 1208       59
11 21 1993 1218       60
11 21 1993 1508       61
11 21 1993 2146       62
11 22 1993   39       63
11 25 1993 1410       64
11 25 1993 1613       65
11 26 1993 1145       66
11 26 1993 1200       67
11 26 1993 1208       68
11 26 1993 1219       69
11 26 1993 1253       70
11 26 1993 1311       71
11 26 1993 1333       72
11 26 1993 1349       73
11 26 1993 1406       74
11 26 1993 1426       75
11 27 1993  518       76
11 27 1993  533       77
11 27 1993  633       78
11 27 1993  842       79
11 27 1993 1014       80
11 27 1993 1024       81
11 27 1993 1658       82
11 28 1993  616       83
11 28 1993 1537       84
11 28 1993 1558       85
11 28 1993 1610       86
11 28 1993 1620       87
11 28 1993 1636       88
11 28 1993 1651       89
11 28 1993 1710       90
11 28 1993 1742       91
11 28 1993 1824       92
11 28 1993 1855       93
11 28 1993 2015       94
11 28 1993 2027       95
11 29 1993  451       96
11 29 1993  536       97
11 29 1993  643       98
11 29 1993  659       99
11 29 1993  713      100
11 29 1993  721      101
11 29 1993  734      102
11 29 1993  747      103
11 29 1993  759      104
11 29 1993  806      105
11 29 1993  814      106
11 29 1993  822      107
11 29 1993  834      108
11 29 1993  840      109
11 29 1993  846      110
11 29 1993  850      111
11 29 1993  858      112
11 29 1993 1007      113
11 29 1993 1050      114
11 29 1993 1554      115
11 29 1993 1614      116
11 29 1993 1625      117
11 29 1993 1630      118
11 29 1993 1647      119
11 29 1993 1724      120
11 29 1993 1739      121
11 29 1993 1742      122
11 29 1993 1745      123
11 29 1993 1750      124
11 29 1993 1753      125
11 29 1993 1801      126
11 29 1993 2343      127
11 30 1993 1654      128
11 30 1993 1716      129
11 30 1993 1732      130
11 30 1993 1741      131
11 30 1993 1753      132
11 30 1993 1806      133
11 30 1993 1816      134
11 30 1993 1829      135
11 30 1993 1857      136
11 30 1993 1915      137
11 30 1993 1944      138
11 30 1993 2004      139
11 30 1993 2014      140
11 30 1993 2026      141
11 30 1993 2038      142
11 30 1993 2052      143
11 30 1993 2102      144
11 30 1993 2112      145
11 30 1993 2117      146
11 30 1993 2123      147
11 30 1993 2211      148
