"pde21195.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/12/20 at 13:01:15"
"By                   : Cramer     "
"Start date           : 10-25-95-17:30"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence @ Pleasant Beach Rd"
"Note : Ice in tipping bucket, pine needles in funnel, data pod wigging"

"MT" "DY" "YR" "HHMM" "TOTAL   "

10 25 1995 1734        1
10 25 1995 2027        2
10 25 1995 2038        3
10 25 1995 2111        4
10 25 1995 2126        5
10 25 1995 2203        6
10 25 1995 2303        7
10 26 1995  249        8
10 26 1995  607        9
10 26 1995  844       10
10 26 1995  849       11
10 26 1995  855       12
10 26 1995  859       13
10 31 1995 1105       14
11  4 1995 1710       15
11  4 1995 1726       16
11  4 1995 1750       17
11  4 1995 1757       18
11  4 1995 1803       19
11  4 1995 1811       20
11  4 1995 1818       21
11  4 1995 2240       22
11  4 1995 2312       23
11  4 1995 2315       24
11  4 1995 2318       25
11  4 1995 2319       26
11  5 1995  740       27
11  5 1995  750       28
11  5 1995 1322       29
11  5 1995 1527       30
11  5 1995 1543       31
11  5 1995 2147       32
11  6 1995 1721       33
11  6 1995 1736       34
11  6 1995 1748       35
11  6 1995 1803       36
11  6 1995 1818       37
11  6 1995 1833       38
11  6 1995 1852       39
11  6 1995 1914       40
11  6 1995 1935       41
11  6 1995 1944       42
11  6 1995 1958       43
11  6 1995 2010       44
11  6 1995 2016       45
11  6 1995 2021       46
11  6 1995 2027       47
11  6 1995 2031       48
11  6 1995 2035       49
11  6 1995 2039       50
11  6 1995 2044       51
11  6 1995 2047       52
11  6 1995 2053       53
11  6 1995 2058       54
11  6 1995 2103       55
11  6 1995 2108       56
11  6 1995 2115       57
11  6 1995 2122       58
11  6 1995 2128       59
11  6 1995 2133       60
11  6 1995 2141       61
11  6 1995 2149       62
11  6 1995 2157       63
11  6 1995 2207       64
11  6 1995 2213       65
11  6 1995 2217       66
11  6 1995 2223       67
11  6 1995 2226       68
11  6 1995 2234       69
11  6 1995 2238       70
11  6 1995 2242       71
11  6 1995 2249       72
11  6 1995 2300       73
11  6 1995 2306       74
11  6 1995 2311       75
11  6 1995 2316       76
11  6 1995 2323       77
11  6 1995 2327       78
11  6 1995 2332       79
11  6 1995 2336       80
11  6 1995 2341       81
