"PDE21196.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/12/30 at 12:00:49"
"By                   : Gary"
"Start date           : 11-01-96-15:50"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKELAWRENCE                          "
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

11  1 1996 1554        1
11  3 1996  222        2
11  3 1996  241        3
11  3 1996  406        4
11  3 1996 1509        5
11  3 1996 1534        6
11  3 1996 1609        7
11  3 1996 1752        8
11  3 1996 1904        9
11  3 1996 2026       10
11  3 1996 2031       11
11  3 1996 2038       12
11  3 1996 2047       13
11  3 1996 2106       14
11  3 1996 2114       15
11  3 1996 2117       16
11  3 1996 2120       17
11  3 1996 2124       18
11  3 1996 2127       19
11  3 1996 2130       20
11  3 1996 2134       21
11  3 1996 2140       22
11  3 1996 2143       23
11  3 1996 2153       24
11  3 1996 2219       25
11  3 1996 2224       26
11  3 1996 2302       27
11  4 1996   12       28
11  4 1996   14       29
11  4 1996   21       30
11  4 1996  136       31
11  4 1996  254       32
11  4 1996  320       33
11  4 1996  331       34
11  4 1996 1449       35
11  5 1996 1321       36
11  5 1996 2353       37
11  5 1996 2358       38
11  6 1996    3       39
11  6 1996    9       40
11  6 1996   14       41
11  6 1996   18       42
11  6 1996   23       43
11  6 1996   29       44
11  6 1996   43       45
11  6 1996   51       46
11  6 1996   56       47
11  6 1996  117       48
11  6 1996  126       49
11  6 1996  150       50
11  6 1996  159       51
11  6 1996  201       52
11  6 1996  203       53
11  6 1996  210       54
11  6 1996  217       55
11  6 1996  225       56
11  6 1996  243       57
11  6 1996  257       58
11  6 1996  300       59
11  6 1996  305       60
11  6 1996  310       61
11  6 1996  312       62
11  6 1996  314       63
11  6 1996  316       64
11  6 1996  319       65
11  6 1996  322       66
11  6 1996  333       67
11  6 1996  428       68
11  6 1996  522       69
11  6 1996  540       70
11  6 1996  544       71
11  6 1996  612       72
11  6 1996 1004       73
11  6 1996 1022       74
11  6 1996 1043       75
11  6 1996 1057       76
11  6 1996 1106       77
11  6 1996 1212       78
11  6 1996 1233       79
11  6 1996 1240       80
11  6 1996 1342       81
11  6 1996 1346       82
11  6 1996 1453       83
11  6 1996 1645       84
11  7 1996 1449       85
11  7 1996 1506       86
11  7 1996 1527       87
11  7 1996 1545       88
11  7 1996 1620       89
11 11 1996 1239       90
11 11 1996 1918       91
11 11 1996 1923       92
11 11 1996 2005       93
11 11 1996 2057       94
11 11 1996 2200       95
11 11 1996 2209       96
11 11 1996 2218       97
11 11 1996 2229       98
11 11 1996 2235       99
11 11 1996 2306      100
11 11 1996 2316      101
11 11 1996 2323      102
11 11 1996 2326      103
11 11 1996 2332      104
11 11 1996 2341      105
11 12 1996   53      106
11 12 1996  557      107
11 12 1996  801      108
11 12 1996  934      109
11 12 1996  940      110
11 12 1996 1000      111
11 12 1996 1106      112
11 12 1996 1316      113
11 12 1996 1417      114
11 12 1996 1432      115
11 12 1996 1445      116
11 12 1996 1452      117
11 12 1996 1456      118
11 12 1996 1459      119
11 12 1996 1501      120
11 12 1996 1503      121
11 12 1996 1505      122
11 12 1996 1506      123
11 12 1996 1507      124
11 12 1996 1507      125
11 12 1996 1507      126
11 12 1996 1508      127
11 12 1996 1508      128
11 12 1996 1509      129
11 12 1996 1509      130
11 12 1996 1509      131
11 12 1996 1510      132
11 12 1996 1510      133
11 12 1996 1511      134
11 12 1996 1513      135
11 12 1996 1514      136
11 12 1996 1514      137
11 12 1996 1516      138
11 12 1996 1516      139
11 12 1996 1517      140
11 12 1996 1518      141
11 12 1996 1523      142
11 12 1996 1531      143
11 12 1996 1535      144
11 12 1996 1630      145
11 12 1996 2110      146
11 12 1996 2113      147
11 12 1996 2114      148
11 12 1996 2115      149
11 12 1996 2118      150
11 12 1996 2119      151
11 12 1996 2119      152
11 12 1996 2120      153
11 12 1996 2121      154
11 12 1996 2121      155
11 12 1996 2123      156
11 12 1996 2125      157
11 12 1996 2127      158
11 12 1996 2131      159
11 12 1996 2140      160
11 12 1996 2144      161
11 12 1996 2247      162
11 12 1996 2326      163
11 12 1996 2328      164
11 12 1996 2335      165
11 12 1996 2337      166
11 12 1996 2338      167
11 12 1996 2339      168
11 12 1996 2341      169
11 12 1996 2343      170
11 12 1996 2344      171
11 12 1996 2345      172
11 12 1996 2346      173
11 12 1996 2347      174
11 12 1996 2348      175
11 12 1996 2353      176
11 13 1996   12      177
11 13 1996   21      178
11 13 1996   23      179
11 13 1996   24      180
11 13 1996   25      181
11 13 1996   28      182
11 13 1996  616      183
11 13 1996  626      184
11 13 1996  629      185
11 13 1996  631      186
11 13 1996  636      187
11 13 1996  641      188
11 13 1996  654      189
11 13 1996  711      190
11 13 1996  728      191
11 13 1996  855      192
11 13 1996  945      193
11 13 1996 1536      194
11 14 1996   20      195
11 14 1996  722      196
11 14 1996  735      197
11 14 1996  749      198
11 14 1996  845      199
11 14 1996 1941      200
11 15 1996   10      201
11 15 1996 1832      202
11 15 1996 1841      203
11 15 1996 1848      204
11 15 1996 1859      205
11 15 1996 1910      206
11 15 1996 1915      207
11 15 1996 2010      208
11 16 1996  226      209
11 16 1996  348      210
11 16 1996  726      211
11 16 1996  735      212
11 16 1996  911      213
11 16 1996  919      214
11 16 1996  930      215
11 16 1996 1059      216
11 16 1996 1441      217
11 16 1996 1445      218
11 16 1996 1449      219
11 16 1996 1458      220
11 16 1996 1503      221
11 16 1996 1509      222
11 16 1996 1515      223
11 16 1996 1536      224
11 16 1996 1551      225
11 16 1996 1556      226
11 16 1996 1609      227
11 16 1996 1627      228
11 16 1996 1954      229
11 16 1996 2002      230
11 16 1996 2009      231
11 16 1996 2014      232
11 17 1996  341      233
11 17 1996  445      234
11 17 1996  457      235
11 17 1996  620      236
11 17 1996  633      237
11 17 1996  637      238
11 17 1996  642      239
11 17 1996  722      240
11 17 1996  747      241
11 17 1996  821      242
11 17 1996  900      243
11 17 1996 1239      244
11 17 1996 1256      245
11 17 1996 1316      246
11 17 1996 1430      247
11 17 1996 1442      248
11 17 1996 1455      249
11 17 1996 1536      250
11 17 1996 1542      251
11 17 1996 1551      252
11 17 1996 1606      253
11 17 1996 1638      254
11 17 1996 1710      255
11 17 1996 1749      256
11 17 1996 1825      257
11 17 1996 1849      258
11 17 1996 1901      259
11 17 1996 1918      260
11 17 1996 2052      261
11 17 1996 2105      262
11 17 1996 2114      263
11 17 1996 2157      264
11 17 1996 2200      265
11 17 1996 2229      266
11 18 1996  324      267
11 18 1996 1229      268
11 18 1996 1234      269
11 18 1996 1241      270
11 18 1996 1254      271
11 18 1996 2321      272
11 18 1996 2331      273
11 18 1996 2339      274
11 18 1996 2345      275
11 18 1996 2352      276
11 18 1996 2357      277
11 19 1996    3      278
11 19 1996   10      279
11 19 1996   18      280
11 19 1996   23      281
11 19 1996   31      282
11 19 1996   36      283
11 19 1996   42      284
11 19 1996  115      285
11 19 1996 1517      286
11 20 1996 1209      287
11 20 1996 1212      288
11 20 1996 1216      289
11 20 1996 1219      290
11 20 1996 1222      291
11 20 1996 1225      292
11 20 1996 1228      293
