"PDE21197.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1997/12/05 at 14:32:12"
"By                   : Gary"
"Start date           : 11-03-97-13:45"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE AT PUBLIC BOAT LAUNCH"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

11  5 1997 2026        1
11  5 1997 2039        2
11  5 1997 2108        3
11  6 1997   13        4
11  6 1997   31        5
11  6 1997   38        6
11  6 1997   41        7
11  6 1997   49        8
11  6 1997   59        9
11  6 1997  106       10
11  6 1997  122       11
11  6 1997  238       12
11  6 1997  254       13
11  6 1997  310       14
11  6 1997  320       15
11  6 1997  347       16
11  6 1997  628       17
11  6 1997 1826       18
11  6 1997 1839       19
11  6 1997 1852       20
11  6 1997 1946       21
11  6 1997 2209       22
11  6 1997 2254       23
11  6 1997 2306       24
11  6 1997 2313       25
11  6 1997 2325       26
11  6 1997 2330       27
11  6 1997 2332       28
11  6 1997 2334       29
11  6 1997 2335       30
11  6 1997 2338       31
11  6 1997 2340       32
11  6 1997 2343       33
11  6 1997 2347       34
11  6 1997 2351       35
11  6 1997 2355       36
11  6 1997 2358       37
11  7 1997    2       38
11  7 1997    6       39
11  7 1997   10       40
11  7 1997   21       41
11  7 1997   31       42
11  7 1997  149       43
11  7 1997  214       44
11  7 1997  220       45
11  7 1997  223       46
11  7 1997  230       47
11  7 1997  238       48
11  7 1997  251       49
11  7 1997  256       50
11  7 1997  300       51
11  7 1997  305       52
11  7 1997  310       53
11  7 1997  314       54
11  7 1997  318       55
11  7 1997  322       56
11  7 1997  325       57
11  7 1997  326       58
11  7 1997  328       59
11  7 1997  331       60
11  7 1997  335       61
11  7 1997  342       62
11  7 1997  354       63
11  7 1997  406       64
11  7 1997  429       65
11  7 1997  449       66
11  7 1997  521       67
11  7 1997  608       68
11  7 1997  826       69
11 10 1997  321       70
11 11 1997  925       71
11 12 1997 1012       72
11 13 1997 1700       73
11 16 1997 1746       74
