"PDE21198.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1998/12/10 at 15:39:10"
"By                   : Gary"
"Start date           : 11-04-98-14:33"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE AT BOAT LAUNCH"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

11  4 1998 1736        1
11  4 1998 1754        2
11  4 1998 2038        3
11  4 1998 2058        4
11  4 1998 2105        5
11  4 1998 2109        6
11  4 1998 2113        7
11  4 1998 2116        8
11  4 1998 2120        9
11  4 1998 2124       10
11  4 1998 2129       11
11  4 1998 2134       12
11  4 1998 2138       13
11  4 1998 2143       14
11  4 1998 2147       15
11  4 1998 2155       16
11  4 1998 2205       17
11  4 1998 2213       18
11  4 1998 2218       19
11  4 1998 2223       20
11  4 1998 2235       21
11  4 1998 2326       22
11  5 1998   20       23
11  5 1998   24       24
11  5 1998   32       25
11  5 1998   37       26
11  5 1998   45       27
11  5 1998   52       28
11  5 1998  100       29
11  5 1998  109       30
11  5 1998  119       31
11  5 1998  128       32
11  5 1998  135       33
11  5 1998  148       34
11  5 1998  210       35
11  5 1998  234       36
11  5 1998  307       37
11  5 1998  318       38
11  5 1998  330       39
11  5 1998  345       40
11  5 1998  353       41
11  5 1998  419       42
11  5 1998  433       43
11  5 1998  510       44
11  5 1998  550       45
11  5 1998  746       46
11  5 1998 1217       47
11  5 1998 1224       48
11  7 1998  937       49
11  9 1998  529       50
11  9 1998  818       51
11  9 1998 1741       52
11  9 1998 1808       53
11 10 1998 2055       54
11 12 1998 1514       55
11 12 1998 2053       56
11 13 1998   30       57
11 13 1998   36       58
11 13 1998   39       59
11 13 1998   40       60
11 13 1998   42       61
11 13 1998   44       62
11 13 1998   46       63
11 13 1998   49       64
11 13 1998   52       65
11 13 1998   55       66
11 13 1998   56       67
11 13 1998  101       68
11 13 1998  105       69
11 13 1998  111       70
11 13 1998  120       71
11 13 1998  125       72
11 13 1998  131       73
11 13 1998  135       74
11 13 1998  139       75
11 13 1998  142       76
11 13 1998  145       77
11 13 1998  148       78
11 13 1998  151       79
11 13 1998  153       80
11 13 1998  155       81
11 13 1998  157       82
11 13 1998  200       83
11 13 1998  203       84
11 13 1998  205       85
11 13 1998  208       86
11 13 1998  211       87
11 13 1998  214       88
11 13 1998  216       89
11 13 1998  218       90
11 13 1998  221       91
11 13 1998  224       92
11 13 1998  228       93
11 13 1998  231       94
11 13 1998  234       95
11 13 1998  238       96
11 13 1998  242       97
11 13 1998  244       98
11 13 1998  246       99
11 13 1998  250      100
11 13 1998  253      101
11 13 1998  258      102
11 13 1998  302      103
11 13 1998  306      104
11 13 1998  310      105
11 13 1998  313      106
11 13 1998  317      107
11 13 1998  321      108
11 13 1998  325      109
11 13 1998  331      110
11 13 1998  335      111
11 13 1998  340      112
11 13 1998  344      113
11 13 1998  348      114
11 13 1998  353      115
11 13 1998  356      116
11 13 1998  400      117
11 13 1998  405      118
11 13 1998  410      119
11 13 1998  415      120
11 13 1998  421      121
11 13 1998  427      122
11 13 1998  433      123
11 13 1998  438      124
11 13 1998  442      125
11 13 1998  447      126
11 13 1998  455      127
11 13 1998  508      128
11 13 1998  515      129
11 13 1998  519      130
11 13 1998  524      131
11 13 1998  529      132
11 13 1998  533      133
11 13 1998  538      134
11 13 1998  544      135
11 13 1998  551      136
11 13 1998  559      137
11 13 1998  607      138
11 13 1998  614      139
11 13 1998  624      140
11 13 1998  631      141
11 13 1998  638      142
11 13 1998  646      143
11 13 1998  652      144
11 13 1998  656      145
11 13 1998  700      146
11 13 1998  704      147
11 13 1998  707      148
11 13 1998  711      149
11 13 1998  714      150
11 13 1998  717      151
11 13 1998  722      152
11 13 1998  736      153
11 13 1998  750      154
11 13 1998  803      155
11 13 1998  809      156
11 13 1998  818      157
11 13 1998  831      158
11 13 1998  840      159
11 13 1998  855      160
11 13 1998  913      161
11 13 1998  926      162
11 13 1998  935      163
11 13 1998  943      164
11 13 1998  949      165
11 13 1998  957      166
11 13 1998 1004      167
11 13 1998 1012      168
11 13 1998 1017      169
11 13 1998 1027      170
11 13 1998 1048      171
11 13 1998 1149      172
11 13 1998 1217      173
11 13 1998 1255      174
11 13 1998 1322      175
11 13 1998 1339      176
11 13 1998 1351      177
11 13 1998 1405      178
11 13 1998 1516      179
11 13 1998 1558      180
11 13 1998 1613      181
11 13 1998 1632      182
11 13 1998 1650      183
11 13 1998 1718      184
11 13 1998 1748      185
11 13 1998 2326      186
11 14 1998  709      187
11 14 1998 1718      188
11 14 1998 1727      189
11 14 1998 1752      190
11 14 1998 1826      191
11 14 1998 1839      192
11 14 1998 1849      193
11 14 1998 1858      194
11 14 1998 1908      195
11 14 1998 1917      196
11 14 1998 1925      197
11 14 1998 1933      198
11 14 1998 1941      199
11 14 1998 1950      200
11 14 1998 2000      201
11 14 1998 2009      202
11 14 1998 2151      203
11 15 1998  232      204
11 15 1998  636      205
11 15 1998  651      206
11 15 1998  711      207
11 15 1998  937      208
11 15 1998 1638      209
11 15 1998 1658      210
11 15 1998 1712      211
11 15 1998 1723      212
11 15 1998 1729      213
11 15 1998 1732      214
11 15 1998 1734      215
11 15 1998 1735      216
11 15 1998 1737      217
11 15 1998 1738      218
11 15 1998 1740      219
11 15 1998 1742      220
11 15 1998 1744      221
11 15 1998 1746      222
11 15 1998 1748      223
11 15 1998 1750      224
11 15 1998 1752      225
11 15 1998 1755      226
11 15 1998 1757      227
11 15 1998 1759      228
11 15 1998 1801      229
11 15 1998 1804      230
11 15 1998 1806      231
11 15 1998 1809      232
11 15 1998 1811      233
11 15 1998 1814      234
11 15 1998 1817      235
11 15 1998 1819      236
11 15 1998 1822      237
11 15 1998 1826      238
11 15 1998 1829      239
11 15 1998 1833      240
11 15 1998 1836      241
11 15 1998 1841      242
11 15 1998 1845      243
