"PDE21199.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1999/12/30 at 11:07:20"
"By                   : DARIN"
"Start date           : 11-03-99-11:15"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note : DEAD BATTERIES  "

"MT" "DY" "YR" "HHMM" "TOTAL   "

11  3 1999 1730        1
11  3 1999 1738        2
11  3 1999 1740        3
11  3 1999 1749        4
11  3 1999 1806        5
11  3 1999 1812        6
11  3 1999 1820        7
11  3 1999 1830        8
11  3 1999 1832        9
11  3 1999 1835       10
11  3 1999 1837       11
11  3 1999 1841       12
11  3 1999 1854       13
11  3 1999 1913       14
11  3 1999 1931       15
11  3 1999 1958       16
11  5 1999 1613       17
11  5 1999 1648       18
11  5 1999 1703       19
11  5 1999 1717       20
11  5 1999 1727       21
11  5 1999 1736       22
11  5 1999 1750       23
11  5 1999 1802       24
11  5 1999 1813       25
11  5 1999 1822       26
11  5 1999 1827       27
11  5 1999 1838       28
11  5 1999 1844       29
11  5 1999 1851       30
11  5 1999 1908       31
11  5 1999 1950       32
11  5 1999 2057       33
11  5 1999 2109       34
11  5 1999 2120       35
11  5 1999 2217       36
11  5 1999 2236       37
11  5 1999 2257       38
11  5 1999 2308       39
11  5 1999 2320       40
11  5 1999 2332       41
11  5 1999 2345       42
11  5 1999 2351       43
11  5 1999 2356       44
11  6 1999    1       45
11  6 1999    5       46
11  6 1999    9       47
11  6 1999   13       48
11  6 1999   18       49
11  6 1999   22       50
11  6 1999   27       51
11  6 1999   32       52
11  6 1999   48       53
11  6 1999  144       54
11  6 1999  200       55
11  6 1999  210       56
11  6 1999  221       57
11  6 1999  230       58
11  6 1999  240       59
11  6 1999  301       60
11  6 1999  440       61
11  8 1999  346       62
11  8 1999  357       63
11  8 1999  407       64
11  8 1999  415       65
11  8 1999  424       66
11  8 1999  426       67
11  8 1999  437       68
11  8 1999  826       69
11  8 1999  829       70
11  8 1999  831       71
11  8 1999  833       72
11  8 1999  900       73
11  8 1999  923       74
11  8 1999 1032       75
11  8 1999 1516       76
11  8 1999 2231       77
11  8 1999 2244       78
11  8 1999 2250       79
11  8 1999 2302       80
11  8 1999 2312       81
11  8 1999 2317       82
11  8 1999 2327       83
11  8 1999 2335       84
11  8 1999 2341       85
11  8 1999 2349       86
11  8 1999 2354       87
11  9 1999    0       88
11  9 1999    6       89
11  9 1999   12       90
11  9 1999   18       91
11  9 1999   25       92
11  9 1999   32       93
11  9 1999   44       94
11  9 1999   58       95
11  9 1999  112       96
11  9 1999  205       97
11  9 1999  609       98
11  9 1999  633       99
11  9 1999  656      100
11  9 1999  718      101
11  9 1999  729      102
11  9 1999  736      103
11  9 1999  748      104
11  9 1999  757      105
11  9 1999  803      106
11  9 1999  808      107
11  9 1999  813      108
11  9 1999  818      109
11  9 1999  822      110
11  9 1999  828      111
11  9 1999  839      112
11  9 1999  844      113
11  9 1999  850      114
11  9 1999  856      115
11  9 1999  902      116
11  9 1999  909      117
11  9 1999  924      118
11  9 1999  937      119
11  9 1999  950      120
11  9 1999 1005      121
11  9 1999 1033      122
11  9 1999 1132      123
11  9 1999 1155      124
11  9 1999 1205      125
11  9 1999 1215      126
11  9 1999 1225      127
11  9 1999 1246      128
11  9 1999 1258      129
11  9 1999 1309      130
11  9 1999 1323      131
11  9 1999 1340      132
11  9 1999 1405      133
11  9 1999 1442      134
11  9 1999 1540      135
11  9 1999 1616      136
11  9 1999 1748      137
11  9 1999 1825      138
11  9 1999 1839      139
11  9 1999 1846      140
11  9 1999 1855      141
11  9 1999 1901      142
11  9 1999 1907      143
11  9 1999 1919      144
11  9 1999 1928      145
11  9 1999 1935      146
11  9 1999 1938      147
11  9 1999 1942      148
11  9 1999 1946      149
11  9 1999 1950      150
