"PDE21292.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1993/02/11 at 11:44:17"
"By                   : CHRISTENSEN"
"Start date           : 12-03-92-15:50"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : "
"Note : On 12/27/2016 Nat Kale replaced all YR values below row 563 with 1993"

"MT" "DY" "YR" "HHMM" "TOTAL   "

12  3 1992 1555        1
12  3 1992 1555        2
12  3 1992 1555        3
12  4 1992 1117        4
12  5 1992 1252        5
12  5 1992 1616        6
12  5 1992 1645        7
12  5 1992 1753        8
12  7 1992  509        9
12  7 1992 1110       10
12  8 1992  129       11
12  8 1992  154       12
12  8 1992  205       13
12  8 1992  214       14
12  8 1992  228       15
12  8 1992  238       16
12  8 1992  248       17
12  8 1992  309       18
12  8 1992  340       19
12  8 1992  457       20
12  8 1992  503       21
12  8 1992  514       22
12  8 1992  521       23
12  8 1992  555       24
12  8 1992  818       25
12  8 1992  823       26
12  8 1992  825       27
12  8 1992  828       28
12  8 1992  831       29
12  8 1992  838       30
12  8 1992  843       31
12  8 1992  848       32
12  8 1992  851       33
12  8 1992  855       34
12  8 1992 1051       35
12  8 1992 1055       36
12  8 1992 1059       37
12  8 1992 1102       38
12  8 1992 1104       39
12  8 1992 1107       40
12  8 1992 1110       41
12  8 1992 1200       42
12  8 1992 1309       43
12  8 1992 1315       44
12  8 1992 1326       45
12  8 1992 1333       46
12  8 1992 1341       47
12  8 1992 1344       48
12  8 1992 1346       49
12  8 1992 1347       50
12  8 1992 1349       51
12  8 1992 1352       52
12  8 1992 1405       53
12  8 1992 1412       54
12  8 1992 1444       55
12  8 1992 1445       56
12  8 1992 1448       57
12  8 1992 1452       58
12  8 1992 1453       59
12  8 1992 1454       60
12  8 1992 1454       61
12  8 1992 1455       62
12  8 1992 1459       63
12  8 1992 1612       64
12  8 1992 1618       65
12  8 1992 1725       66
12  8 1992 1730       67
12  8 1992 1732       68
12  8 1992 1735       69
12  8 1992 1743       70
12  8 1992 1750       71
12  8 1992 1754       72
12  8 1992 1757       73
12  8 1992 1800       74
12  8 1992 1809       75
12  8 1992 1819       76
12  8 1992 1828       77
12  8 1992 1907       78
12  8 1992 1911       79
12  8 1992 1914       80
12  8 1992 1916       81
12  8 1992 1921       82
