"pde21293.dat"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1994/01/14 at 09:31:31"
"By                   : John "
"Start date           : 12-09-93-13:36"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence"
"Note : On 12-27-2016 Nat Kale replaced all YR values below row 252 with 1994"

"MT" "DY" "YR" "HHMM" "TOTAL   "

12  9 1993 1338        1
12  9 1993 1343        2
12  9 1993 1347        3
12  9 1993 1352        4
12  9 1993 1354        5
12  9 1993 1356        6
12  9 1993 1358        7
12  9 1993 1400        8
12  9 1993 1405        9
12  9 1993 1410       10
12  9 1993 1415       11
12  9 1993 1431       12
12  9 1993 1559       13
12  9 1993 1611       14
12  9 1993 1628       15
12  9 1993 1653       16
12  9 1993 1753       17
12  9 1993 1802       18
12  9 1993 1807       19
12  9 1993 1810       20
12  9 1993 1811       21
12  9 1993 1812       22
12  9 1993 1815       23
12  9 1993 1817       24
12  9 1993 1821       25
12  9 1993 1830       26
12  9 1993 1837       27
12  9 1993 1838       28
12  9 1993 1841       29
12  9 1993 1845       30
12  9 1993 1850       31
12  9 1993 1853       32
12  9 1993 1854       33
12  9 1993 1856       34
12  9 1993 1858       35
12  9 1993 1900       36
12  9 1993 1915       37
12  9 1993 1933       38
12  9 1993 1937       39
12  9 1993 1940       40
12  9 1993 1947       41
12  9 1993 1953       42
12  9 1993 2006       43
12  9 1993 2112       44
12 10 1993  437       45
12 10 1993  502       46
12 10 1993  508       47
12 10 1993  510       48
12 10 1993  514       49
12 10 1993  519       50
12 10 1993  523       51
12 10 1993  526       52
12 10 1993  530       53
12 10 1993  534       54
12 10 1993  538       55
12 10 1993  541       56
12 10 1993  545       57
12 10 1993  549       58
12 10 1993  552       59
12 10 1993  554       60
12 10 1993  557       61
12 10 1993  601       62
12 10 1993  605       63
12 10 1993  607       64
12 10 1993  608       65
12 10 1993  610       66
12 10 1993  611       67
12 10 1993  612       68
12 10 1993  614       69
12 10 1993  615       70
12 10 1993  617       71
12 10 1993  618       72
12 10 1993  619       73
12 10 1993  620       74
12 10 1993  622       75
12 10 1993  624       76
12 10 1993  626       77
12 10 1993  629       78
12 10 1993  633       79
12 10 1993  635       80
12 10 1993  637       81
12 10 1993  639       82
12 10 1993  642       83
