"PDE21294.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1995/01/18 at 09:11:57"
"By                   : VICENCIO"
"Start date           : 12-12-94-10:22"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE"
"Note : "

"MT" "DY" "YR" "HHMM" "TOTAL   "

12 12 1994 1113        1
12 13 1994 1001        2
12 14 1994 1201        3
12 14 1994 1310        4
12 14 1994 1439        5
12 14 1994 1609        6
12 14 1994 1628        7
12 14 1994 1648        8
12 14 1994 1735        9
12 14 1994 1742       10
12 14 1994 1751       11
12 14 1994 1756       12
12 14 1994 1848       13
12 14 1994 2240       14
12 14 1994 2245       15
12 14 1994 2308       16
12 15 1994   51       17
12 15 1994 1434       18
12 15 1994 1441       19
12 15 1994 1447       20
12 15 1994 1453       21
12 15 1994 1501       22
12 15 1994 1631       23
12 15 1994 1706       24
12 15 1994 1709       25
12 15 1994 1716       26
12 15 1994 1719       27
12 15 1994 1722       28
12 15 1994 1725       29
12 15 1994 1727       30
12 15 1994 1733       31
12 15 1994 1818       32
12 15 1994 1832       33
12 15 1994 1834       34
12 15 1994 1838       35
12 15 1994 1851       36
12 15 1994 1857       37
12 15 1994 2009       38
12 15 1994 2106       39
12 15 1994 2110       40
12 15 1994 2114       41
12 15 1994 2119       42
12 15 1994 2122       43
12 15 1994 2126       44
12 15 1994 2129       45
12 15 1994 2139       46
12 15 1994 2154       47
12 15 1994 2207       48
12 15 1994 2218       49
12 15 1994 2223       50
12 15 1994 2230       51
12 15 1994 2308       52
12 15 1994 2320       53
12 16 1994  249       54
12 16 1994  256       55
12 16 1994  345       56
12 16 1994  349       57
12 16 1994  351       58
12 16 1994  354       59
12 16 1994  357       60
12 16 1994  401       61
12 16 1994  443       62
12 16 1994  505       63
12 16 1994  612       64
12 16 1994  719       65
12 16 1994  726       66
12 16 1994  731       67
12 16 1994  736       68
12 16 1994  740       69
12 16 1994  744       70
12 16 1994  747       71
12 16 1994  758       72
12 16 1994 1025       73
12 16 1994 1030       74
12 16 1994 1038       75
12 16 1994 1142       76
12 16 1994 1321       77
12 16 1994 1329       78
12 16 1994 1336       79
12 16 1994 1405       80
12 16 1994 1528       81
12 16 1994 1537       82
12 16 1994 1549       83
12 16 1994 1555       84
12 16 1994 1601       85
12 16 1994 1606       86
12 16 1994 1611       87
12 16 1994 1620       88
12 16 1994 1627       89
12 16 1994 1632       90
12 16 1994 1637       91
12 16 1994 1644       92
12 16 1994 1655       93
12 16 1994 1711       94
12 16 1994 1727       95
12 16 1994 1741       96
12 16 1994 1801       97
12 16 1994 1820       98
12 16 1994 1854       99
12 16 1994 1903      100
12 16 1994 1916      101
12 16 1994 1924      102
12 16 1994 1933      103
12 16 1994 1938      104
12 16 1994 1941      105
12 16 1994 1943      106
12 16 1994 1947      107
12 16 1994 1953      108
12 16 1994 1959      109
12 16 1994 2009      110
12 16 1994 2017      111
12 16 1994 2027      112
12 16 1994 2038      113
12 16 1994 2105      114
12 16 1994 2120      115
12 16 1994 2127      116
12 16 1994 2135      117
12 16 1994 2141      118
12 16 1994 2143      119
12 16 1994 2146      120
12 16 1994 2150      121
12 16 1994 2156      122
12 16 1994 2203      123
12 16 1994 2212      124
12 16 1994 2221      125
12 16 1994 2229      126
12 16 1994 2235      127
12 16 1994 2249      128
12 16 1994 2301      129
12 16 1994 2314      130
12 16 1994 2317      131
12 16 1994 2320      132
12 16 1994 2323      133
12 16 1994 2329      134
12 16 1994 2338      135
12 16 1994 2354      136
12 17 1994   12      137
12 17 1994   23      138
12 17 1994   30      139
12 17 1994   36      140
12 17 1994   46      141
12 17 1994   57      142
12 17 1994  103      143
12 17 1994  106      144
12 17 1994  111      145
12 17 1994  116      146
12 17 1994  124      147
12 17 1994  134      148
12 17 1994  354      149
12 17 1994  518      150
12 17 1994  707      151
12 17 1994  711      152
12 17 1994  717      153
12 17 1994  723      154
12 17 1994  815      155
12 17 1994  914      156
12 17 1994  953      157
12 17 1994 1338      158
12 17 1994 1347      159
12 17 1994 1359      160
12 17 1994 1413      161
12 17 1994 1439      162
12 17 1994 1451      163
12 17 1994 1459      164
12 17 1994 1507      165
12 17 1994 1519      166
12 17 1994 1529      167
12 17 1994 1542      168
12 17 1994 2026      169
12 17 1994 2215      170
12 17 1994 2219      171
12 17 1994 2229      172
12 17 1994 2236      173
12 17 1994 2244      174
12 17 1994 2248      175
12 17 1994 2258      176
12 17 1994 2301      177
12 17 1994 2305      178
12 17 1994 2308      179
12 17 1994 2313      180
12 17 1994 2318      181
12 17 1994 2321      182
12 17 1994 2326      183
12 17 1994 2332      184
12 17 1994 2338      185
12 17 1994 2341      186
12 17 1994 2343      187
12 17 1994 2345      188
12 17 1994 2347      189
12 18 1994    0      190
12 18 1994  712      191
12 18 1994  736      192
12 18 1994  835      193
12 18 1994  840      194
12 18 1994  846      195
12 18 1994 1044      196
12 18 1994 1118      197
12 18 1994 1234      198
12 18 1994 1240      199
12 18 1994 1243      200
12 18 1994 1245      201
12 18 1994 1247      202
12 18 1994 1249      203
12 18 1994 1250      204
12 18 1994 1251      205
12 18 1994 1253      206
12 18 1994 1254      207
12 18 1994 1256      208
12 19 1994  158      209
12 19 1994  931      210
12 19 1994 1052      211
12 19 1994 1130      212
