"pde21295.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1996/01/17 at 09:50:47"
"By                   : Thomas     "
"Start date           : 12-12-95-09:15"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : Lake Lawrence, Pleasant Beach road"
"Note : On 12/27/2016 Nat Kale replaced YR values below row 413 with 1996"

"MT" "DY" "YR" "HHMM" "TOTAL   "

12 12 1995  918        1
12 12 1995 1545        2
12 12 1995 1554        3
12 12 1995 1601        4
12 12 1995 1607        5
12 12 1995 1615        6
12 12 1995 1621        7
12 12 1995 1634        8
12 12 1995 1643        9
12 12 1995 1651       10
12 12 1995 1714       11
12 12 1995 1716       12
12 12 1995 1718       13
12 12 1995 1724       14
12 12 1995 1730       15
12 12 1995 1735       16
12 12 1995 1737       17
12 12 1995 1744       18
12 12 1995 1749       19
12 12 1995 1754       20
12 12 1995 1757       21
12 12 1995 1759       22
12 12 1995 1801       23
12 12 1995 1804       24
12 12 1995 1809       25
12 12 1995 1813       26
12 12 1995 1815       27
12 12 1995 1818       28
12 12 1995 1823       29
12 12 1995 1828       30
12 12 1995 1838       31
12 12 1995 1843       32
12 12 1995 1847       33
12 12 1995 1855       34
12 12 1995 1900       35
12 12 1995 1909       36
12 12 1995 1915       37
12 12 1995 1919       38
12 12 1995 1924       39
12 12 1995 1926       40
12 12 1995 1931       41
12 12 1995 1936       42
12 12 1995 1941       43
12 12 1995 1945       44
12 12 1995 1953       45
12 12 1995 2002       46
12 12 1995 2014       47
12 12 1995 2018       48
12 12 1995 2021       49
12 12 1995 2023       50
12 12 1995 2026       51
12 12 1995 2029       52
12 12 1995 2032       53
12 12 1995 2035       54
12 12 1995 2037       55
12 12 1995 2043       56
12 12 1995 2057       57
12 12 1995 2105       58
12 12 1995 2123       59
12 12 1995 2143       60
12 12 1995 2156       61
12 12 1995 2201       62
12 12 1995 2206       63
12 12 1995 2248       64
12 12 1995 2254       65
12 12 1995 2258       66
12 12 1995 2305       67
12 12 1995 2309       68
12 12 1995 2311       69
12 12 1995 2321       70
12 12 1995 2324       71
12 12 1995 2332       72
12 12 1995 2340       73
12 12 1995 2358       74
12 13 1995    5       75
12 13 1995   10       76
12 13 1995   12       77
12 13 1995  230       78
12 13 1995  330       79
12 13 1995  349       80
12 13 1995  354       81
12 13 1995  357       82
12 13 1995  359       83
12 13 1995  400       84
12 13 1995  402       85
12 13 1995  404       86
12 13 1995  406       87
12 13 1995  507       88
12 13 1995  509       89
12 13 1995  510       90
12 13 1995  512       91
12 13 1995  514       92
12 13 1995  516       93
12 13 1995  519       94
12 13 1995  625       95
12 13 1995  628       96
12 13 1995  630       97
12 13 1995  638       98
12 13 1995  641       99
12 13 1995  718      100
12 13 1995  723      101
12 13 1995  741      102
12 13 1995 1020      103
12 13 1995 1024      104
12 13 1995 1037      105
12 13 1995 1040      106
12 13 1995 1043      107
12 13 1995 1052      108
12 13 1995 1059      109
12 13 1995 1128      110
12 13 1995 1132      111
12 13 1995 1138      112
12 13 1995 1141      113
12 13 1995 1154      114
12 13 1995 1214      115
12 13 1995 1216      116
12 13 1995 1218      117
12 13 1995 1221      118
12 13 1995 1223      119
12 13 1995 1230      120
12 13 1995 1251      121
12 13 1995 1622      122
12 13 1995 1712      123
12 14 1995  253      124
