"count","sum","year","month"
840,7.37,"1992","01"
900,4.99,"1992","02"
372,1.34,"1992","03"
1004,6.24,"1992","04"
132,0.39,"1992","05"
216,1.48,"1992","06"
120,0.43,"1992","07"
84,0.92,"1992","08"
216,3.1,"1992","09"
552,3.77,"1992","10"
1104,8.86,"1992","11"
1224,6.98,"1992","12"
960,6.1,"1993","01"
144,0.2,"1993","02"
912,5.44,"1993","03"
1236,7.23,"1993","04"
684,5.76,"1993","05"
432,2.23,"1993","06"
348,1.68,"1993","07"
132,0.38,"1993","08"
420,1.89,"1993","10"
564,4.4,"1993","11"
1068,7.98,"1993","12"
888,4.56,"1994","01"
1176,7.86,"1994","02"
828,5.6,"1994","03"
636,2.39,"1994","04"
348,1.57,"1994","05"
468,2.04,"1994","06"
48,0.25,"1994","07"
156,0.72,"1994","08"
204,1.36,"1994","09"
792,10.01,"1994","10"
1296,9.68,"1994","11"
1284,14.4,"1994","12"
1176,6.69,"1995","01"
672,7.4,"1995","02"
1068,8.2,"1995","03"
936,4.22,"1995","04"
360,1.21,"1995","05"
312,1.48,"1995","06"
132,2.22,"1995","07"
264,1.38,"1995","08"
468,2.22,"1995","09"
756,7.82,"1995","10"
1008,8.52,"1995","12"
1248,10.77,"1996","01"
984,12.65,"1996","02"
768,4.03,"1996","03"
1272,6.89,"1996","04"
696,4.07,"1996","05"
276,1.88,"1996","06"
216,1.01,"1996","07"
132,0.55,"1996","08"
504,3.42,"1996","09"
996,9.04,"1996","10"
1392,10.17,"1996","11"
1608,12.13,"1996","12"
984,6.05,"1997","01"
924,6.68,"1997","02"
1476,13.94,"1997","03"
12,0.01,"1997","04"
660,3.76,"1997","05"
612,2.95,"1997","06"
180,1.53,"1997","07"
324,2.55,"1997","08"
672,6.14,"1997","09"
1044,9.65,"1997","10"
1152,7.89,"1997","11"
960,7.28,"1997","12"
1344,8.52,"1998","01"
1140,5.78,"1998","02"
1032,7.04,"1998","03"
564,1.38,"1998","04"
588,2.49,"1998","05"
204,1.01,"1998","06"
132,0.2,"1998","07"
24,0.05,"1998","08"
132,0.42,"1998","09"
768,4.09,"1998","10"
156,0.54,"1998","11"
996,10.48,"1998","12"
1428,15.37,"1999","01"
600,6.11,"1999","02"
1320,8.14,"1999","03"
636,2.01,"1999","04"
636,2.89,"1999","05"
420,1.66,"1999","06"
168,0.39,"1999","07"
240,0.77,"1999","08"
96,0.13,"1999","09"
660,5.44,"1999","10"
1368,13.1,"1999","11"
1380,14.61,"1999","12"
324,2.4,"2000","01"
