"days","total.precip","max.flag"
1994-09-09,0.2,"Normal"
1994-09-10,0.04,"Normal"
1994-09-11,0,"Normal"
1994-09-12,0.01,"Normal"
1994-09-13,0,"Normal"
1994-09-14,0.37,"Normal"
1994-09-15,0,"Normal"
1994-09-16,0,"Normal"
1994-09-17,0,"Normal"
1994-09-18,0,"Normal"
1994-09-19,0,"Normal"
1994-09-20,0,"Normal"
1994-09-21,0,"Normal"
1994-09-22,0,"Normal"
1994-09-23,0,"Normal"
1994-09-24,0,"Normal"
1994-09-25,0.01,"Normal"
1994-09-26,0,"Normal"
1994-09-27,0,"Normal"
1994-09-28,0,"Normal"
1994-09-29,0,"Normal"
1994-09-30,0,"Normal"
1994-10-01,0.04,"UNK"
1994-10-02,0,"UNK"
1994-10-03,0,"UNK"
1994-10-04,0,"UNK"
1994-10-05,0,"UNK"
1994-10-06,0,"UNK"
1994-10-07,0,"UNK"
1994-10-08,0,"UNK"
1994-10-09,0,"UNK"
1994-10-10,0,"UNK"
1994-10-11,0,"UNK"
1994-10-12,0,"UNK"
1994-10-13,0,"UNK"
1994-10-14,0,"UNK"
1994-10-15,0,"UNK"
1994-10-16,0,"UNK"
1994-10-17,0,"UNK"
1994-10-18,0,"UNK"
1994-10-19,0,"UNK"
1994-10-20,0,"UNK"
1994-10-21,0,"UNK"
1994-10-22,0,"UNK"
1994-10-23,0,"UNK"
1994-10-24,0,"UNK"
1994-10-25,0,"UNK"
1994-10-26,0,"UNK"
1994-10-27,0,"UNK"
1994-10-28,0,"UNK"
1994-10-29,0,"UNK"
1994-10-30,0,"UNK"
1994-10-31,0,"UNK"
1994-11-01,0,"UNK"
1994-11-02,0,"UNK"
1994-11-03,0,"UNK"
1994-11-04,0,"UNK"
1994-11-05,0,"UNK"
1994-11-06,0,"UNK"
1994-11-07,0.02,"Normal"
1994-11-08,0.12,"Normal"
1994-11-09,0.39,"Normal"
1994-11-10,0,"Normal"
1994-11-11,0.01,"Normal"
1994-11-12,0,"Normal"
1994-11-13,0.07,"Normal"
1994-11-14,0.09,"Normal"
1994-11-15,0.34,"Normal"
1994-11-16,0.16,"Normal"
1994-11-17,0.02,"Normal"
1994-11-18,0,"Normal"
1994-11-19,0.87,"Normal"
1994-11-20,0.01,"Normal"
1994-11-21,0,"Normal"
1994-11-22,0.02,"Normal"
1994-11-23,0.3,"Normal"
1994-11-24,0.05,"Normal"
1994-11-25,0.54,"Normal"
1994-11-26,0.2,"Normal"
1994-11-27,0.18,"Normal"
1994-11-28,0.25,"Normal"
1994-11-29,0.92,"Normal"
1994-11-30,2.37,"Normal"
1994-12-01,0.5,"Normal"
1994-12-02,0.11,"Normal"
1994-12-03,0.49,"Normal"
1994-12-04,0.03,"Normal"
1994-12-05,0.01,"Normal"
1994-12-06,0.11,"Normal"
1994-12-07,0.02,"Normal"
1994-12-08,1.06,"Normal"
1994-12-09,0.01,"Normal"
1994-12-10,0.04,"Normal"
1994-12-11,0.22,"Normal"
1994-12-12,0.01,"Normal"
1994-12-13,0,"Normal"
1994-12-14,0.34,"Normal"
1994-12-15,0.35,"Normal"
1994-12-16,0.88,"Normal"
1994-12-17,0.79,"Normal"
1994-12-18,0.34,"Normal"
1994-12-19,1.38,"Normal"
1994-12-20,1.43,"Normal"
1994-12-21,0.02,"Normal"
1994-12-22,0,"Normal"
1994-12-23,0,"Normal"
1994-12-24,0.01,"Normal"
1994-12-25,0.42,"Normal"
1994-12-26,2.48,"Normal"
1994-12-27,1.17,"Normal"
1994-12-28,0.05,"Normal"
1994-12-29,0.01,"Normal"
1994-12-30,0.01,"Normal"
1994-12-31,0,"Normal"
1995-01-01,0,"Normal"
1995-01-02,0,"Normal"
1995-01-03,0,"Normal"
1995-01-04,0.01,"Normal"
1995-01-05,0,"Normal"
1995-01-06,0.09,"Normal"
1995-01-07,0.3,"Normal"
1995-01-08,0.09,"Normal"
1995-01-09,0.49,"Normal"
1995-01-10,0.19,"Normal"
1995-01-11,0.14,"Normal"
1995-01-12,0.1,"Normal"
1995-01-13,0.43,"Normal"
1995-01-14,0.34,"Normal"
1995-01-15,0.02,"Normal"
1995-01-16,0.03,"Normal"
1995-01-17,0.15,"Normal"
1995-01-18,0.21,"Normal"
1995-01-19,0.01,"Normal"
1995-01-20,0,"Normal"
1995-01-21,0.01,"Normal"
1995-01-22,0,"Normal"
1995-01-23,0,"Normal"
1995-01-24,0,"Normal"
1995-01-25,0.01,"Normal"
1995-01-26,0.12,"Normal"
1995-01-27,0,"Normal"
1995-01-28,0.63,"Normal"
1995-01-29,0.5,"Normal"
1995-01-30,0.91,"Normal"
1995-01-31,1.51,"Normal"
1995-02-01,0.2,"Normal"
1995-02-02,0,"Normal"
1995-02-03,0.02,"Normal"
1995-02-04,0,"Normal"
1995-02-05,0,"Normal"
1995-02-06,0.01,"Normal"
1995-02-07,0,"Normal"
1995-02-08,0,"Normal"
1995-02-09,0,"Normal"
1995-02-10,0,"Normal"
1995-02-11,0.09,"Normal"
1995-02-12,0.11,"Normal"
1995-02-13,0.28,"Normal"
1995-02-14,0.01,"Normal"
1995-02-15,0.41,"Normal"
