"count","sum","year","month"
252,1.42,"1994","09"
684,8.27,"1994","10"
996,6.62,"1994","11"
1164,7.74,"1994","12"
1224,5.71,"1995","01"
600,5.06,"1995","02"
984,5.2,"1995","03"
720,3.29,"1995","04"
288,0.58,"1995","05"
48,0.14,"1995","08"
348,1.82,"1995","09"
516,4.13,"1995","10"
660,3.99,"1995","12"
684,4.17,"1996","01"
864,11.3,"1996","02"
684,2.81,"1996","03"
1116,5.78,"1996","04"
756,3.46,"1996","05"
276,1.62,"1996","06"
204,1.21,"1996","07"
96,0.25,"1996","08"
408,1.86,"1996","09"
804,5.97,"1996","10"
1272,8.02,"1996","11"
1452,13.95,"1996","12"
912,5.66,"1997","01"
756,4.5,"1997","02"
1284,9.2,"1997","03"
456,1.03,"1997","04"
84,0.09,"1997","05"
468,3.94,"1997","06"
228,1.02,"1997","07"
276,1.36,"1997","08"
24,0.03,"1997","09"
816,8.29,"1997","10"
48,0.15,"1997","11"
672,4.28,"1997","12"
1332,9.06,"1998","01"
1020,3.59,"1998","02"
492,2.77,"1998","03"
456,1.41,"1998","04"
576,2.01,"1998","05"
252,1.83,"1998","06"
108,0.19,"1998","07"
24,0.09,"1998","08"
108,0.46,"1998","09"
636,2.83,"1998","10"
120,0.44,"1998","11"
768,7.44,"1998","12"
744,6.96,"1999","02"
1008,3.87,"1999","03"
192,1.28,"1999","04"
192,0.82,"1999","05"
492,1.93,"1999","06"
108,0.2,"1999","07"
120,0.34,"1999","08"
96,0.57,"1999","09"
588,2.56,"1999","10"
504,4.57,"1999","11"
672,4.57,"1999","12"
1440,12.12,"2000","01"
