"days","total.precip","max.flag"
1992-02-18,0.08,"Normal"
1992-02-19,0.42,"Normal"
1992-02-20,0.22,"Normal"
1992-02-21,0.53,"Normal"
1992-02-22,0.17,"Normal"
1992-02-23,0.22,"Normal"
1992-02-24,0.08,"Normal"
1992-02-25,0,"Normal"
1992-02-26,0,"Normal"
1992-02-27,0,"Normal"
1992-02-28,0,"Normal"
1992-02-29,0,"Normal"
1992-03-01,0.01,"Normal"
1992-03-02,0,"Normal"
1992-03-03,0.19,"Normal"
1992-03-04,0.21,"Normal"
1992-03-05,0.21,"Normal"
1992-03-06,0,"Normal"
1992-03-07,0.08,"Normal"
1992-03-08,0,"Normal"
1992-03-09,0.01,"Normal"
1992-03-10,0,"Normal"
1992-03-11,0,"Normal"
1992-03-12,0,"Normal"
1992-03-13,0,"Normal"
1992-03-14,0,"Normal"
1992-03-15,0.05,"Normal"
1992-03-16,0.21,"Normal"
1992-03-17,0.15,"Normal"
1992-03-18,0,"Normal"
1992-03-19,0,"Normal"
1992-03-20,0,"Normal"
1992-03-21,0,"Normal"
1992-03-22,0,"Normal"
1992-03-23,0,"Normal"
1992-03-24,0,"Normal"
1992-03-25,0.22,"Normal"
1992-03-26,0.08,"Normal"
1992-03-27,0.1,"Normal"
1992-03-28,0,"Normal"
1992-03-29,0,"Normal"
1992-03-30,0,"Normal"
1992-03-31,0,"Normal"
1992-04-01,0,"Normal"
1992-04-02,0,"Normal"
1992-04-03,0.08,"Normal"
1992-04-04,0.33,"Normal"
1992-04-05,0.28,"Normal"
1992-04-06,0.02,"Normal"
1992-04-07,0.01,"Normal"
1992-04-08,0,"Normal"
1992-04-09,0.41,"Normal"
1992-04-10,0.01,"Normal"
1992-04-11,0.24,"Normal"
1992-04-12,0.1,"Normal"
1992-04-13,0.05,"Normal"
1992-04-14,0,"Normal"
1992-04-15,0.11,"Normal"
1992-04-16,1.69,"Normal"
1992-04-17,0.7,"Normal"
1992-04-18,0,"Normal"
1992-04-19,0,"Normal"
1992-04-20,0.06,"Normal"
1992-04-21,0.48,"Normal"
1992-04-22,0.01,"Normal"
1992-04-23,0,"Normal"
1992-04-24,0,"Normal"
1992-04-25,0,"Normal"
1992-04-26,0.14,"Normal"
1992-04-27,0.02,"Normal"
1992-04-28,0.11,"Normal"
1992-04-29,0.72,"Normal"
1992-04-30,0.01,"Normal"
1992-05-01,0,"Normal"
1992-05-02,0,"Normal"
1992-05-03,0,"Normal"
