"count","sum","year","month"
336,1.72,"1992","02"
372,1.52,"1992","03"
860,5.58,"1992","04"
60,0.06,"1992","05"
240,1.71,"1992","06"
108,0.31,"1992","07"
72,0.92,"1992","08"
252,1.97,"1992","09"
492,3.06,"1992","10"
780,5.35,"1992","11"
888,4.96,"1992","12"
732,4.67,"1993","01"
72,0.19,"1993","02"
744,4.25,"1993","03"
1368,6.41,"1993","04"
600,4.73,"1993","05"
408,2.31,"1993","06"
372,1.77,"1993","07"
84,0.24,"1993","08"
36,0.04,"1993","09"
444,1.95,"1993","10"
504,2.56,"1993","11"
900,4.43,"1993","12"
816,2.89,"1994","01"
1032,6.56,"1994","02"
804,5.42,"1994","03"
540,2.55,"1994","04"
348,1.21,"1994","05"
492,3,"1994","06"
60,0.3,"1994","07"
132,0.62,"1994","08"
300,1.59,"1994","09"
636,8.12,"1994","10"
1068,6.91,"1994","11"
1152,10.08,"1994","12"
1428,7.93,"1995","01"
660,6.92,"1995","02"
972,5.74,"1995","03"
660,3.18,"1995","04"
336,1.68,"1995","05"
312,1.5,"1995","06"
108,1.34,"1995","07"
252,1.57,"1995","08"
408,2.56,"1995","09"
732,5.65,"1995","10"
756,7.08,"1995","11"
1152,8.44,"1995","12"
780,4.54,"1996","01"
936,11.43,"1996","02"
732,3.35,"1996","03"
984,7.39,"1996","04"
648,3.04,"1996","05"
216,1.83,"1996","06"
204,1.03,"1996","07"
108,0.42,"1996","08"
492,3.54,"1996","09"
852,5.99,"1996","10"
12,0.01,"1996","11"
744,4.05,"1997","02"
1320,10.15,"1997","03"
624,3.59,"1997","04"
444,2.67,"1997","06"
168,0.91,"1997","07"
288,1.73,"1997","08"
576,3.95,"1997","09"
840,8.97,"1997","10"
1020,6.52,"1997","11"
768,4.87,"1997","12"
1380,11.29,"1998","01"
972,4.54,"1998","02"
876,5.61,"1998","03"
456,1.3,"1998","04"
528,2.08,"1998","05"
180,0.97,"1998","06"
96,0.23,"1998","07"
12,0.01,"1998","08"
120,0.43,"1998","09"
636,2.9,"1998","10"
1476,14.59,"1998","11"
1200,12.91,"1998","12"
1248,13.5,"1999","01"
720,7.49,"1999","02"
1092,6.86,"1999","03"
528,1.64,"1999","04"
804,3.01,"1999","05"
744,3.06,"1999","06"
192,0.68,"1999","07"
264,1.21,"1999","08"
108,0.23,"1999","09"
600,3.32,"1999","10"
1308,12.27,"1999","11"
1104,7.71,"1999","12"
552,3.54,"2000","01"
