"days","total.precip","max.flag"
1997-09-12,0.21,"Normal"
1997-09-13,0.31,"Normal"
1997-09-14,0.24,"Normal"
1997-09-15,0.94,"Normal"
1997-09-16,1.12,"Normal"
1997-09-17,1.51,"Normal"
1997-09-18,0.01,"Normal"
1997-09-19,0,"Normal"
1997-09-20,0,"Normal"
1997-09-21,0,"Normal"
1997-09-22,0,"Normal"
1997-09-23,0,"Normal"
1997-09-24,0,"Normal"
1997-09-25,0.46,"Normal"
1997-09-26,0.83,"Normal"
1997-09-27,0,"Normal"
1997-09-28,0,"Normal"
1997-09-29,0,"Normal"
1997-09-30,0.28,"Normal"
1997-10-01,0.91,"Normal"
1997-10-02,0.23,"Normal"
1997-10-03,0.89,"Normal"
1997-10-04,0.96,"Normal"
1997-10-05,0,"Normal"
1997-10-06,0,"Normal"
1997-10-07,0,"Normal"
1997-10-08,0.66,"Normal"
1997-10-09,0.37,"Normal"
1997-10-10,0.16,"Normal"
1997-10-11,0,"Normal"
1997-10-12,0.1,"Normal"
1997-10-13,0,"Normal"
1997-10-14,0.21,"Normal"
1997-10-15,0,"Normal"
1997-10-16,0.01,"Normal"
1997-10-17,0.01,"Normal"
1997-10-18,0,"Normal"
1997-10-19,0,"Normal"
1997-10-20,0,"Normal"
1997-10-21,0,"Normal"
1997-10-22,0,"Normal"
1997-10-23,0.01,"Normal"
1997-10-24,0,"Normal"
1997-10-25,0,"Normal"
1997-10-26,0.08,"Normal"
1997-10-27,0,"Normal"
1997-10-28,0.86,"Normal"
1997-10-29,1.45,"Normal"
1997-10-30,1.69,"Normal"
1997-10-31,0.2,"Normal"
1997-11-01,0,"Normal"
1997-11-02,0.01,"Normal"
1997-11-03,0.29,"Normal"
1997-11-04,0.01,"Normal"
1997-11-05,0.03,"Normal"
1997-11-06,0.26,"Normal"
1997-11-07,0.33,"FAIL"
1997-11-08,0,"FAIL"
1997-11-09,0,"FAIL"
1997-11-10,0,"FAIL"
1997-11-11,0,"FAIL"
1997-11-12,0,"FAIL"
1997-11-13,0,"FAIL"
1997-11-14,0,"FAIL"
1997-11-15,0,"FAIL"
1997-11-16,0,"FAIL"
1997-11-17,0,"FAIL"
1997-11-18,0,"FAIL"
1997-11-19,0,"FAIL"
1997-11-20,0,"FAIL"
1997-11-21,0,"FAIL"
1997-11-22,0,"FAIL"
1997-11-23,0,"FAIL"
1997-11-24,0,"FAIL"
1997-11-25,0,"FAIL"
1997-11-26,0,"FAIL"
1997-11-27,0,"FAIL"
1997-11-28,0,"FAIL"
1997-11-29,0,"FAIL"
1997-11-30,0,"FAIL"
1997-12-01,0,"FAIL"
1997-12-02,0,"FAIL"
1997-12-03,0,"FAIL"
1997-12-04,0,"FAIL"
1997-12-05,0,"FAIL"
