"count","sum","year","month"
60,0.11,"1990","06"
108,0.38,"1990","07"
252,1.26,"1990","08"
36,0.16,"1990","09"
912,6.63,"1990","10"
1284,15.48,"1990","11"
1044,6.61,"1990","12"
1308,8.4,"1991","01"
876,8.34,"1991","02"
924,5.92,"1991","03"
768,10.45,"1991","04"
528,2.41,"1991","05"
264,1.95,"1991","06"
144,0.87,"1991","07"
384,3.19,"1991","08"
24,0.02,"1991","09"
372,2.12,"1991","10"
1152,9.36,"1991","11"
1416,6.32,"1991","12"
1188,11.76,"1992","01"
948,5.3,"1992","02"
396,1.41,"1992","03"
872,5.5,"1992","04"
108,0.19,"1992","05"
276,1.53,"1992","06"
132,0.51,"1992","07"
96,0.9,"1992","08"
228,2.3,"1992","09"
564,3.46,"1992","10"
888,7.74,"1992","11"
1128,7.61,"1992","12"
684,5.43,"1993","01"
168,0.49,"1993","02"
816,6.31,"1993","03"
1440,7.5,"1993","04"
672,4.69,"1993","05"
408,2.44,"1993","06"
432,2.36,"1993","07"
168,0.32,"1993","08"
12,0.01,"1993","09"
432,2.14,"1993","10"
480,3.18,"1993","11"
1020,8.37,"1993","12"
840,5.07,"1994","01"
1092,7.43,"1994","02"
780,4.37,"1994","03"
564,2.39,"1994","04"
456,2.41,"1994","05"
456,2.23,"1994","06"
84,0.39,"1994","07"
180,1.37,"1994","08"
252,1.72,"1994","09"
636,7.52,"1994","10"
1092,10.42,"1994","11"
1248,18.35,"1994","12"
1236,8.06,"1995","01"
756,8.21,"1995","02"
1080,8.91,"1995","03"
732,3.38,"1995","04"
216,0.91,"1995","05"
240,1.08,"1995","06"
144,1.38,"1995","07"
252,1.43,"1995","08"
312,1.54,"1995","09"
816,6.96,"1995","10"
1440,16.13,"1995","11"
1140,9.29,"1995","12"
1188,10.56,"1996","01"
1020,12.83,"1996","02"
816,3.58,"1996","03"
1044,11.14,"1996","04"
696,3.84,"1996","05"
264,1.29,"1996","06"
168,0.4,"1996","07"
96,0.16,"1996","08"
468,2.44,"1996","09"
804,7.4,"1996","10"
1224,7.24,"1996","11"
1632,14.31,"1996","12"
972,6.17,"1997","01"
828,5.75,"1997","02"
1308,13.88,"1997","03"
792,5.33,"1997","04"
672,3.83,"1997","05"
660,3.15,"1997","06"
168,1.22,"1997","07"
276,1.83,"1997","08"
684,6.64,"1997","09"
972,10.41,"1997","10"
1104,6.47,"1997","11"
840,6.12,"1997","12"
1548,13.43,"1998","01"
1224,5.87,"1998","02"
984,5.92,"1998","03"
372,1,"1998","04"
588,1.91,"1998","05"
240,1.35,"1998","06"
132,0.17,"1998","07"
144,0.64,"1998","09"
768,4.48,"1998","10"
1632,17.36,"1998","11"
912,12.53,"1998","12"
1368,15.34,"1999","01"
564,7.11,"1999","02"
1272,7.77,"1999","03"
528,1.85,"1999","04"
588,2.15,"1999","05"
396,1.81,"1999","06"
84,0.17,"1999","07"
144,0.45,"1999","08"
48,0.13,"1999","09"
672,4.75,"1999","10"
1368,13.77,"1999","11"
1332,12.79,"1999","12"
516,4.01,"2000","01"
