"count","sum","year","month"
312,7.02,"1988","03"
344,6.1,"1988","04"
360,4.19,"1988","05"
168,2.65,"1988","06"
84,0.55,"1988","07"
48,0.54,"1988","08"
108,2.46,"1988","09"
156,2.84,"1988","10"
516,12.82,"1988","11"
348,6.51,"1988","12"
420,7.02,"1989","01"
264,5.33,"1989","02"
888,9.94,"1989","03"
416,2.68,"1989","04"
360,1.63,"1989","05"
312,1.97,"1989","06"
288,0.83,"1989","07"
96,0.58,"1989","08"
96,0.41,"1989","09"
312,3.11,"1989","10"
792,7.99,"1989","11"
576,6.85,"1989","12"
1344,17.47,"1990","01"
1284,10.64,"1990","02"
840,4.97,"1990","03"
648,3.24,"1990","04"
468,2.22,"1990","05"
456,2.71,"1990","06"
120,0.28,"1990","07"
252,1.52,"1990","08"
24,0.06,"1990","09"
864,7.12,"1990","10"
1308,18.3,"1990","11"
876,5.58,"1990","12"
828,5.67,"1991","01"
888,8.18,"1991","02"
1020,5.7,"1991","03"
720,9.5,"1991","04"
456,2.03,"1991","05"
264,1.49,"1991","06"
108,0.43,"1991","07"
312,2.22,"1991","08"
336,2.07,"1991","10"
1164,9.15,"1991","11"
888,5.39,"1991","12"
1116,11.66,"1992","01"
876,5.03,"1992","02"
372,1.35,"1992","03"
872,5.5,"1992","04"
84,0.15,"1992","05"
216,1.48,"1992","06"
120,0.43,"1992","07"
84,0.73,"1992","08"
204,2.3,"1992","09"
540,3.45,"1992","10"
888,7.74,"1992","11"
1068,6.01,"1992","12"
744,6.97,"1993","01"
132,0.24,"1993","02"
840,5.76,"1993","03"
1416,7.14,"1993","04"
576,4.54,"1993","05"
372,1.78,"1993","06"
336,1.22,"1993","07"
60,0.19,"1993","08"
24,0.02,"1993","09"
408,1.45,"1993","10"
468,3.21,"1993","11"
1020,7.81,"1993","12"
876,4.17,"1994","01"
1140,7.92,"1994","02"
816,5.52,"1994","03"
552,2.11,"1994","04"
360,1.44,"1994","05"
372,1.67,"1994","06"
108,0.27,"1994","07"
156,0.97,"1994","08"
276,1.62,"1994","09"
384,2.13,"1994","10"
624,6.85,"1994","11"
1176,15.7,"1994","12"
1104,8.11,"1995","01"
624,7.44,"1995","02"
972,9.24,"1995","03"
624,4.17,"1995","04"
288,1.38,"1995","05"
300,1.89,"1995","06"
156,1.95,"1995","07"
264,1.5,"1995","08"
348,2.42,"1995","09"
660,6.19,"1995","10"
1416,16.98,"1995","11"
660,4.68,"1995","12"
1164,11.21,"1996","01"
960,13.03,"1996","02"
720,3.61,"1996","03"
1092,10.88,"1996","04"
552,4.12,"1996","05"
228,1.14,"1996","06"
204,1.01,"1996","07"
96,0.36,"1996","08"
360,2.15,"1996","09"
804,8.52,"1996","10"
1332,8.58,"1996","11"
1680,15.72,"1996","12"
984,6.54,"1997","01"
816,5.51,"1997","02"
1392,13.64,"1997","03"
756,5.64,"1997","04"
588,4.36,"1997","05"
516,3.33,"1997","06"
192,1.56,"1997","07"
252,2.29,"1997","08"
576,6,"1997","09"
900,9.99,"1997","10"
1020,7.45,"1997","11"
840,6.46,"1997","12"
1440,13.44,"1998","01"
1140,6,"1998","02"
948,6.61,"1998","03"
336,1.16,"1998","04"
492,2.65,"1998","05"
180,1.11,"1998","06"
60,0.13,"1998","07"
120,0.37,"1998","09"
684,4.74,"1998","10"
924,6.95,"1998","11"
852,11.28,"1998","12"
1356,13.43,"1999","01"
816,7.45,"1999","02"
1152,6.94,"1999","03"
480,1.68,"1999","04"
564,2.52,"1999","05"
336,2.07,"1999","06"
180,0.88,"1999","07"
192,0.79,"1999","08"
60,0.12,"1999","09"
372,2.07,"1999","10"
1404,14.11,"1999","11"
1152,9.44,"1999","12"
252,2.17,"2000","01"
