"count","sum","year","month"
660,4.04,"1993","11"
1056,8.53,"1993","12"
960,6.07,"1994","01"
948,5.21,"1994","02"
768,3.74,"1994","03"
564,2.39,"1994","04"
396,1.96,"1994","05"
708,3.13,"1994","06"
36,0.3,"1994","07"
180,1.45,"1994","08"
288,2.03,"1994","09"
648,11.3,"1994","10"
1344,12.64,"1994","11"
1320,20.58,"1994","12"
1752,15.36,"1995","01"
732,8.33,"1995","02"
1200,12.1,"1995","03"
864,4.52,"1995","04"
492,0.87,"1995","05"
384,1.11,"1995","06"
144,2.3,"1995","07"
312,1.92,"1995","08"
396,1.94,"1995","09"
660,6.75,"1995","10"
1032,12.04,"1995","12"
852,9.19,"1996","01"
1020,15.42,"1996","02"
852,4,"1996","03"
1272,12.78,"1996","04"
720,4.5,"1996","05"
324,1.55,"1996","06"
264,0.74,"1996","07"
120,0.37,"1996","08"
360,1.92,"1996","09"
996,8.71,"1996","10"
1464,10.73,"1996","11"
1392,12.62,"1996","12"
996,7.5,"1997","01"
972,8.21,"1997","02"
1452,15.95,"1997","03"
960,7.84,"1997","04"
696,4.1,"1997","05"
216,1.75,"1997","07"
324,1.66,"1997","08"
636,8.08,"1997","09"
1008,11.58,"1997","10"
1068,8.55,"1997","11"
1056,7.73,"1997","12"
1632,16.82,"1998","01"
1344,8.87,"1998","02"
1092,7.27,"1998","03"
420,1.52,"1998","04"
552,2.75,"1998","05"
288,0.97,"1998","06"
180,0.34,"1998","07"
12,0.01,"1998","08"
96,0.44,"1998","09"
852,5.59,"1998","10"
1368,19.54,"1998","11"
960,12.65,"1998","12"
1440,18.9,"1999","01"
336,3.52,"1999","02"
1332,11.59,"1999","03"
612,2.91,"1999","04"
840,3.58,"1999","05"
444,1.76,"1999","06"
12,0.01,"1999","07"
240,0.69,"1999","08"
96,0.18,"1999","09"
228,0.27,"1999","10"
1488,15.74,"1999","11"
1296,15.06,"1999","12"
528,5.03,"2000","01"
