"count","sum","year","month"
888,6.35,"1988","03"
740,5.17,"1988","04"
744,3.03,"1988","05"
312,2.29,"1988","06"
168,0.56,"1988","07"
84,0.24,"1988","08"
264,1.93,"1988","09"
456,2.62,"1988","10"
1512,10.5,"1988","11"
828,5.35,"1988","12"
996,5.62,"1989","01"
912,4.11,"1989","02"
1680,8.53,"1989","03"
464,2.47,"1989","04"
360,1.55,"1989","05"
324,2.05,"1989","06"
240,0.59,"1989","07"
96,0.58,"1989","08"
120,0.35,"1989","09"
516,2.37,"1989","10"
924,7.52,"1989","11"
636,5.41,"1989","12"
1236,15.53,"1990","01"
1284,8.35,"1990","02"
756,3.93,"1990","03"
612,2.63,"1990","04"
456,2.69,"1990","05"
408,2.84,"1990","06"
96,0.5,"1990","07"
288,1.62,"1990","08"
84,0.12,"1990","09"
876,6.64,"1990","10"
1308,18.19,"1990","11"
912,5.11,"1990","12"
792,5,"1991","01"
948,7.22,"1991","02"
924,6.04,"1991","03"
732,10.51,"1991","04"
456,2.21,"1991","05"
204,1.28,"1991","06"
96,0.42,"1991","07"
300,2.42,"1991","08"
24,0.02,"1991","09"
396,3.16,"1991","10"
1428,14.36,"1991","11"
972,5.98,"1991","12"
1140,11.46,"1992","01"
948,5.59,"1992","02"
504,1.83,"1992","03"
1004,9.65,"1992","04"
84,0.2,"1992","05"
204,1.24,"1992","06"
144,0.77,"1992","07"
12,0.01,"1992","08"
240,2.37,"1992","09"
540,3.45,"1992","10"
1212,10.95,"1992","11"
1032,5.83,"1992","12"
420,2.74,"1993","01"
144,0.27,"1993","02"
780,5.83,"1993","03"
1320,7.77,"1993","04"
660,4.97,"1993","05"
348,2.06,"1993","06"
264,0.84,"1993","07"
84,0.34,"1993","08"
12,0.01,"1993","09"
432,1.7,"1993","10"
540,2.83,"1993","11"
1056,7.16,"1993","12"
864,4.12,"1994","01"
1092,7.34,"1994","02"
840,5.49,"1994","03"
504,2.26,"1994","04"
348,1.42,"1994","05"
432,2.28,"1994","06"
96,0.38,"1994","07"
156,0.76,"1994","08"
288,1.71,"1994","09"
684,7.65,"1994","10"
1020,7.69,"1994","11"
1212,13.43,"1994","12"
1080,6.5,"1995","01"
708,6.49,"1995","02"
1032,7.43,"1995","03"
636,3.18,"1995","04"
288,1.61,"1995","05"
300,1.74,"1995","06"
132,1.86,"1995","07"
240,1.36,"1995","08"
348,1.66,"1995","09"
756,5.72,"1995","10"
1476,13.79,"1995","11"
1176,7.79,"1995","12"
1140,8.98,"1996","01"
972,9.26,"1996","02"
720,2.96,"1996","03"
1068,9.34,"1996","04"
576,3.71,"1996","05"
228,1.53,"1996","06"
180,0.67,"1996","07"
108,0.4,"1996","08"
396,1.85,"1996","09"
780,6.69,"1996","10"
1368,7.22,"1996","11"
1620,14.79,"1996","12"
924,5.43,"1997","01"
780,4.8,"1997","02"
1368,12.23,"1997","03"
816,5.22,"1997","04"
612,4.12,"1997","05"
576,2.98,"1997","06"
192,1.17,"1997","07"
312,1.93,"1997","08"
588,4.91,"1997","09"
948,8.97,"1997","10"
1032,6.04,"1997","11"
792,5.48,"1997","12"
1428,12.9,"1998","01"
1320,5.81,"1998","02"
732,4.8,"1998","03"
408,1.23,"1998","04"
528,2.37,"1998","05"
180,1.5,"1998","06"
84,0.18,"1998","07"
12,0.05,"1998","08"
108,0.25,"1998","09"
660,3.74,"1998","10"
1452,14.78,"1998","11"
1260,12.79,"1998","12"
1296,12.49,"1999","01"
876,8.32,"1999","02"
1176,6.64,"1999","03"
504,1.79,"1999","04"
528,1.91,"1999","05"
408,1.89,"1999","06"
156,0.74,"1999","07"
204,0.63,"1999","08"
60,0.12,"1999","09"
648,2.66,"1999","10"
1428,13.86,"1999","11"
1236,9.8,"1999","12"
516,3.51,"2000","01"
