"count","sum","year","month"
828,5.77,"1988","03"
788,4.64,"1988","04"
780,3.67,"1988","05"
324,1.73,"1988","06"
180,0.5,"1988","07"
96,0.6,"1988","08"
240,1.52,"1988","09"
444,1.93,"1988","10"
1464,9.21,"1988","11"
816,4.81,"1988","12"
924,4.83,"1989","01"
900,3.8,"1989","02"
1620,7.72,"1989","03"
476,2.58,"1989","04"
372,1.63,"1989","05"
348,1.77,"1989","06"
192,0.67,"1989","07"
84,0.49,"1989","08"
84,0.23,"1989","09"
444,2.03,"1989","10"
912,7.55,"1989","11"
696,5.68,"1989","12"
1188,14.01,"1990","01"
1140,7.62,"1990","02"
780,3.19,"1990","03"
564,2.98,"1990","04"
456,2.2,"1990","05"
300,2.53,"1990","06"
60,0.31,"1990","07"
216,1.45,"1990","08"
24,0.03,"1990","09"
756,5.16,"1990","10"
660,8.24,"1990","11"
792,3.59,"1990","12"
828,4.84,"1991","01"
852,6.47,"1991","02"
960,7.61,"1991","03"
720,13.93,"1991","04"
384,2.44,"1991","05"
348,2.06,"1991","06"
72,0.47,"1991","07"
264,3.15,"1991","08"
12,0.01,"1991","09"
396,3.16,"1991","10"
1428,14.36,"1991","11"
1032,6.7,"1991","12"
1296,15.88,"1992","01"
936,5.32,"1992","02"
396,2.13,"1992","03"
1004,9.65,"1992","04"
120,0.23,"1992","05"
252,2.75,"1992","06"
180,0.74,"1992","07"
60,1.44,"1992","08"
228,2.31,"1992","09"
624,4.53,"1992","10"
996,10.4,"1992","11"
1032,6.31,"1992","12"
768,5.99,"1993","01"
120,0.23,"1993","02"
852,6.18,"1993","03"
1428,8.32,"1993","04"
612,4.71,"1993","05"
276,1.5,"1993","06"
240,0.88,"1993","07"
48,0.11,"1993","08"
408,1.57,"1993","10"
432,2.85,"1993","11"
924,5.8,"1993","12"
792,3.5,"1994","01"
1020,6.02,"1994","02"
792,5.3,"1994","03"
468,1.84,"1994","04"
336,1.32,"1994","05"
408,1.91,"1994","06"
96,0.31,"1994","07"
180,1.57,"1994","08"
168,1.61,"1994","09"
564,7.62,"1994","10"
960,6.68,"1994","11"
1164,11.25,"1994","12"
1068,6.16,"1995","01"
684,7.06,"1995","02"
984,6.4,"1995","03"
672,2.93,"1995","04"
312,1.51,"1995","05"
276,1.34,"1995","06"
144,1.47,"1995","07"
192,1.59,"1995","08"
372,2.02,"1995","09"
888,5.17,"1995","10"
1356,14.43,"1995","11"
1188,8.25,"1995","12"
1104,7.9,"1996","01"
960,10.82,"1996","02"
720,2.97,"1996","03"
1020,8.09,"1996","04"
24,0.22,"1996","05"
240,2,"1996","06"
168,0.67,"1996","07"
132,0.44,"1996","08"
444,2.26,"1996","09"
624,4.73,"1996","10"
1572,8.64,"1996","11"
1548,13.17,"1996","12"
1200,7.35,"1997","01"
696,4.38,"1997","02"
1284,10.02,"1997","03"
768,4.39,"1997","04"
420,2.48,"1997","06"
192,0.87,"1997","07"
504,1.5,"1997","08"
24,0.02,"1997","09"
840,7.08,"1997","10"
48,0.12,"1997","11"
636,3.91,"1997","12"
264,2.06,"1998","01"
